manifest_index,task_id,task_group,prompt_id,oracle_length,length_bucket,frozen_controller_test_row,frozen_controller_test_exclusion_flag,source_dataset,model
46,SingleLineInfilling/HumanEval/6/L8,HumanEval/6,L8,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
47,SingleLineInfilling/HumanEval/6/L10,HumanEval/6,L10,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
48,SingleLineInfilling/HumanEval/6/L12,HumanEval/6,L12,20,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
49,SingleLineInfilling/HumanEval/7/L0,HumanEval/7,L0,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
50,SingleLineInfilling/HumanEval/8/L0,HumanEval/8,L0,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
51,SingleLineInfilling/HumanEval/8/L1,HumanEval/8,L1,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
52,SingleLineInfilling/HumanEval/8/L3,HumanEval/8,L3,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
53,SingleLineInfilling/HumanEval/8/L4,HumanEval/8,L4,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
54,SingleLineInfilling/HumanEval/8/L5,HumanEval/8,L5,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
55,SingleLineInfilling/HumanEval/8/L6,HumanEval/8,L6,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
56,SingleLineInfilling/HumanEval/9/L0,HumanEval/9,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
57,SingleLineInfilling/HumanEval/9/L1,HumanEval/9,L1,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
58,SingleLineInfilling/HumanEval/9/L3,HumanEval/9,L3,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
59,SingleLineInfilling/HumanEval/9/L4,HumanEval/9,L4,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
60,SingleLineInfilling/HumanEval/9/L5,HumanEval/9,L5,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
61,SingleLineInfilling/HumanEval/9/L6,HumanEval/9,L6,3,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
62,SingleLineInfilling/HumanEval/9/L7,HumanEval/9,L7,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
63,SingleLineInfilling/HumanEval/9/L9,HumanEval/9,L9,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
64,SingleLineInfilling/HumanEval/9/L11,HumanEval/9,L11,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
65,SingleLineInfilling/HumanEval/10/L0,HumanEval/10,L0,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
66,SingleLineInfilling/HumanEval/10/L1,HumanEval/10,L1,3,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
67,SingleLineInfilling/HumanEval/10/L3,HumanEval/10,L3,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
68,SingleLineInfilling/HumanEval/10/L5,HumanEval/10,L5,14,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
69,SingleLineInfilling/HumanEval/10/L6,HumanEval/10,L6,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
70,SingleLineInfilling/HumanEval/10/L8,HumanEval/10,L8,14,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
71,SingleLineInfilling/HumanEval/11/L0,HumanEval/11,L0,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
72,SingleLineInfilling/HumanEval/11/L1,HumanEval/11,L1,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
73,SingleLineInfilling/HumanEval/11/L2,HumanEval/11,L2,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
74,SingleLineInfilling/HumanEval/11/L3,HumanEval/11,L3,3,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
75,SingleLineInfilling/HumanEval/11/L4,HumanEval/11,L4,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
76,SingleLineInfilling/HumanEval/11/L6,HumanEval/11,L6,20,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
77,SingleLineInfilling/HumanEval/12/L0,HumanEval/12,L0,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
78,SingleLineInfilling/HumanEval/12/L1,HumanEval/12,L1,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
79,SingleLineInfilling/HumanEval/12/L3,HumanEval/12,L3,12,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
80,SingleLineInfilling/HumanEval/12/L4,HumanEval/12,L4,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
81,SingleLineInfilling/HumanEval/12/L5,HumanEval/12,L5,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
82,SingleLineInfilling/HumanEval/12/L6,HumanEval/12,L6,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
83,SingleLineInfilling/HumanEval/13/L0,HumanEval/13,L0,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
84,SingleLineInfilling/HumanEval/13/L1,HumanEval/13,L1,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
85,SingleLineInfilling/HumanEval/13/L2,HumanEval/13,L2,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
86,SingleLineInfilling/HumanEval/14/L0,HumanEval/14,L0,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
87,SingleLineInfilling/HumanEval/14/L2,HumanEval/14,L2,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
88,SingleLineInfilling/HumanEval/14/L3,HumanEval/14,L3,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
89,SingleLineInfilling/HumanEval/14/L4,HumanEval/14,L4,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
90,SingleLineInfilling/HumanEval/15/L0,HumanEval/15,L0,18,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
91,SingleLineInfilling/HumanEval/16/L0,HumanEval/16,L0,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
92,SingleLineInfilling/HumanEval/17/L0,HumanEval/17,L0,23,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
93,SingleLineInfilling/HumanEval/17/L1,HumanEval/17,L1,18,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
94,SingleLineInfilling/HumanEval/18/L0,HumanEval/18,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
95,SingleLineInfilling/HumanEval/18/L2,HumanEval/18,L2,17,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
96,SingleLineInfilling/HumanEval/18/L3,HumanEval/18,L3,12,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
97,SingleLineInfilling/HumanEval/18/L4,HumanEval/18,L4,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
98,SingleLineInfilling/HumanEval/18/L6,HumanEval/18,L6,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
99,SingleLineInfilling/HumanEval/19/L0,HumanEval/19,L0,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
100,SingleLineInfilling/HumanEval/19/L1,HumanEval/19,L1,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
101,SingleLineInfilling/HumanEval/19/L2,HumanEval/19,L2,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
102,SingleLineInfilling/HumanEval/19/L3,HumanEval/19,L3,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
103,SingleLineInfilling/HumanEval/19/L4,HumanEval/19,L4,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
104,SingleLineInfilling/HumanEval/19/L5,HumanEval/19,L5,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
105,SingleLineInfilling/HumanEval/19/L6,HumanEval/19,L6,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
106,SingleLineInfilling/HumanEval/19/L7,HumanEval/19,L7,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
107,SingleLineInfilling/HumanEval/19/L8,HumanEval/19,L8,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
108,SingleLineInfilling/HumanEval/19/L9,HumanEval/19,L9,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
109,SingleLineInfilling/HumanEval/19/L10,HumanEval/19,L10,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
110,SingleLineInfilling/HumanEval/19/L11,HumanEval/19,L11,2,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
111,SingleLineInfilling/HumanEval/19/L12,HumanEval/19,L12,26,25+,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
112,SingleLineInfilling/HumanEval/20/L0,HumanEval/20,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
113,SingleLineInfilling/HumanEval/20/L1,HumanEval/20,L1,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
114,SingleLineInfilling/HumanEval/20/L3,HumanEval/20,L3,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
115,SingleLineInfilling/HumanEval/20/L4,HumanEval/20,L4,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
116,SingleLineInfilling/HumanEval/20/L5,HumanEval/20,L5,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
117,SingleLineInfilling/HumanEval/20/L6,HumanEval/20,L6,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
118,SingleLineInfilling/HumanEval/20/L7,HumanEval/20,L7,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
119,SingleLineInfilling/HumanEval/20/L8,HumanEval/20,L8,12,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
120,SingleLineInfilling/HumanEval/20/L9,HumanEval/20,L9,3,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
121,SingleLineInfilling/HumanEval/20/L10,HumanEval/20,L10,10,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
122,SingleLineInfilling/HumanEval/20/L11,HumanEval/20,L11,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
123,SingleLineInfilling/HumanEval/20/L12,HumanEval/20,L12,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
124,SingleLineInfilling/HumanEval/20/L13,HumanEval/20,L13,12,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
125,SingleLineInfilling/HumanEval/20/L15,HumanEval/20,L15,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
126,SingleLineInfilling/HumanEval/21/L0,HumanEval/21,L0,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
127,SingleLineInfilling/HumanEval/21/L1,HumanEval/21,L1,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
128,SingleLineInfilling/HumanEval/21/L2,HumanEval/21,L2,21,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
129,SingleLineInfilling/HumanEval/22/L0,HumanEval/22,L0,14,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
130,SingleLineInfilling/HumanEval/23/L0,HumanEval/23,L0,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
131,SingleLineInfilling/HumanEval/24/L0,HumanEval/24,L0,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
132,SingleLineInfilling/HumanEval/24/L1,HumanEval/24,L1,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
133,SingleLineInfilling/HumanEval/24/L2,HumanEval/24,L2,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
134,SingleLineInfilling/HumanEval/25/L0,HumanEval/25,L0,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
135,SingleLineInfilling/HumanEval/25/L1,HumanEval/25,L1,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
136,SingleLineInfilling/HumanEval/25/L2,HumanEval/25,L2,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
137,SingleLineInfilling/HumanEval/25/L3,HumanEval/25,L3,13,13-16,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
138,SingleLineInfilling/HumanEval/25/L4,HumanEval/25,L4,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
139,SingleLineInfilling/HumanEval/25/L5,HumanEval/25,L5,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
140,SingleLineInfilling/HumanEval/25/L6,HumanEval/25,L6,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
141,SingleLineInfilling/HumanEval/25/L7,HumanEval/25,L7,3,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
142,SingleLineInfilling/HumanEval/25/L8,HumanEval/25,L8,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
143,SingleLineInfilling/HumanEval/25/L10,HumanEval/25,L10,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
144,SingleLineInfilling/HumanEval/25/L11,HumanEval/25,L11,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
145,SingleLineInfilling/HumanEval/25/L12,HumanEval/25,L12,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
146,SingleLineInfilling/HumanEval/26/L0,HumanEval/26,L0,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
