manifest_index,task_id,task_group,prompt_id,length_bucket,policy,status,passed,oracle_length,selected_length,selected_minus_oracle,abs_selected_minus_oracle,mask_length_source,final_source,trigger_reason,compile_passed,error_type,error_message,candidate_sha256,decode_sec,verification_sec,length_probe_sec,total_sec_including_probe
22,SingleLineInfilling/HumanEval/3/L0,HumanEval/3,L0,<=8,primary_control,ok,True,6,7,1,1,cal_lite,,,True,,,2645bc16fc77ced92d58a811d1a7b2e78d9f4e67261eac1cc19d2303783cdf31,1.8666422580135986,0.1488838829100132,0.2942282168660313,2.309754357789643
23,SingleLineInfilling/HumanEval/3/L2,HumanEval/3,L2,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,1a710a84f86e12ee74b7279afbf9fd53480c1753e133161783c0b84b4999346a,1.852950365981087,0.14710068807471544,0.29002958338242024,2.2900806374382228
24,SingleLineInfilling/HumanEval/3/L3,HumanEval/3,L3,<=8,primary_control,ok,True,5,7,2,2,cal_lite,,,True,,,a5c466a6703261d80543dcfbb08071f7cb9cc27527f5aa36c9fdffe53736c624,1.8313573449850082,0.13847403787076473,0.2826159653486684,2.2524473482044414
25,SingleLineInfilling/HumanEval/3/L4,HumanEval/3,L4,<=8,primary_control,ok,True,7,7,0,0,cal_lite,,,True,,,1a710a84f86e12ee74b7279afbf9fd53480c1753e133161783c0b84b4999346a,1.862480940995738,0.14805150695610791,0.2959625239018351,2.306494971853681
26,SingleLineInfilling/HumanEval/3/L5,HumanEval/3,L5,<=8,primary_control,ok,True,4,3,-1,1,cal_lite,,,True,,,bc9dcd0b28147600e7a2f67509874abf293fa852c7322530d32d97df1fd9ab63,1.851424177060835,0.14064094796776772,0.29131882172077894,2.2833839467493817
27,SingleLineInfilling/HumanEval/3/L7,HumanEval/3,L7,<=8,primary_control,ok,True,4,16,12,12,cal_lite,,,True,,,599d1848b1ab12fa28ed2fd071d273410165f09f4fcd8ab127be75f835b1c303,1.885929360985756,0.15166726999450475,0.2830680781044066,2.3206647090846673
28,SingleLineInfilling/HumanEval/4/L0,HumanEval/4,L0,9-12,primary_control,ok,True,10,10,0,0,cal_lite,,,True,,,cd05be48ddbd1ca287e1044cdc971f50c0228214f4dabff95c7379860b44ef47,1.8611143090529367,0.1464254701277241,0.29291762493085116,2.300457404111512
29,SingleLineInfilling/HumanEval/4/L1,HumanEval/4,L1,17-24,primary_control,ok,False,17,13,-4,4,cal_lite,,,True,UnitTestFailure,failed: ,a36cd445b82af66b974938923e10b2607f706591850b54df0cbabc401f820fa8,1.8615267230197787,0.13992961787153035,0.28865179896820337,2.2901081398595124
30,SingleLineInfilling/HumanEval/5/L0,HumanEval/5,L0,<=8,primary_control,ok,True,5,9,4,4,cal_lite,,,True,,,c7873fba3f9eacfa519f7bcae461a191cb1912b09e050806c62da16860b12b29,1.866272625979036,0.133164630853571,0.28491671674419194,2.284353973576799
31,SingleLineInfilling/HumanEval/5/L1,HumanEval/5,L1,<=8,primary_control,ok,True,3,3,0,0,cal_lite,,,True,,,9307d743694e64ae208e3ce3c53912ca3cdb6abfa8aded8ed618f9af3448da2d,1.8523288459982723,0.141590800951235,0.300854921923019,2.2947745688725263
32,SingleLineInfilling/HumanEval/5/L3,HumanEval/5,L3,<=8,primary_control,ok,False,4,4,0,0,cal_lite,,,True,UnitTestFailure,failed: ,00b17041a8c5c8226b7d9fcd43406a8dd3aa2701aa22cd801f5657b49d43d289,1.841478603077121,0.13499326689634472,0.28320770990103483,2.2596795798745006
33,SingleLineInfilling/HumanEval/5/L5,HumanEval/5,L5,<=8,primary_control,ok,True,8,8,0,0,cal_lite,,,True,,,e29d7eff9cf73491f718294c6990a771fa0c8093d19845e682c5e7924c2a6811,1.848559726960957,0.1475474250037223,0.28544604091439396,2.2815531928790733
34,SingleLineInfilling/HumanEval/5/L6,HumanEval/5,L6,<=8,primary_control,ok,True,5,5,0,0,cal_lite,,,True,,,e29d7eff9cf73491f718294c6990a771fa0c8093d19845e682c5e7924c2a6811,1.8405326750362292,0.14803518494591117,0.29726699786260724,2.2858348578447476
35,SingleLineInfilling/HumanEval/5/L7,HumanEval/5,L7,<=8,primary_control,ok,False,6,5,-1,1,cal_lite,,,True,UnitTestFailure,failed: 'int' object is not iterable,87d232a0eb1448fb9b9fcc8f95f8976626ab3a759be3e0634183bdc7b96fc9a7,1.8459479700541124,0.13841102505102754,0.28264539933297783,2.2670043944381177
36,SingleLineInfilling/HumanEval/5/L9,HumanEval/5,L9,<=8,primary_control,ok,False,7,4,-3,3,cal_lite,,,True,UnitTestFailure,failed: ,d9986025383b7f6232cf18ef7ac2b68480b1c1ffe44cf9e534da3ca33059503c,1.8855688349576667,0.1493840841576457,0.28198508138302714,2.3169380004983395
37,SingleLineInfilling/HumanEval/5/L11,HumanEval/5,L11,<=8,primary_control,ok,True,4,4,0,0,cal_lite,,,True,,,e29d7eff9cf73491f718294c6990a771fa0c8093d19845e682c5e7924c2a6811,1.8511457780841738,0.1542286629555747,0.29245273920241743,2.297827180242166
38,SingleLineInfilling/HumanEval/6/L0,HumanEval/6,L0,<=8,primary_control,ok,True,8,13,5,5,cal_lite,,,True,,,319c8a62111ca391bebae23d9e5d3051f6bab5b555d9e99430c8331f3eb39144,1.9190193930407986,0.13512127485591918,0.2830823471304029,2.3372230150271207
39,SingleLineInfilling/HumanEval/6/L1,HumanEval/6,L1,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,7a31b613f4456342f4ff112e741826f0ccb23cff4b09b87c6d93a366488afeb9,1.8633459570119157,0.13661045592743903,0.2904101978056133,2.290366610744968
40,SingleLineInfilling/HumanEval/6/L2,HumanEval/6,L2,<=8,primary_control,ok,True,7,7,0,0,cal_lite,,,True,,,7a31b613f4456342f4ff112e741826f0ccb23cff4b09b87c6d93a366488afeb9,1.8614728150423616,0.13498131011147052,0.2827707778196782,2.2792249029735103
41,SingleLineInfilling/HumanEval/6/L3,HumanEval/6,L3,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,7a31b613f4456342f4ff112e741826f0ccb23cff4b09b87c6d93a366488afeb9,1.862807958968915,0.1620836640940979,0.28455483936704695,2.30944646243006
42,SingleLineInfilling/HumanEval/6/L4,HumanEval/6,L4,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,7a31b613f4456342f4ff112e741826f0ccb23cff4b09b87c6d93a366488afeb9,1.8638282159809023,0.14442762499675155,0.28813318780157715,2.296389028779231
43,SingleLineInfilling/HumanEval/6/L5,HumanEval/6,L5,<=8,primary_control,ok,True,6,8,2,2,cal_lite,,,True,,,543fb36e98096dbbc1331aeeeb9e1799288004c5896a661e2eac6ea260e50c58,1.908298503025435,0.14544342400040478,0.293491359683685,2.3472332867095247
44,SingleLineInfilling/HumanEval/6/L6,HumanEval/6,L6,9-12,primary_control,ok,False,10,9,-1,1,cal_lite,,,True,UnitTestFailure,failed: ,785b1ea2e2d529ad22a4ec8c64b2f894d01242ef43a5e4c8ae7c9da3c4554e0a,1.8557363880099729,0.1506520330440253,0.2895486947381869,2.295937115792185
45,SingleLineInfilling/HumanEval/6/L7,HumanEval/6,L7,<=8,primary_control,ok,True,3,6,3,3,cal_lite,,,True,,,3f7485ec0eca2cbb268f372a29079caa107fbcd5ff61bb33cc1e4a6a521e6aff,1.9043881790712476,0.1378922921139747,0.2875370270339772,2.3298174982191995
46,SingleLineInfilling/HumanEval/6/L8,HumanEval/6,L8,<=8,primary_control,ok,True,6,5,-1,1,cal_lite,,,True,,,8a241d4ae08a67276ac9a2ff675e38d323335651583707bc2821e31a1ea85659,1.867502470035106,0.14887329190969467,0.2904206779785454,2.306796439923346
47,SingleLineInfilling/HumanEval/6/L10,HumanEval/6,L10,<=8,primary_control,ok,True,5,4,-1,1,cal_lite,,,True,,,9d4e41f537812a99d5c6ee878674a5754ffa40802609f4db5a187bbec86600d7,1.8597651049494743,0.12917160207871348,0.2893258874537423,2.27826259448193
48,SingleLineInfilling/HumanEval/6/L12,HumanEval/6,L12,17-24,primary_control,ok,False,20,12,-8,8,cal_lite,,,True,UnitTestFailure,failed: ,b50e841e0ba91336a66f25814ad6a7b8d77664007f0a59d68a06f4f4a790eb2b,1.885200435994193,0.14624084101524204,0.29649308312218636,2.3279343601316214
49,SingleLineInfilling/HumanEval/7/L0,HumanEval/7,L0,13-16,primary_control,ok,True,13,13,0,0,cal_lite,,,True,,,35031b438f9332152fe7fb0a41abcb6964d6eda841672b244fcb21032b093c2c,1.5876832490321249,0.13634444202762097,0.281730888877064,2.00575857993681
50,SingleLineInfilling/HumanEval/8/L0,HumanEval/8,L0,<=8,primary_control,ok,True,7,7,0,0,cal_lite,,,True,,,6db1d3ea34230eabac11c7b13b90deadb11588a3b81148840f98b0d1d14fc9a4,1.8391715830657631,0.14972879295237362,0.27904529485385865,2.2679456708719954
51,SingleLineInfilling/HumanEval/8/L1,HumanEval/8,L1,<=8,primary_control,ok,True,7,6,-1,1,cal_lite,,,True,,,60296f249e3d9f18f3b52d980ae1b8cc8ab708536be2d84928be5a5fe9536200,1.83785066800192,0.1415391160408035,0.28507367928978056,2.264463463332504
52,SingleLineInfilling/HumanEval/8/L3,HumanEval/8,L3,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,f81f225ca186c969c4a4759fbb9068160082e0ab033456fcf524227202fea3f1,1.8433970590122044,0.1498303790576756,0.28948491788469255,2.2827123559545726
53,SingleLineInfilling/HumanEval/8/L4,HumanEval/8,L4,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,f81f225ca186c969c4a4759fbb9068160082e0ab033456fcf524227202fea3f1,1.8240059179952368,0.14844193099997938,0.29162547073792666,2.264073319733143
54,SingleLineInfilling/HumanEval/8/L5,HumanEval/8,L5,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,403eea16f5b30e3183e9923c31398e62d7f4f457147ca686f1dde5683bf5e554,1.8348493980010971,0.15575927891768515,0.2905935008311644,2.2812021777499467
55,SingleLineInfilling/HumanEval/8/L6,HumanEval/8,L6,<=8,primary_control,ok,True,8,7,-1,1,cal_lite,,,True,,,50fea79f62804dad7c07c6ab0ee739ca08aae34a1039b77dc75488a679111d8f,1.8605838359799236,0.14981599303428084,0.2904514027759433,2.3008512317901477
56,SingleLineInfilling/HumanEval/9/L0,HumanEval/9,L0,<=8,primary_control,ok,True,6,10,4,4,cal_lite,,,True,,,471c5a38f797325461db8ed4a8797b1344578bf673e27bf149a9031299743a43,1.8725115349516273,0.1461849450133741,0.29205651592928916,2.3107529958942905
57,SingleLineInfilling/HumanEval/9/L1,HumanEval/9,L1,<=8,primary_control,ok,False,4,4,0,0,cal_lite,,,True,UnitTestFailure,timed out,387b082012ff7213e99b768a015e4c735c52066d951372c8e7debe07f187bada,1.8701490469975397,3.2272441239329055,0.28894763195421547,5.386340802884661
58,SingleLineInfilling/HumanEval/9/L3,HumanEval/9,L3,<=8,primary_control,ok,True,6,9,3,3,cal_lite,,,True,,,e2c6bbe704a88247aca6680bdb69171c3cfbeaff24dd19f9b8890ec7b89240a0,1.874856826965697,0.14618573698680848,0.28015693207271397,2.3011994960252196
59,SingleLineInfilling/HumanEval/9/L4,HumanEval/9,L4,<=8,primary_control,ok,True,7,7,0,0,cal_lite,,,True,,,32af61f17fb376cc1dd042dba50d561411a01ceb3047e358245b577c03971690,1.8745346229989082,0.1481914249015972,0.29211446177214384,2.314840509672649
60,SingleLineInfilling/HumanEval/9/L5,HumanEval/9,L5,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,32af61f17fb376cc1dd042dba50d561411a01ceb3047e358245b577c03971690,1.8595992390764877,0.15571826288942248,0.2885091691277921,2.3038266710937023
61,SingleLineInfilling/HumanEval/9/L6,HumanEval/9,L6,<=8,primary_control,ok,True,3,3,0,0,cal_lite,,,True,,,32af61f17fb376cc1dd042dba50d561411a01ceb3047e358245b577c03971690,1.851126295980066,0.14831416902597994,0.2835662615252659,2.283006726531312
62,SingleLineInfilling/HumanEval/9/L7,HumanEval/9,L7,9-12,primary_control,ok,True,11,12,1,1,cal_lite,,,True,,,4503af0d4d3d386b1b3b6feb30f0be7f0bd8442234484ff335fda5b1f93b585f,1.8508050109958276,0.15798314893618226,0.29086429812014103,2.299652458052151
63,SingleLineInfilling/HumanEval/9/L9,HumanEval/9,L9,<=8,primary_control,ok,False,7,5,-2,2,cal_lite,,,True,UnitTestFailure,failed: 'int' object is not iterable,fb5c9a7387eceea4e5778a457c15a0963d4669d7317822f0f7dc9f7cf181b957,1.8549843350192532,0.14807835908140987,0.2883996742311865,2.2914623683318496
64,SingleLineInfilling/HumanEval/9/L11,HumanEval/9,L11,<=8,primary_control,ok,True,4,4,0,0,cal_lite,,,True,,,32af61f17fb376cc1dd042dba50d561411a01ceb3047e358245b577c03971690,1.8416131150443107,0.14452114200685173,0.2911312010837719,2.2772654581349343
65,SingleLineInfilling/HumanEval/10/L0,HumanEval/10,L0,<=8,primary_control,ok,False,5,4,-1,1,cal_lite,,,True,UnitTestFailure,failed: ,7d345452e96362c78773e8a52f6b398ce5ffb373121ad91590983591f1d6e23e,1.8643001719610766,0.13842112512793392,0.28499143302906305,2.2877127301180735
66,SingleLineInfilling/HumanEval/10/L1,HumanEval/10,L1,<=8,primary_control,ok,True,3,14,11,11,cal_lite,,,True,,,90fe117fe6bc993c6a496b44ca82b8830f50073f42c8edc43cc9f53da0566422,1.893129775999114,0.15574612200725824,0.2872240871656686,2.3360999851720408
67,SingleLineInfilling/HumanEval/10/L3,HumanEval/10,L3,<=8,primary_control,ok,False,8,11,3,3,cal_lite,,,True,UnitTestFailure,failed: ,2d5079f5bfe40d558e19dab51c7c16b69d69f79a1bb9585b60b7ea8774f4406c,1.86486352304928,0.13889797404408455,0.2900319679174572,2.293793465010822
68,SingleLineInfilling/HumanEval/10/L5,HumanEval/10,L5,13-16,primary_control,ok,False,14,12,-2,2,cal_lite,,,False,SyntaxError,"closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 25)",2da9ed57c9800da19befa1e0357f1676dd7a916ed21ab7a19d85f439fe0b5767,1.875550138996914,0.00017432495951652527,0.2963117838371545,2.172036247793585
69,SingleLineInfilling/HumanEval/10/L6,HumanEval/10,L6,<=8,primary_control,ok,True,8,7,-1,1,cal_lite,,,True,,,d553a9042c08d17fd8a9cc6d45be59dd653bad3ab11125595b04bd1c350598c2,1.8857311869505793,0.13647603092249483,0.2873326021945104,2.3095398200675845
70,SingleLineInfilling/HumanEval/10/L8,HumanEval/10,L8,13-16,primary_control,ok,False,14,6,-8,8,cal_lite,,,True,UnitTestFailure,failed: ,b402c8ba4fec4bdbfeb6970bffabf9e7a6d18ede37eaaa0361a125b9a44e8dec,1.8706475360086188,0.15703231294173747,0.28271363116800785,2.310393480118364
71,SingleLineInfilling/HumanEval/11/L0,HumanEval/11,L0,<=8,primary_control,ok,True,7,14,7,7,cal_lite,,,True,,,edc515f22145574e18b7a1225e42da81540873e9ad36902f3b4d221495262a66,1.8671875289874151,0.15539541491307318,0.27879667875822634,2.3013796226587147
72,SingleLineInfilling/HumanEval/11/L1,HumanEval/11,L1,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,3f868f860b145b75670a38e6b052ea1b335906692087fd6221ce83cffbcfa496,1.6167753109475598,0.13515914301387966,0.2906321210321039,2.0425665749935433
73,SingleLineInfilling/HumanEval/11/L2,HumanEval/11,L2,<=8,primary_control,ok,True,5,5,0,0,cal_lite,,,True,,,3f868f860b145b75670a38e6b052ea1b335906692087fd6221ce83cffbcfa496,1.5879709150176495,0.1544989850372076,0.28137327497825027,2.0238431750331074
74,SingleLineInfilling/HumanEval/11/L3,HumanEval/11,L3,<=8,primary_control,ok,True,3,3,0,0,cal_lite,,,True,,,3f868f860b145b75670a38e6b052ea1b335906692087fd6221ce83cffbcfa496,1.5985292580444366,0.1530945219565183,0.29489622567780316,2.046520005678758
75,SingleLineInfilling/HumanEval/11/L4,HumanEval/11,L4,<=8,primary_control,ok,False,5,4,-1,1,cal_lite,,,True,UnitTestFailure,"failed: sequence item 1: expected str instance, int found",5bd86cbfe439f9d493bab94a6179862aab1bde94aa73592788b9022667d6b34d,1.5766511069377884,0.15461108600720763,0.2832127403235063,2.0144749332685024
76,SingleLineInfilling/HumanEval/11/L6,HumanEval/11,L6,17-24,primary_control,ok,True,20,12,-8,8,cal_lite,,,True,,,835b49b0d47dd54bc9702a43b54f49382637825306c7a4c556f227fd77b84595,1.603417168953456,0.15999382210429758,0.2831139450427145,2.046524936100468
77,SingleLineInfilling/HumanEval/12/L0,HumanEval/12,L0,<=8,primary_control,ok,True,5,9,4,4,cal_lite,,,True,,,fd82c3fd4f21e89aec1982ffbeb57eb001afe04857cc26f5da3c473f50917fdf,1.8520435719983652,0.14164288400206715,0.300356766092591,2.2940432220930234
78,SingleLineInfilling/HumanEval/12/L1,HumanEval/12,L1,<=8,primary_control,ok,True,4,3,-1,1,cal_lite,,,True,,,e335bb45bd5dff93afcde07f5757e7a5f94f01b12dc0e4d4f0bcc48c958288de,1.8445463279495016,0.15084452100563794,0.2861296090995893,2.281520458054729
79,SingleLineInfilling/HumanEval/12/L3,HumanEval/12,L3,9-12,primary_control,ok,True,12,12,0,0,cal_lite,,,True,,,0af140ec060481e0ae01d5040ba9578c7a4db7213da0968fd452fe4d4576cbff,1.8810270299436525,0.1421083880122751,0.2920228017028421,2.3151582196587697
80,SingleLineInfilling/HumanEval/12/L4,HumanEval/12,L4,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,3685e6ba074e41236d9197c721cf71ef513eccd706be51a79f76727ad87884d6,1.8425041800364852,0.1360657550394535,0.29318301973398775,2.2717529548099265
81,SingleLineInfilling/HumanEval/12/L5,HumanEval/12,L5,<=8,primary_control,ok,True,8,8,0,0,cal_lite,,,True,,,3685e6ba074e41236d9197c721cf71ef513eccd706be51a79f76727ad87884d6,1.8240522760897875,0.14060854201670736,0.29309208679478616,2.257752904901281
82,SingleLineInfilling/HumanEval/12/L6,HumanEval/12,L6,<=8,primary_control,ok,True,4,8,4,4,cal_lite,,,True,,,c371fe2f74ad8338ead9bf86742379b5bef3a65c1d05a05f04a0bd34046c8cbe,1.8590639400063083,0.15502764598932117,0.29117446718737483,2.3052660531830043
83,SingleLineInfilling/HumanEval/13/L0,HumanEval/13,L0,<=8,primary_control,ok,True,4,7,3,3,cal_lite,,,True,,,b095bd11caaa57da3ccf9d541bf1088cddff6043e0a80fab175470d04116aa6a,1.6001155630219728,0.14418406796175987,0.2814018757781014,2.025701506761834
84,SingleLineInfilling/HumanEval/13/L1,HumanEval/13,L1,9-12,primary_control,ok,True,11,11,0,0,cal_lite,,,True,,,acc3b98a289aff9cc3fa28e707155d5ce11e9ccc2523eb12c22c804bb8f5cb1f,1.620257469941862,0.15491629298776388,0.28199853328987956,2.0571722962195054
85,SingleLineInfilling/HumanEval/13/L2,HumanEval/13,L2,<=8,primary_control,ok,True,4,3,-1,1,cal_lite,,,True,,,b4904f75418ca1db127ab20869f4a2d2abbc9dff49151bc9caec855165f26ea0,1.5691783159272745,0.15201010496821254,0.28250266949180514,2.003691090387292
86,SingleLineInfilling/HumanEval/14/L0,HumanEval/14,L0,<=8,primary_control,ok,False,4,4,0,0,cal_lite,,,True,UnitTestFailure,failed: ,55a2f19b1b935992bb7858ba3baa127097397854f551225222286394e8ca9d42,1.5931617190362886,0.13997060502879322,0.27806714875623584,2.0111994728213176
87,SingleLineInfilling/HumanEval/14/L2,HumanEval/14,L2,<=8,primary_control,ok,True,8,8,0,0,cal_lite,,,True,,,e8cd7aa1d5ff0f57886eaadfc33f200e424171a9135ba39f7a23436921c2014b,1.6028419570066035,0.15359768795315176,0.28701060090679675,2.043450245866552
88,SingleLineInfilling/HumanEval/14/L3,HumanEval/14,L3,9-12,primary_control,ok,True,9,9,0,0,cal_lite,,,True,,,ac68a53c694969f5ddd4957df68590893569db36e6ae1757edc51860ea097527,1.6023942480096593,0.15143584599718451,0.2789258217671886,2.0327559157740325
89,SingleLineInfilling/HumanEval/14/L4,HumanEval/14,L4,<=8,primary_control,ok,True,4,3,-1,1,cal_lite,,,True,,,abf60d17183ce5edcdf39ca0a298fa33722622ea83716e3cc9614b0fbceeb13b,1.6143983200890943,0.13421426201239228,0.27989194414112717,2.028504526242614
90,SingleLineInfilling/HumanEval/15/L0,HumanEval/15,L0,17-24,primary_control,ok,False,18,3,-15,15,cal_lite,,,True,UnitTestFailure,failed: ,cee6ebabcf493daac42e08cbc19ac3c1af7c61aadfcd245bfaf59e649c00ee7d,1.5912516720127314,0.1465145400725305,0.28662089665886015,2.024387108744122
91,SingleLineInfilling/HumanEval/16/L0,HumanEval/16,L0,<=8,primary_control,ok,False,7,3,-4,4,cal_lite,,,True,UnitTestFailure,failed: ,2685b9ba9ec5f6fff9629d5974a188a6daa6f8c196bb59c3d42cab394331b98e,1.5756851580226794,0.15322322689462453,0.282002781284973,2.010911166202277
