manifest_index,hard_tail_sample_group,first_pass_taxonomy,current_taxonomy,label_changed_from_first_pass,source_config,task_id,row_id,task_group,length_bucket,middle_len_tokens,first_pass_control_passed,first_pass_deployable_passed,first_pass_oracle_passed,current_control_passed,current_deployable_passed,current_oracle_passed,genuinely_canvas_recoverable_now,rescue_limited_or_noncanvas_now,deployable_cal_lite_help_now,deployable_cal_lite_harm_now,oracle_canvas_harm_vs_control_now,control_fixed64_selected_canvas_tokens,control_fixed64_error_type,control_fixed64_candidate_full_code_sha256,best_deployable_cal_lite_alpha006_selected_canvas_tokens,best_deployable_cal_lite_alpha006_error_type,best_deployable_cal_lite_alpha006_candidate_full_code_sha256,oracle_sufficient_canvas_selected_canvas_tokens,oracle_sufficient_canvas_error_type,oracle_sufficient_canvas_candidate_full_code_sha256
10,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/0/1,0,HumanEval/0,long,18,False,False,True,False,False,True,True,False,False,False,False,64,UnitTestFailure,c826964b8f12f0c7ba01b8215020e3d3acd9e55ee62e373e003a9dc33f64574c,11,UnitTestFailure,1bf9166cd46b6ed74b1a2c0c4729a02f54787245a2b83bd31c0323ece5c46268,18,,2dd81a2ffd85ced753d51a71f41750fc6310b9aadda6af203cccc1f7a5ef2ead
11,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/10/L5_L5,342,HumanEval/10,long,17,False,False,True,False,False,True,True,False,False,False,False,64,SyntaxError,43c494827ece3fe9ff4e74e5452af4e3d01257ebd98c590a1bc5aa5651c50f96,16,UnitTestFailure,10c1dce0b5732e404135de19276f9f18999b65011e2b2db1851cca8f3347ffbb,17,,4f93855da57c185ede19a14d11665607cecc1dd05277e38c4736ef3f7c56a9b4
12,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/95/L8_L8,2584,HumanEval/95,short,3,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,77bc490e4a7b5e644e214e950cfb26b2387df43905b716f9aba746fb42e75b4c,3,,ae78bda3ea64bac636429fcfbff2ddbecc41552c57997c1772257ce8c0c96d19,3,,ae78bda3ea64bac636429fcfbff2ddbecc41552c57997c1772257ce8c0c96d19
13,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/96/L6_L6,2734,HumanEval/96,short,3,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,8c332d73729714c93ed278299cc4a53cb171da89978844eeea66946fd604af13,3,,f45a250f0bb385f1d6fef6f54f5ff412d62d0e629e63c6d9fbdee7f072cf18ba,3,,f45a250f0bb385f1d6fef6f54f5ff412d62d0e629e63c6d9fbdee7f072cf18ba
14,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/14/L2_L2,400,HumanEval/14,medium,9,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,c73efdff7d35a6c9e6630c1b6232a65dae182c14f4716ac7d55760f82dfb23dd,9,,e8cd7aa1d5ff0f57886eaadfc33f200e424171a9135ba39f7a23436921c2014b,9,,e8cd7aa1d5ff0f57886eaadfc33f200e424171a9135ba39f7a23436921c2014b
15,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/150/L5_L5,5457,HumanEval/150,short,3,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,c2bea4cded4922e6d086b5f849ae4e5c7142c47b72c9798854e6567d13bb4043,3,,d8e5b04576d26a538e4ea07d2b5a8bd45dc6d8e2f1aba74cb6c14aae824e1f5e,3,,d8e5b04576d26a538e4ea07d2b5a8bd45dc6d8e2f1aba74cb6c14aae824e1f5e
16,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/7/1,7,HumanEval/7,short,4,False,True,True,False,True,True,True,False,True,False,False,64,SyntaxError,c9d1f08aaa50b9727de78025bedeb96d53a40efcbbc92bca5f43e450b0a5583f,4,,1cf8013f4253f18c046017b20a1e6a66bc82a0472156f2f32f3e11a41edba656,4,,1cf8013f4253f18c046017b20a1e6a66bc82a0472156f2f32f3e11a41edba656
17,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/32/L7_L8,802,HumanEval/32,medium,9,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,7de828986622ccab198e3f7efab963f882ab85c4889aca6ce33ef8250bf7ee49,9,,3390a284edc311fb1d66d4a9e3a71a496f344fc7b747ce82fc9a8398fc775c7a,9,,3390a284edc311fb1d66d4a9e3a71a496f344fc7b747ce82fc9a8398fc775c7a
18,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/13/1,13,HumanEval/13,long,17,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,ce63d7e4b7b81f1b0e1b78180175c9093ff693198112577db01b9452537e657b,16,,62672de9ad427cb0e1e62fe00b0ce7e76315cd01b5dee7ff275f69f827126100,17,,62355fe8a82acef674c619d9740741af7c021bf77779c2c95c598dd81db5191b
19,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/30/1,30,HumanEval/30,medium,9,False,True,True,False,True,True,True,False,True,False,False,64,SyntaxError,02dfb7a05632677dc97548ea303c83eedb8b3adb87d7a1d242c8ca409b31c66b,9,,1789ed4290a0ad8813d7f487d2c1b7292caae0c488c0d5620ee30ebe2b7c31b2,9,,1789ed4290a0ad8813d7f487d2c1b7292caae0c488c0d5620ee30ebe2b7c31b2
20,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L2_L4,1209,HumanEval/56,long,17,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,b99614d1743ccf6e6653c1e8b07cfafeecec0501f985854b8036c28100ab81d3,20,,3211abf306381b71178f77433099892dbd2144db05f7cee0d9dd0381d389b095,17,,eeb4ec229309a79c9b1008231bf5618361274261c3f74bd3849f4ea92f8f4516
21,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/36/1,36,HumanEval/36,long,17,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,ab970023b4a1e1ec262dcfe145bd7b0dcb23fb909b9f1c7c12b4c0e90f15d71e,20,,b9536b5bd0e3a9c938a2fd965b321d294806bb9d503b7684edbf16c9a7cec4c1,17,,b8609856362f31dceda5437426f22921737b1e9964931de9a5cc4002e2af6279
22,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/87/1,87,HumanEval/87,long,17,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,43c24bec02f99d1d66c709c2e661ee052cfb6ab7dbe8c9569ecab3da1d4df694,16,,604f9e63f5c04326e5a8148db1b291589bb681f74b1cfa38326ad286c9f748b6,17,,982245ad2694570d39509aa800a77d32e315e3c733f82263dd754a4f429d25da
23,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/151/1,151,HumanEval/151,long,17,False,True,True,False,True,True,True,False,True,False,False,64,SyntaxError,abb61bfc192cc0a98d4cbb4ab8dd54ce633114064c3f540659b7a3278c9592f1,13,,6076ca74821bc1a6c1799a589f3e6e94785c51363eb124560052f3f6e237ce52,17,,723142cf2891dac4913f3c06240bb52807ba24013f3224cb74c80ab43c0b2dc4
24,harm_risk,oracle_canvas_harm_vs_control,oracle_canvas_harm_vs_control,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/15/3,152,HumanEval/15,medium,9,True,True,False,True,True,False,False,False,False,False,True,64,,0ff9dd5318b433c861b68c16e8fe0a65c5bcbfee23a0a8489ac00564d07bf31a,8,,a41abc8d8742d47d27bd029b8a21935cf81c2ad20cdff74bc08aacb74a761947,9,SyntaxError,475e839266a51d2fafa570f2de9f15eebc1424377dec0cfa51e95d0f7ad1b6d4
25,harm_risk,oracle_canvas_harm_vs_control,oracle_canvas_harm_vs_control,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/97/1,97,HumanEval/97,medium,9,True,True,False,True,True,False,False,False,False,False,True,64,,9e59f17aac42f7fa388991ffb11bff6a2da7cb46ab5ac0f2a594981d2c674f41,7,,beb49e9097b46d78e97177c0a3120144080760de640f02c6fe6f3b0d1b1ffe40,9,SyntaxError,aeebd6e2d95890a378c91d77f668714f26d13f957c731b34dc592362ccc9a4bf
26,harm_risk,oracle_canvas_harm_vs_control,oracle_canvas_harm_vs_control,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/13/6,135,HumanEval/13,short,1,True,True,False,True,True,False,False,False,False,False,True,64,,3e0ce1dab2c8e2847cf6502f651c7f39cbf7bebb85484b83bfb609c496c8acb9,3,,5d1956b63e5ec9266573346f49244c1b1b8f7cbf917befb2d19629790f5de465,1,SyntaxError,efc028b1caca2da98bd1aa0e518bfa252a267b57efc4cb4ceec61a90722385e7
27,harm_risk,deployable_harm_vs_control,deployable_harm_vs_control,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/8/9,88,HumanEval/8,short,1,True,False,True,True,False,True,False,False,False,True,False,64,,104b2b9bce06263699def7b11552ba34c669972bb6ab2bfa7fcdb04131d5a34b,9,UnitTestFailure,56e36fcd24605c139c2054e89299d54ce6be34413c1f12e0ad5b2cc49f50648f,1,,f81f225ca186c969c4a4759fbb9068160082e0ab033456fcf524227202fea3f1
28,harm_risk,deployable_harm_vs_control,deployable_harm_vs_control,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/11/7,116,HumanEval/11,short,1,True,False,False,True,False,False,False,False,False,True,True,64,,395c5c902d99582d32c6c588bf12ebefb76ed5c927a884af1639790fc772c6e4,9,NameError,b7fa7323e922ce74d5c2fa1d089f8cf1b76572df2c75e86da6b522f8fa90a4f0,1,SyntaxError,8d97deec431e9a42f51455ea57238c83cd8d4ce8267ea05ae73e986f26f17f52
29,harm_risk,deployable_harm_vs_control,deployable_harm_vs_control,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/17/7,176,HumanEval/17,medium,9,True,False,False,True,False,False,False,False,False,True,True,64,,13ac4851e634b561c9b1bbe5379325e5e71549c4d655f0701e363ed66ab3d04c,10,UnitTestFailure,11bdf0d37f83bf1caeb4be9d58a3967c73ed33a224b2462d68c98b05c7f8d8bf,9,SyntaxError,679d35f4778aacd0340a8310c65caa49cb5aea56af69a45bcbe86ac243563ebb
30,harm_risk,deployable_harm_vs_control,deployable_harm_vs_control,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/16/4,163,HumanEval/16,short,1,True,False,False,True,False,False,False,False,False,True,True,64,,e66d6b73e42ff170bc36c2bffd3e9c26a4d29672d897c435858ccd0929e07d2e,3,UnitTestFailure,ed0c3884eb4b5d15c9025ce3a38f4884f5472e2894dc13594606805858af3709,1,UnitTestFailure,8067daf4c7f36418c367fd6217955ad0b656edff7c55d5a67646032ee57ce634
31,harm_risk,deployable_harm_vs_control,deployable_harm_vs_control,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/43/8,437,HumanEval/43,long,17,True,False,False,True,False,False,False,False,False,True,True,64,,efa3a4dbbde954c4538fa98e6704dc2a776778f11335f5c6294c3b6dda646d4f,5,SyntaxError,e9f8bdb9773882a73d324c156d58e961f99534be141e297b481e6f51a8063a1e,17,UnitTestFailure,2e6dfe39619eacfd089e46c75cfa00b13489d5b89cc406efd81194e407f21f63
32,harm_risk,deployable_harm_vs_control,deployable_harm_vs_control,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/29/4,293,HumanEval/29,medium,9,True,False,False,True,False,False,False,False,False,True,True,64,,e39c6ebed7f0b51375ff74e1d9a2d8a2680fdab779711b79afe1ff3d7963e963,8,UnitTestFailure,1ed07b2c648eb3fc31db0e873e1ae1324f61d4e64227e6b76e29f478427104c1,9,UnitTestFailure,3ad91d57395203497f5032fd7f0a8346f3bcd0d31549899dc99302e88382f110
33,harm_risk,deployable_harm_vs_control,deployable_harm_vs_control,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/44/L2_L3,1092,HumanEval/44,long,17,True,False,True,True,False,True,False,False,False,True,False,64,,e3bb3b9bcd9709f4a11997b87ebad36b5a835b6fea3ea187c6f68148eb4a525d,11,UnitTestFailure,8f9fd84f906dbfad4903d1c3bf18e75882e6ba479c2ec74844fd9ac8ee3e6c2c,17,,8a4ed1f07b8b14d66fc315b5dd17b0a047feea7cb4771b8298e2eb53aba83d74
34,harm_risk,deployable_harm_vs_control,deployable_harm_vs_control,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/141/1,141,HumanEval/141,extreme,72,True,False,True,True,False,True,False,False,False,True,False,64,,3759e90194cbc61393f0640f29d5f344ca6aae542a8dd3013e028c302ea4f46f,16,UnitTestFailure,cb223a5cb8a2e8914d40c6872c88e5efb78e604e8ced8c07c4c3b2fc6076cd75,72,,97641271e370517173e751ecf13e943a0d38de18ffe772c3b83fe4fafb23f00a
35,harm_risk,deployable_harm_vs_control,deployable_harm_vs_control,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/105/1,105,HumanEval/105,extreme,79,True,False,True,True,False,True,False,False,False,True,False,64,,75814da448572b2c4e6bd7b2e00574175ba481285b65b9639a5e2e8024e71621,4,UnitTestFailure,9fda73e044252bd954421c6774a8634a286cfaa7d5bc1e304288376828ec6738,79,,d7ab56a64085ef874ac245ede3342e38390eff4303bb28089dcb22e8f53dc187
36,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/20/1,200,HumanEval/20,extreme,107,False,False,False,False,False,False,False,True,False,False,False,64,UnitTestFailure,1c8d92c912ae4cda537b9380263804fd34d2b186893e96a2d18dbf9822be9708,10,SyntaxError,252753df0656cdde78fd10a4fa6b1d3ef883301a2f67c4637de4485c57290fba,107,SyntaxError,383e9e63db12ea3bf4dfece36b57204958e86ae432513473028940e22c0a07d5
37,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/99/2,991,HumanEval/99,extreme,113,False,False,False,False,False,False,False,True,False,False,False,64,UnitTestFailure,d36d782dd5ae283ee1a46bff21577f51a17bdaeb6eeb56856ddae52d90597024,6,SyntaxError,3e905e190e93e64f8bfb34753a4e397870cac96b0e07a9cad063f67e2b805b93,113,UnitTestFailure,b565754f2fd292f2c22656c712ca2be09e78d33657cc6954557b15afc9f59042
38,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/127/L0_L15,4106,HumanEval/127,extreme,129,False,False,False,False,False,False,False,True,False,False,False,64,SyntaxError,1f9627ff1d3f28fff684f19cc1d9ce6ad98b9b1a0fe4ce583344400824e2e1f2,3,UnitTestFailure,f065590349a68d7b0863a2d81dfe86c08cce0693a2b253837c6940e9eeb23236,129,SyntaxError,6ee66b4cd7138b1d438b51282297e45ae2ebd43176673393636b745181fedca6
39,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/94/2,941,HumanEval/94,extreme,114,False,False,False,False,False,False,False,True,False,False,False,64,SyntaxError,0eb4bbb8a7a4d1af25adaf7465d9af1ccba4879076a97b765683c447a708891f,9,SyntaxError,e6aabf02a825b3526f8cc66439a9b72fc58a5354151c9cb1d31ab432fa009ae0,114,SyntaxError,419e908d6c64b375457c5b733c351765a8fde427b16ea5b3b649cde1dc7573d4
40,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/132/L0_L15,4597,HumanEval/132,extreme,131,False,False,False,False,False,False,False,True,False,False,False,64,UnitTestFailure,5ae16468d863a2adb49aa791f67e55e120f9704c20c265dc6382df9a46d5ad54,4,UnitTestFailure,ff4bda34cb5bf92aca630f635b8df9bdf52e5b43c47eb7cbb2d2462b85cb7477,131,UnitTestFailure,fdeecc73d7deefebc6dd8e925ab491b08ddae3401fae4f0d4bc82385da1a68f5
41,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/156/1,1560,HumanEval/156,extreme,114,False,False,False,False,False,False,False,True,False,False,False,64,UnitTestFailure,d4261f6309bc18c6f77097b4987ac60e0f0b38241067ed08b3dd03b3018499e3,9,SyntaxError,8132640b2ce8e67e55cc81721c20ed65a79d87a743644828239cb7b9197b6009,114,UnitTestFailure,6c5a49c7967ca99f2bc41500523f54cc24b500e101367380919a6531d89c9e1b
42,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/107/L0_L11,3281,HumanEval/107,extreme,134,False,False,False,False,False,False,False,True,False,False,False,64,SyntaxError,e1271fa8d0261ad288ba91f7bcf960391ce35689902ca2de42824b195722054d,3,SyntaxError,99536bb4ad568d132bba68f06b4a7ebd46c54edbf3c0820614522d8464e05e86,134,SyntaxError,874d7b09d4442150335b4fdb911d5f96e8d916212d7f35b2e79516d90d3a43ab
43,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/2/4,23,HumanEval/2,short,1,False,False,False,False,False,False,False,True,False,False,False,64,UnitTestFailure,c7351f59b833d8cb8af22f685546d6826c2096b883e07b5d76583a3ffe6fe25b,3,UnitTestFailure,53dc2ddb8c73f8b28e71a971edaded748c254476fc497188185620ec37a21caa,1,SyntaxError,077e946c3edb3f6940d206c22ce87f9bd9703bc4242f7fc8b1ba866872f03edf
44,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/148/L0_L8,5369,HumanEval/148,extreme,140,False,False,False,False,False,False,False,True,False,False,False,64,UnitTestFailure,d65a36621cb8e5920cded50ccd06b7ddd21bcfaf5f61687d286ea148eaf0b698,3,SyntaxError,2b61975a0d80fc2842702e24eaed7ea605ccc980b8bb4c62ece4ca984967de35,140,SyntaxError,f5ed3f7c053f9ad04ec940fe2c02d18f8dd9e504f83007e156120366b0fa72de
45,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/3/3,32,HumanEval/3,medium,9,False,False,False,False,False,False,False,True,False,False,False,64,UnitTestFailure,aca0b428d25190ac43808981a96a16be992f1b2d91e61b26b8bf9290a728e24a,7,UnitTestFailure,6516d427a129ec9f093be8dae859c800ed9c205dc5db58d178010ade5661e5ca,9,UnitTestFailure,98bb1627eb868fb8e4a1435d60b51c9feba6c925e8fa9344b6cf6b513db73712
46,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L16_L16,132,HumanEval/1,short,4,False,True,False,False,True,False,False,True,True,False,False,64,SyntaxError,994f1168e8cc48d3b4923c8ee50f75007f9cffe2f1da090fa62161f244f2eefe,3,,d6a89900fbaca83f813b1b5e16240b80ed7557099cdf1ab0d72bf1a37a856171,4,SyntaxError,88bc71f49dcbc3ce52833fc695ec2d81c9122a95c0fb28489289f594e4266dca
