manifest_index,hard_tail_sample_group,first_pass_taxonomy,source_hard_tail_index,source_manifest_index,source_config,task_id,prompt_id,row_id,task_group,prefix_len_chars,middle_len_chars,suffix_len_chars,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,length_bucket,control_fixed_canvas_tokens,deployable_policy,deployable_probe_lengths,oracle_canvas_tokens,first_pass_control_passed,first_pass_deployable_passed,first_pass_oracle_passed,first_pass_control_selected_canvas_tokens,first_pass_deployable_selected_canvas_tokens,first_pass_oracle_selected_canvas_tokens,frozen_controller_test_row,frozen_controller_test_exclusion_flag,row_key,selection_note
10,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,90,106,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/0/1,1,0,HumanEval/0,436,73,93,151,18,18,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",18,False,False,True,64,11,18,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:0:RandomSpanInfillingLight/HumanEval/0/1,48_case_bounded_hard_tail_sample_no_label_changes
11,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,12,20,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/10/L5_L5,L5_L5,342,HumanEval/10,647,59,89,192,17,24,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,False,True,64,16,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:342:MultiLineInfilling/HumanEval/10/L5_L5,48_case_bounded_hard_tail_sample_no_label_changes
12,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,0,1,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/95/L8_L8,L8_L8,2584,HumanEval/95,856,22,481,237,3,104,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,True,True,64,3,3,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:2584:MultiLineInfilling/HumanEval/95/L8_L8,48_case_bounded_hard_tail_sample_no_label_changes
13,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,1,2,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/96/L6_L6,L6_L6,2734,HumanEval/96,552,22,69,209,3,17,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,True,True,64,3,3,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:2734:MultiLineInfilling/HumanEval/96/L6_L6,48_case_bounded_hard_tail_sample_no_label_changes
14,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,6,11,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/14/L2_L2,L2_L2,400,HumanEval/14,227,33,54,65,9,14,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,True,True,64,9,9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:400:MultiLineInfilling/HumanEval/14/L2_L2,48_case_bounded_hard_tail_sample_no_label_changes
15,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,2,4,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/150/L5_L5,L5_L5,5457,HumanEval/150,345,18,27,130,3,8,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,True,True,64,3,3,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:5457:MultiLineInfilling/HumanEval/150/L5_L5,48_case_bounded_hard_tail_sample_no_label_changes
16,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,73,89,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/7/1,1,7,HumanEval/7,361,18,2,107,4,2,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,True,True,64,4,4,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:7:RandomSpanInfillingLight/HumanEval/7/1,48_case_bounded_hard_tail_sample_no_label_changes
17,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,10,16,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/32/L7_L8,L7_L8,802,HumanEval/32,990,41,42,368,9,9,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,True,True,64,9,9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:802:MultiLineInfilling/HumanEval/32/L7_L8,48_case_bounded_hard_tail_sample_no_label_changes
18,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,85,101,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/13/1,1,13,HumanEval/13,217,38,14,72,17,5,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,True,True,64,16,17,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:13:RandomSpanInfillingLight/HumanEval/13/1,48_case_bounded_hard_tail_sample_no_label_changes
19,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,75,91,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/30/1,1,30,HumanEval/30,244,20,2,129,9,2,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,True,True,64,9,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:30:RandomSpanInfillingLight/HumanEval/30/1,48_case_bounded_hard_tail_sample_no_label_changes
20,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,19,29,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L2_L4,L2_L4,1209,HumanEval/56,385,58,92,112,17,25,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,True,True,64,20,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1209:MultiLineInfilling/HumanEval/56/L2_L4,48_case_bounded_hard_tail_sample_no_label_changes
21,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,86,102,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/36/1,1,36,HumanEval/36,274,27,132,106,17,48,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,True,True,64,20,17,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:36:RandomSpanInfillingLight/HumanEval/36/1,48_case_bounded_hard_tail_sample_no_label_changes
22,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,88,104,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/87/1,1,87,HumanEval/87,800,46,90,291,17,29,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,True,True,64,16,17,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:87:RandomSpanInfillingLight/HumanEval/87/1,48_case_bounded_hard_tail_sample_no_label_changes
23,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,89,105,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/151/1,1,151,HumanEval/151,473,38,3,162,17,2,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,True,True,64,13,17,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:151:RandomSpanInfillingLight/HumanEval/151/1,48_case_bounded_hard_tail_sample_no_label_changes
24,harm_risk,oracle_canvas_harm_vs_control,45,56,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/15/3,3,152,HumanEval/15,240,24,7,77,9,5,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,True,True,False,64,8,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:152:RandomSpanInfilling/HumanEval/15/3,48_case_bounded_hard_tail_sample_no_label_changes
25,harm_risk,oracle_canvas_harm_vs_control,79,95,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/97/1,1,97,HumanEval/97,359,14,12,123,9,8,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,True,True,False,64,7,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:97:RandomSpanInfillingLight/HumanEval/97/1,48_case_bounded_hard_tail_sample_no_label_changes
26,harm_risk,oracle_canvas_harm_vs_control,34,44,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/13/6,6,135,HumanEval/13,254,2,11,88,1,4,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,True,True,False,64,3,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:135:RandomSpanInfilling/HumanEval/13/6,48_case_bounded_hard_tail_sample_no_label_changes
27,harm_risk,deployable_harm_vs_control,32,42,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/8/9,9,88,HumanEval/8,422,8,82,137,1,22,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,True,False,True,64,9,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:88:RandomSpanInfilling/HumanEval/8/9,48_case_bounded_hard_tail_sample_no_label_changes
28,harm_risk,deployable_harm_vs_control,33,43,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/11/7,7,116,HumanEval/11,405,1,4,137,1,3,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,True,False,False,64,9,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:116:RandomSpanInfilling/HumanEval/11/7,48_case_bounded_hard_tail_sample_no_label_changes
29,harm_risk,deployable_harm_vs_control,46,57,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/17/7,7,176,HumanEval/17,564,15,59,195,9,18,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,True,False,False,64,10,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:176:RandomSpanInfilling/HumanEval/17/7,48_case_bounded_hard_tail_sample_no_label_changes
30,harm_risk,deployable_harm_vs_control,35,45,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/16/4,4,163,HumanEval/16,289,2,7,79,1,3,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,True,False,False,64,3,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:163:RandomSpanInfilling/HumanEval/16/4,48_case_bounded_hard_tail_sample_no_label_changes
31,harm_risk,deployable_harm_vs_control,53,64,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/43/8,8,437,HumanEval/43,516,40,52,180,17,13,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,True,False,False,64,5,17,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:437:RandomSpanInfilling/HumanEval/43/8,48_case_bounded_hard_tail_sample_no_label_changes
32,harm_risk,deployable_harm_vs_control,47,58,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/29/4,4,293,HumanEval/29,324,27,17,95,9,6,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,True,False,False,64,8,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:293:RandomSpanInfilling/HumanEval/29/4,48_case_bounded_hard_tail_sample_no_label_changes
33,harm_risk,deployable_harm_vs_control,17,27,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/44/L2_L3,L2_L3,1092,HumanEval/44,330,53,15,117,17,4,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,True,False,True,64,11,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1092:MultiLineInfilling/HumanEval/44/L2_L3,48_case_bounded_hard_tail_sample_no_label_changes
34,harm_risk,deployable_harm_vs_control,99,115,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/141/1,1,141,HumanEval/141,873,184,100,248,72,41,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",72,True,False,True,64,16,72,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:141:RandomSpanInfillingLight/HumanEval/141/1,48_case_bounded_hard_tail_sample_no_label_changes
35,harm_risk,deployable_harm_vs_control,98,114,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/105/1,1,105,HumanEval/105,810,188,190,296,79,52,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",79,True,False,True,64,4,79,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:105:RandomSpanInfillingLight/HumanEval/105/1,48_case_bounded_hard_tail_sample_no_label_changes
36,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,68,79,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/20/1,1,200,HumanEval/20,503,519,4,186,107,2,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",107,False,False,False,64,10,107,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:200:RandomSpanInfilling/HumanEval/20/1,48_case_bounded_hard_tail_sample_no_label_changes
37,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,65,76,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/99/2,2,991,HumanEval/99,620,367,27,171,113,12,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",113,False,False,False,64,6,113,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:991:RandomSpanInfilling/HumanEval/99/2,48_case_bounded_hard_tail_sample_no_label_changes
38,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,28,38,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/127/L0_L15,L0_L15,4106,HumanEval/127,927,411,0,270,129,0,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",129,False,False,False,64,3,129,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:4106:MultiLineInfilling/HumanEval/127/L0_L15,48_case_bounded_hard_tail_sample_no_label_changes
39,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,63,74,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/94/2,2,941,HumanEval/94,609,332,5,331,114,3,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",114,False,False,False,64,9,114,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:941:RandomSpanInfilling/HumanEval/94/2,48_case_bounded_hard_tail_sample_no_label_changes
40,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,27,37,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/132/L0_L15,L0_L15,4597,HumanEval/132,473,470,6,147,131,3,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",131,False,False,False,64,4,131,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:4597:MultiLineInfilling/HumanEval/132/L0_L15,48_case_bounded_hard_tail_sample_no_label_changes
41,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,64,75,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/156/1,1,1560,HumanEval/156,398,275,41,171,114,15,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",114,False,False,False,64,9,114,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:1560:RandomSpanInfilling/HumanEval/156/1,48_case_bounded_hard_tail_sample_no_label_changes
42,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,26,36,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/107/L0_L11,L0_L11,3281,HumanEval/107,677,377,0,234,134,0,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",134,False,False,False,64,3,134,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:3281:MultiLineInfilling/HumanEval/107/L0_L11,48_case_bounded_hard_tail_sample_no_label_changes
43,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,31,41,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/2/4,4,23,HumanEval/2,333,2,20,87,1,8,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,False,False,64,3,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:23:RandomSpanInfilling/HumanEval/2/4,48_case_bounded_hard_tail_sample_no_label_changes
44,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,24,34,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/148/L0_L8,L0_L8,5369,HumanEval/148,776,479,0,220,140,0,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",140,False,False,False,64,3,140,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:5369:MultiLineInfilling/HumanEval/148/L0_L8,48_case_bounded_hard_tail_sample_no_label_changes
45,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,39,50,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/3/3,3,32,HumanEval/3,497,31,51,135,9,15,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,False,64,7,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:32:RandomSpanInfilling/HumanEval/3/3,48_case_bounded_hard_tail_sample_no_label_changes
46,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,3,6,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L16_L16,L16_L16,132,HumanEval/1,907,18,0,216,4,0,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,True,False,64,3,4,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:132:MultiLineInfilling/HumanEval/1/L16_L16,48_case_bounded_hard_tail_sample_no_label_changes
47,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,62,73,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/39/2,2,391,HumanEval/39,267,352,14,106,117,6,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",117,False,False,False,64,4,117,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:391:RandomSpanInfilling/HumanEval/39/2,48_case_bounded_hard_tail_sample_no_label_changes
