diagnostic_name_zh,variant,record_scope,offset,reference_subset,final_verdict,generation_stage,actual_total_variation_task_group_macro,cases,raw_total_variation_task_group_macro,task_groups,transitions
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,overall,all,late,0.3300048828125,5,0.18080959630509216,5,10
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,overall,pass,all,0.0901488207144547,946,0.23535803939742597,151,6533
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,overall,pass,early,0.08910033303975037,946,0.23575825298174735,151,6345
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,overall,pass,middle,0.10026131169375133,25,0.21430213367522058,22,180
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,overall,pass,late,0.412506103515625,4,0.21002307852419713,4,8
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,overall,fail,all,0.24094554908445248,80,0.37415707796015935,55,799
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,overall,fail,early,0.24228116456570511,80,0.3766990552604129,55,741
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,overall,fail,middle,0.2697120949074074,6,0.35231481536498505,6,56
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,overall,fail,late,0.0,1,0.06395566742867231,1,2
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,reference_prefix_aligned,all,early,0.12683174254824242,858,0.3154502608906445,149,3278
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,reference_prefix_aligned,all,middle,0.00762939453125,7,0.24192245058382053,6,47
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,reference_prefix_aligned,all,late,0.0,1,0.4740564525127411,1,1
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,reference_prefix_aligned,pass,all,0.11922034827222935,813,0.3055310306138859,143,3195
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,reference_prefix_aligned,pass,early,0.11940939548407918,812,0.30554430599439564,143,3147
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,reference_prefix_aligned,pass,middle,0.00762939453125,7,0.24192245058382053,6,47
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,reference_prefix_aligned,pass,late,0.0,1,0.4740564525127411,1,1
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,reference_prefix_aligned,fail,all,0.2391069153812841,46,0.3964030825979618,38,131
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,reference_prefix_aligned,fail,early,0.2391069153812841,46,0.3964030825979618,38,131
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,predecessor_correct,all,early,0.12578929165950245,881,0.3200461728455464,153,3490
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,predecessor_correct,all,middle,0.00762939453125,7,0.24192245058382053,6,47
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,predecessor_correct,all,late,0.0,1,0.4740564525127411,1,1
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,predecessor_correct,pass,all,0.11837908199691387,829,0.30649180017933114,144,3373
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,predecessor_correct,pass,early,0.11856420817905586,828,0.30650789922649724,144,3325
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,predecessor_correct,pass,middle,0.00762939453125,7,0.24192245058382053,6,47
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,predecessor_correct,pass,late,0.0,1,0.4740564525127411,1,1
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,predecessor_correct,fail,all,0.22998367605870643,53,0.40847001051724857,43,165
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,predecessor_correct,fail,early,0.22998367605870643,53,0.40847001051724857,43,165
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,overall,all,early,0.16335325281067914,1010,0.3526712919326454,162,5945
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,overall,all,middle,0.15545941147149778,28,0.2842721337237409,24,196
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,overall,all,late,0.333251953125,3,0.3548647115627925,3,4
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,overall,pass,all,0.14153969084519644,933,0.327030271057037,151,5474
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,overall,pass,early,0.14142140468305708,932,0.32800350190373123,151,5323
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,overall,pass,middle,0.1514000701904297,23,0.2885854907743152,20,148
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,overall,pass,late,0.4998779296875,2,0.5286469194106758,2,3
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,overall,fail,all,0.32170337837970375,78,0.49029569437632026,53,671
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,overall,fail,early,0.3263919965234319,78,0.4955128298299516,53,622
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,overall,fail,middle,0.14060489430147058,5,0.29320232228686416,5,48
全局置信度逐词刷新诊断,C1,stage_and_verdict,3,overall,fail,late,0.0,1,0.007300295867025852,1,1
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,reference_prefix_aligned,all,early,0.0496529494815231,1012,0.08155540780992473,164,5387
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,reference_prefix_aligned,all,middle,0.0019601004464285714,9,0.03247102629853883,7,63
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,reference_prefix_aligned,pass,all,0.035649354857441064,925,0.06880786837384366,150,5126
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,reference_prefix_aligned,pass,early,0.0356506886946004,925,0.06889311005123502,150,5063
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,reference_prefix_aligned,pass,middle,0.0019601004464285714,9,0.03247102629853883,7,63
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,reference_prefix_aligned,fail,all,0.10674185880125038,87,0.14221818152452326,56,324
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,reference_prefix_aligned,fail,early,0.10674185880125038,87,0.14221818152452326,56,324
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,predecessor_correct,all,early,0.04742409279595611,1017,0.07941409398544444,164,5665
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,predecessor_correct,all,middle,0.026715087890625003,10,0.05060953518662315,8,68
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,predecessor_correct,pass,all,0.03175504498150532,929,0.06584516791259894,150,5366
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,predecessor_correct,pass,early,0.031627370305065614,929,0.06584909459489738,150,5298
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,predecessor_correct,pass,middle,0.026715087890625003,10,0.05060953518662315,8,68
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,predecessor_correct,fail,all,0.11587325661215257,88,0.1455996054842319,56,367
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,predecessor_correct,fail,early,0.11587325661215257,88,0.1455996054842319,56,367
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,overall,all,early,0.06741355129177351,1027,0.11320006795162663,164,9069
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,overall,all,middle,0.07703013597468254,49,0.18125175818835906,45,369
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,overall,all,late,0.1075672117053953,6,0.1750804915329068,6,78
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,overall,pass,all,0.05007496925890178,938,0.09646130096041308,150,8321
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,overall,pass,early,0.05004442947615928,938,0.09506613308513755,150,7974
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,overall,pass,middle,0.04213365960594247,43,0.16744472594198673,40,308
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,overall,pass,late,0.10569285857371793,4,0.18017880471142678,4,39
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,overall,fail,all,0.15470402233320854,89,0.20283054431495134,56,1195
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,overall,fail,early,0.15390357983562986,89,0.20213210230580989,56,1095
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,overall,fail,middle,0.29914977058531744,6,0.28385844151313894,6,61
固定左前沿逐词刷新诊断,L1,stage_and_verdict,1,overall,fail,late,0.11131591796875,2,0.16488386517586678,2,39
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,reference_prefix_aligned,all,early,0.09045104149902367,981,0.24603233218499598,159,4384
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,reference_prefix_aligned,all,middle,0.0033908420138888886,7,0.16505504100221313,6,54
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,reference_prefix_aligned,pass,all,0.070976974236751,901,0.22566737054420305,147,4201
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,reference_prefix_aligned,pass,early,0.07110502942666734,901,0.22571332534680819,147,4147
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,reference_prefix_aligned,pass,middle,0.0033908420138888886,7,0.16505504100221313,6,54
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,reference_prefix_aligned,fail,all,0.21001228081001033,80,0.33831305969167064,52,237
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,reference_prefix_aligned,fail,early,0.21001228081001033,80,0.33831305969167064,52,237
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,predecessor_correct,all,early,0.08804356994634115,989,0.24474920192891828,159,4662
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,predecessor_correct,all,middle,0.06004929315476191,8,0.21446906369667323,7,59
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,predecessor_correct,pass,all,0.06804564083940345,907,0.22397899656396122,147,4441
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,predecessor_correct,pass,early,0.06789995068955539,907,0.22379699076510423,147,4382
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,predecessor_correct,pass,middle,0.06004929315476191,8,0.21446906369667323,7,59
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,predecessor_correct,fail,all,0.2118923142875411,82,0.3447456856655839,53,280
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,predecessor_correct,fail,early,0.2118923142875411,82,0.3447456856655839,53,280
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,overall,all,early,0.13139066778670616,1027,0.27876288278737354,164,8091
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,overall,all,middle,0.18814575228117325,36,0.3018996702682548,33,326
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,overall,all,late,0.20135105423062863,6,0.33582455422887464,6,72
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,overall,pass,all,0.10629660884382147,938,0.25036188705957735,150,7383
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,overall,pass,early,0.10505514159202867,938,0.2501588387530505,150,7079
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,overall,pass,middle,0.13476626481687046,30,0.26276846998305864,27,269
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,overall,pass,late,0.18503824869791666,4,0.32430499777685673,4,35
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,overall,fail,all,0.266786581730945,89,0.40305890298367536,56,1106
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,overall,fail,early,0.2669261014063013,89,0.4026744961366587,56,1012
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,overall,fail,middle,0.42835344587053575,6,0.4779900715516377,6,57
固定左前沿逐词刷新诊断,L1,stage_and_verdict,2,overall,fail,late,0.23397666529605263,2,0.35886366713291024,2,37
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,reference_prefix_aligned,all,early,0.13332033010398697,864,0.32396799869497933,150,3410
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,reference_prefix_aligned,all,middle,0.00762939453125,7,0.24192245058382053,6,47
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,reference_prefix_aligned,pass,all,0.12219216616796551,815,0.309429609459417,143,3300
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,reference_prefix_aligned,pass,early,0.12237562094914411,815,0.3094891336465082,143,3253
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,reference_prefix_aligned,pass,middle,0.00762939453125,7,0.24192245058382053,6,47
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,reference_prefix_aligned,fail,all,0.2512559616929734,49,0.43010570229662815,37,157
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,reference_prefix_aligned,fail,early,0.2512559616929734,49,0.43010570229662815,37,157
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,predecessor_correct,all,early,0.1224812183974459,889,0.326799884251049,154,3686
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,predecessor_correct,all,middle,0.07796805245535714,8,0.28570571689979946,7,51
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,predecessor_correct,pass,all,0.11195189426329849,832,0.3094271908604671,144,3537
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,predecessor_correct,pass,early,0.11184884300561529,832,0.3093250927336709,144,3486
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,predecessor_correct,pass,middle,0.07796805245535714,8,0.28570571689979946,7,51
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,predecessor_correct,fail,all,0.22884353980261501,57,0.42987646230538124,43,200
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,predecessor_correct,fail,early,0.22884353980261501,57,0.42987646230538124,43,200
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,overall,all,early,0.1981017395858978,1026,0.3843980142426105,164,7100
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,overall,all,middle,0.20029366313866437,33,0.3533977408725743,30,296
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,overall,all,late,0.33613398081315127,5,0.4750321593913987,5,66
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,overall,pass,all,0.1640785632103304,937,0.349048105842737,150,6445
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,overall,pass,early,0.16288741717338925,937,0.34967589615543393,150,6171
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,overall,pass,middle,0.19034449026044484,28,0.34242973690171036,25,243
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,overall,pass,late,0.30960417349577507,3,0.4648017100704498,3,31
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,overall,fail,all,0.3632447780709042,89,0.5346475652306458,56,1017
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,overall,fail,early,0.3640749844820424,89,0.535103654930144,56,929
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,overall,fail,middle,0.2500395275297619,5,0.40823776072689466,5,53
固定左前沿逐词刷新诊断,L1,stage_and_verdict,3,overall,fail,late,0.3759286917892157,2,0.49037783337282204,2,35
