row_key,group_key,length_bucket_offline_only,candidate_count,unique_candidate_hashes,parsable_candidate_count,unique_parsable_ast_hashes,mean_semantic_unit_precision_offline,mean_semantic_unit_coverage_offline,all_deployable_candidates_fail,all_fail_union_correct_semantic_units,all_fail_best_single_correct_semantic_units,all_fail_complementary_correct_units,consensus_landmark_count,consensus_landmark_precision_offline
HumanEval-RandomSpanInfillingLight:128:add2f2ae6f1451b4,1d30e4b18ff7fddc,extreme,8,4,8,4,0.24702380952380953,0.28571428571428564,False,,,,7,0.2857142857142857
HumanEval-RandomSpanInfillingLight:129:a697f50a6ce1b52b,aab01b4987ecde40,extreme,8,4,8,4,0.71510989010989,0.6730769230769231,True,10,10,0,12,0.8333333333333334
HumanEval-RandomSpanInfillingLight:12:f2aa2ebb7823f0fe,d98e9fb34bc25697,medium,8,4,8,4,0.515625,0.65625,False,,,,10,0.5
HumanEval-RandomSpanInfillingLight:130:371ca144af5a3b0b,d8049f9b4a4429ac,extreme,8,4,6,3,0.7211538461538463,0.7500000000000001,True,9,9,0,11,0.8181818181818182
HumanEval-RandomSpanInfillingLight:131:271c81b1e35e20a6,9402e0557b48eb32,extreme,8,4,8,4,0.7908730158730158,0.6071428571428571,False,,,,15,0.8
HumanEval-RandomSpanInfillingLight:132:41673e28194f812d,5692b41634fd58f9,extreme,8,4,6,3,0.6881313131313133,0.6166666666666667,True,14,14,0,18,0.7777777777777778
HumanEval-RandomSpanInfillingLight:133:496ffd15fdecb329,7d01223b15baa2f1,medium,8,4,8,3,0.5555555555555554,1.0,False,,,,9,0.1111111111111111
HumanEval-RandomSpanInfillingLight:134:ec0256dadf244506,c42f51995f91c193,medium,8,4,8,4,0.6428571428571428,0.6666666666666666,False,,,,7,0.2857142857142857
HumanEval-RandomSpanInfillingLight:136:0417cc08e922a8e3,3637b53812b3e5cf,extreme,8,4,8,4,0.6875,0.6499999999999999,True,8,8,0,12,0.5
HumanEval-RandomSpanInfillingLight:137:1e745603e508af0a,678e9d27b1dff6f5,medium,8,4,8,4,0.6812499999999999,1.0,False,,,,10,0.6
HumanEval-RandomSpanInfillingLight:138:a9985a6c90b86fc5,6b23e606859f363a,short,8,4,6,3,0.7666666666666667,0.75,False,,,,2,1.0
HumanEval-RandomSpanInfillingLight:139:128fc53e7611a26a,5e63c7500073ec52,extreme,8,4,8,4,0.816908091908092,0.9166666666666666,True,9,9,0,11,0.8181818181818182
HumanEval-RandomSpanInfillingLight:13:4c9d3db0afe5e5b1,f22f28074db0ec8a,long,8,4,8,4,0.8819444444444444,1.0,False,,,,8,0.875
HumanEval-RandomSpanInfillingLight:140:266fa0792231a9b7,746851772fe7b228,extreme,8,4,8,4,0.839366515837104,0.875,True,10,10,0,13,0.7692307692307693
HumanEval-RandomSpanInfillingLight:141:cd1793f5b2b02246,960a4cb872c861d4,extreme,8,4,8,4,1.0,0.9166666666666666,False,,,,6,1.0
HumanEval-RandomSpanInfillingLight:142:17ab20ba3def4d2f,724ab4a7930dfae3,extreme,8,4,8,4,0.875,0.9642857142857143,False,,,,7,1.0
HumanEval-RandomSpanInfillingLight:144:89406614f0f7a51e,e186ae92a13659e0,extreme,8,4,6,3,0.8928571428571428,0.625,False,,,,16,1.0
HumanEval-RandomSpanInfillingLight:145:2bfeba715780abb9,003ad17d44ee74e1,extreme,8,4,8,4,0.5833333333333334,0.3999999999999999,True,6,5,1,10,0.6
HumanEval-RandomSpanInfillingLight:146:79bb8acf49eed1aa,c819a7643b8e1984,long,8,4,8,4,0.6833333333333333,0.7999999999999999,True,4,4,0,6,0.6666666666666666
HumanEval-RandomSpanInfillingLight:147:94e62c0c801ab8d4,54841ae27a67a85d,extreme,8,4,4,2,0.8126488095238096,0.5357142857142858,True,13,13,0,15,0.8666666666666667
HumanEval-RandomSpanInfillingLight:148:38cd7b90e9046591,36a4d5329d5fb735,extreme,8,4,8,4,1.0,0.8125,True,12,12,0,11,1.0
HumanEval-RandomSpanInfillingLight:14:8100a1983da68053,963267bc4e5e2c82,long,8,4,8,4,0.7784090909090908,0.9166666666666667,True,9,9,0,12,0.75
HumanEval-RandomSpanInfillingLight:150:3d1ca374d4fb88cf,81ae98b7ccb20c9f,extreme,8,4,8,4,0.7458333333333332,0.7222222222222222,False,,,,9,0.7777777777777778
HumanEval-RandomSpanInfillingLight:151:4c790326085f95cb,0fd29f10f86a3200,long,8,4,4,2,0.7666666666666666,0.3333333333333333,False,,,,2,1.0
HumanEval-RandomSpanInfillingLight:152:fc8d9677f7d12a4b,d47469b0dd905e9b,medium,8,4,2,1,0.8125,0.35714285714285715,False,,,,3,1.0
HumanEval-RandomSpanInfillingLight:154:fbd8c83b865f5c99,921a47ced9a9fdbd,medium,8,4,8,4,0.7720588235294117,1.0,False,,,,17,0.5882352941176471
HumanEval-RandomSpanInfillingLight:155:7f713619cf05768a,2d74a37df1f346e1,extreme,8,4,6,3,0.6888111888111887,0.4807692307692308,True,12,10,2,9,0.8888888888888888
HumanEval-RandomSpanInfillingLight:156:eb9a684bf2cf78b3,ea9e6a5c5012cd9e,extreme,8,4,6,3,0.9423076923076923,0.625,False,,,,9,1.0
HumanEval-RandomSpanInfillingLight:157:9ddf293ad8b2ffbf,59eb8cd69a9aef06,long,8,4,2,1,0.9375,0.125,True,3,3,0,0,1.0
HumanEval-RandomSpanInfillingLight:158:eff979880b7e39e6,cfdf1eba8143f654,medium,8,4,8,4,0.575,1.0,True,4,4,0,8,0.5
HumanEval-RandomSpanInfillingLight:159:e32a2b1ce4dba730,bc42b1812387aa01,medium,8,4,8,4,0.8285714285714284,1.0,False,,,,7,0.8571428571428571
HumanEval-RandomSpanInfillingLight:15:333b588dd410244c,97680794067f1f3a,medium,8,4,2,1,0.875,0.16666666666666666,False,,,,0,1.0
HumanEval-RandomSpanInfillingLight:160:f4deb8f47e8b82d7,8cf7feb86cfbede7,extreme,8,4,8,4,0.6799242424242423,0.5416666666666667,False,,,,12,0.5833333333333334
HumanEval-RandomSpanInfillingLight:161:b072db3d69599d1e,b60f289834af331f,extreme,8,4,8,4,0.9375,0.6785714285714285,False,,,,11,1.0
HumanEval-RandomSpanInfillingLight:162:5793424e619c87c6,b4dcd49627319c1b,medium,8,4,8,4,0.875,1.0,False,,,,4,0.75
HumanEval-RandomSpanInfillingLight:163:691a401caf1677a9,ee978da21b525eac,long,8,4,2,1,0.8409090909090909,0.3928571428571428,False,,,,4,1.0
HumanEval-RandomSpanInfillingLight:16:128c8aed57ff58a8,6a29427f6e6a1323,short,8,4,6,3,0.5214285714285714,0.6666666666666667,True,3,3,0,9,0.3333333333333333
HumanEval-RandomSpanInfillingLight:17:9b02770240a54b27,2bcdef9bb0b65744,long,8,4,8,3,0.8333333333333333,1.0,False,,,,2,1.0
HumanEval-RandomSpanInfillingLight:18:acbd91212ee7b05d,f1820e35c0145254,extreme,8,4,8,4,0.875,0.9722222222222222,False,,,,9,1.0
HumanEval-RandomSpanInfillingLight:19:c83d0aaf6ba63d05,7b5e464ce3780827,medium,8,4,2,1,0.6785714285714286,0.25,True,5,5,0,1,0.0
HumanEval-RandomSpanInfillingLight:1:dac9278b36595a63,2b625257b3a2242c,extreme,8,4,6,3,0.8142857142857143,0.6923076923076924,True,12,12,0,12,1.0
HumanEval-RandomSpanInfillingLight:20:e55eaad75c7c6016,59e2617f1272aa7d,extreme,8,4,6,3,0.8020833333333334,0.5,True,14,14,0,16,0.875
HumanEval-RandomSpanInfillingLight:21:79f1bea1039577ae,9677d6b644e8876f,medium,8,4,8,4,0.6875,1.0,False,,,,11,0.45454545454545453
HumanEval-RandomSpanInfillingLight:22:107431e58ce52b8c,cc301d73c6c42631,medium,8,4,4,2,0.8541666666666666,0.5,False,,,,6,1.0
HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248,4719e7e500d2aa9f,short,8,4,4,2,0.5,0.0,True,0,0,0,2,0.0
HumanEval-RandomSpanInfillingLight:24:eec0316eef796e2d,5759fc1500037510,long,8,4,2,1,0.9166666666666666,0.2916666666666667,True,5,5,0,2,1.0
HumanEval-RandomSpanInfillingLight:25:e808d52ec513ac70,2531b6d85aef08ef,medium,8,4,8,4,0.6378205128205129,0.7916666666666665,False,,,,11,0.45454545454545453
HumanEval-RandomSpanInfillingLight:26:5f0d662baecb0df6,c62081b0f433c374,medium,8,4,6,3,0.43327020202020206,0.7000000000000001,False,,,,8,0.5
HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef,5a8cd521042adfd0,short,8,4,4,2,0.0,1.0,False,,,,9,0.0
HumanEval-RandomSpanInfillingLight:29:bf9cd5a4f37c83e4,b477117fee212338,short,8,4,4,2,0.8409090909090909,0.5,False,,,,4,1.0
HumanEval-RandomSpanInfillingLight:2:96e7bc5401429951,3273f6bf8feb0b83,short,8,4,0,0,0.75,1.0,True,0,0,0,0,1.0
HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612,70c26eeaed728566,medium,8,4,6,3,0.7261904761904763,0.75,False,,,,6,0.6666666666666666
HumanEval-RandomSpanInfillingLight:32:b8b59e4778abe4f8,6324b7c6ab799ff5,medium,8,4,8,4,0.753125,1.0,True,7,7,0,10,0.7
HumanEval-RandomSpanInfillingLight:33:3f0ae31a58f595be,237b0ff87e37617d,medium,8,4,8,4,0.47440476190476194,1.0,True,3,3,0,11,0.2727272727272727
HumanEval-RandomSpanInfillingLight:34:b31bdd701884d237,19fa3e9692bea7d4,short,8,4,8,4,0.2984126984126984,1.0,False,,,,7,0.2857142857142857
HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a,70c0a34969431813,long,8,4,8,4,0.6208333333333333,1.0,False,,,,5,0.4
HumanEval-RandomSpanInfillingLight:37:c528fd524a76dec1,4d58b82570cbbb2c,extreme,8,4,8,4,0.7463924963924963,0.5576923076923077,True,8,8,0,9,0.7777777777777778
HumanEval-RandomSpanInfillingLight:38:1704cf9b3cfbaeff,ac049a10d4c69a6a,short,8,4,6,3,0.5416666666666666,0.25,True,1,1,0,5,0.0
HumanEval-RandomSpanInfillingLight:39:d0f9d661741d1562,1b36ebe37146e876,extreme,8,4,6,3,0.78125,0.6,True,5,5,0,8,0.625
HumanEval-RandomSpanInfillingLight:3:5bf62e23f96adddc,a62f14a8ccb0cf88,long,8,4,8,4,0.8571428571428572,0.875,True,6,6,0,6,1.0
HumanEval-RandomSpanInfillingLight:40:889964ab8a3c74c1,cd672a055a9ca75d,extreme,8,4,6,3,0.8550420168067228,0.8541666666666667,False,,,,12,1.0
HumanEval-RandomSpanInfillingLight:41:96d1a1255c742fc1,b3e360ed26a9f21a,short,8,4,0,0,1.0,0.0,True,0,0,0,0,1.0
HumanEval-RandomSpanInfillingLight:42:e7b2b8a4c7493431,971332783cb9d80f,short,8,4,4,2,0.7321428571428572,0.5,False,,,,6,0.5
HumanEval-RandomSpanInfillingLight:43:b95b89416c2f581f,c751c38b6a16f598,extreme,8,4,8,4,0.7506868131868132,0.6875,False,,,,13,0.7692307692307693
HumanEval-RandomSpanInfillingLight:44:b4c20f0be1caf41e,5e2a4f7a738ef97c,medium,8,4,8,4,0.7920454545454545,1.0,False,,,,12,0.75
HumanEval-RandomSpanInfillingLight:45:d0708ca509d2f7af,4ba4a3691e883e53,short,8,4,2,1,0.25,1.0,False,,,,3,0.0
HumanEval-RandomSpanInfillingLight:46:5388787de392320f,14ccd9bcc34260ef,long,8,4,8,4,0.4880952380952381,1.0,False,,,,5,0.4
HumanEval-RandomSpanInfillingLight:47:9c7732ce533d225d,3cc3ff28b66e4de1,extreme,8,4,8,4,0.78125,1.0,False,,,,3,1.0
HumanEval-RandomSpanInfillingLight:48:1e1a0010a66302b5,316279a43cc11fa1,long,8,4,8,4,0.8506493506493504,1.0,False,,,,6,1.0
HumanEval-RandomSpanInfillingLight:49:7b8a0fc03742bd87,4fccd624ee354f5e,short,8,4,8,4,0.43717948717948707,0.875,False,,,,14,0.2857142857142857
HumanEval-RandomSpanInfillingLight:4:1afc9c1a6c1dc226,f921ad923ee1debd,medium,8,4,8,3,0.8028846153846154,1.0,False,,,,6,1.0
HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf,be1ee02ddbb8064c,short,8,4,8,4,0.25,1.0,True,0,0,0,6,0.0
HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4,df450ef6726c4dd6,medium,8,4,8,4,0.4206349206349206,1.0,True,4,4,0,10,0.4
HumanEval-RandomSpanInfillingLight:53:b9f0d5be8a97da64,51e1a8265537750f,short,8,4,4,2,0.22410714285714284,0.75,False,,,,8,0.25
HumanEval-RandomSpanInfillingLight:54:ae3f432340a0729f,a5713988c2cb65c7,medium,8,4,4,2,0.7575757575757576,0.4,True,4,4,0,5,0.8
HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5,58ff48a93e326c3f,extreme,8,4,8,4,0.71875,1.0,False,,,,4,0.75
HumanEval-RandomSpanInfillingLight:56:cc3a974ef3d21045,d1f91125b3350ab6,extreme,8,4,8,4,0.8214285714285714,0.875,False,,,,6,1.0
HumanEval-RandomSpanInfillingLight:57:c306aacce3dd640f,838f11b59257e250,medium,8,4,8,4,0.5821428571428571,0.9166666666666666,False,,,,6,0.5
HumanEval-RandomSpanInfillingLight:58:85a615d9ab6b2c91,2b009e04c83e050a,short,8,4,8,4,0.25192307692307686,1.0,False,,,,12,0.16666666666666666
HumanEval-RandomSpanInfillingLight:59:1d7be0991a006a75,afb05c037613a73d,medium,8,4,8,4,0.5544871794871794,0.95,False,,,,12,0.4166666666666667
HumanEval-RandomSpanInfillingLight:5:027ec5c0c5928360,232f52cff54e2e47,long,8,4,8,4,0.6151785714285715,0.9166666666666666,True,6,6,0,10,0.6
HumanEval-RandomSpanInfillingLight:60:feda1953ec63c0f7,ce5c364ac4d7a581,short,8,4,2,1,0.9166666666666666,0.16666666666666666,True,2,2,0,0,1.0
HumanEval-RandomSpanInfillingLight:61:cdc7f41a9215452e,0c909c3134936803,long,8,4,8,4,0.7499999999999999,0.9375,False,,,,6,0.6666666666666666
HumanEval-RandomSpanInfillingLight:62:fb6f522d976ea7be,eb7e81a5bec9e5e1,short,8,4,2,1,0.5,1.0,True,0,0,0,1,0.0
HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16,a4314dada4015958,extreme,8,4,4,2,1.0,0.5,False,,,,3,1.0
HumanEval-RandomSpanInfillingLight:64:7df0c721159da1af,50f6239dbdcd0f9b,extreme,8,4,8,4,0.5755494505494505,0.9375,True,4,4,0,8,0.5
HumanEval-RandomSpanInfillingLight:65:958d25fa93bd4e71,9a5c4ea2c95951f5,long,8,4,2,1,0.7135416666666666,0.35000000000000003,True,5,4,1,3,0.6666666666666666
HumanEval-RandomSpanInfillingLight:67:ae9afb47f12db515,38f458158d34b7fb,long,8,4,8,4,0.8916666666666668,0.9444444444444444,True,9,9,0,9,1.0
HumanEval-RandomSpanInfillingLight:68:3d28a7f2084eb9df,c6c5ce0347d4e19f,long,8,4,8,4,0.5808080808080809,0.625,False,,,,13,0.46153846153846156
HumanEval-RandomSpanInfillingLight:6:f034ae89aa25d4fa,be3eebd770386605,extreme,8,4,8,4,0.13333333333333333,0.13636363636363635,False,,,,6,0.3333333333333333
HumanEval-RandomSpanInfillingLight:70:45019232b34441d4,db3eff1bec83b7ad,long,8,4,8,4,0.7594017094017094,0.96875,False,,,,9,0.8888888888888888
HumanEval-RandomSpanInfillingLight:71:e46913e9396c9827,2a8f575950c3086e,extreme,8,4,8,4,0.7903409090909091,0.8888888888888888,False,,,,11,0.8181818181818182
HumanEval-RandomSpanInfillingLight:72:f1dc6871e30b99b0,f5cb1c7b19189999,extreme,8,4,8,4,0.9090909090909092,0.9722222222222222,False,,,,10,0.9
HumanEval-RandomSpanInfillingLight:73:2fba7e9af12688a7,6c631f77367964c7,long,8,4,8,4,0.7783653846153846,0.9642857142857143,False,,,,10,0.7
HumanEval-RandomSpanInfillingLight:74:afb4a920ace0a9c0,36327d591bd95858,extreme,8,4,8,4,0.756578947368421,0.7708333333333334,False,,,,11,0.8181818181818182
HumanEval-RandomSpanInfillingLight:75:fd49bfef78698e78,2a3fd79f09430b34,extreme,8,4,8,4,0.9642857142857142,0.8333333333333333,False,,,,12,1.0
HumanEval-RandomSpanInfillingLight:77:83a726f7403c583d,eb8e56493070f0ed,medium,8,4,8,4,0.5791666666666667,0.6666666666666666,True,2,2,0,4,0.5
HumanEval-RandomSpanInfillingLight:79:4e9d63147475ee15,85631acc557f05cb,short,8,4,8,4,0.5166666666666666,1.0,True,2,2,0,3,0.6666666666666666
HumanEval-RandomSpanInfillingLight:7:c1f6b7150375bd50,2733b90a7cad1177,short,8,4,6,3,0.5697802197802198,0.75,False,,,,10,0.4
HumanEval-RandomSpanInfillingLight:80:794a74636fa0c8ed,5a4ecec291dac254,extreme,8,4,8,4,0.9285714285714286,1.0,True,5,5,0,5,1.0
HumanEval-RandomSpanInfillingLight:82:9d6ca96cfb19f579,49bd100cd1fe4828,extreme,8,4,8,4,0.9125000000000001,0.9772727272727273,False,,,,12,0.9166666666666666
HumanEval-RandomSpanInfillingLight:83:f5b85023b5b20ecc,604a3eb3d2599a68,long,8,4,8,4,0.4326923076923077,0.9166666666666666,True,3,3,0,6,0.5
HumanEval-RandomSpanInfillingLight:85:9ac42109d4bb7c70,08e1de8dd39cedf8,long,8,4,6,3,0.7392857142857142,0.9166666666666667,False,,,,7,0.8571428571428571
HumanEval-RandomSpanInfillingLight:86:36a55f80f0b49607,0dedbe601f628587,medium,8,4,8,4,0.4861111111111111,0.5416666666666666,False,,,,7,0.42857142857142855
HumanEval-RandomSpanInfillingLight:87:d0581266c0cc4f23,5122472887b985fd,long,8,4,8,4,0.7560331825037707,1.0,False,,,,15,0.6666666666666666
HumanEval-RandomSpanInfillingLight:88:f77c589299b0eb4a,16630b3cfa38242c,medium,8,4,4,2,0.5083333333333333,0.33333333333333337,True,2,2,0,4,0.25
HumanEval-RandomSpanInfillingLight:89:4ee80a7700ef6e98,9c8063c821462ba5,medium,8,4,8,4,0.6047619047619047,1.0,False,,,,12,0.3333333333333333
HumanEval-RandomSpanInfillingLight:8:95068ce714f09af6,3e38f74ddaa1e169,extreme,8,4,8,4,0.6805555555555556,0.75,False,,,,9,0.7777777777777778
HumanEval-RandomSpanInfillingLight:90:dd01e5614b0e50ee,4b46a42403ef2e9d,medium,8,4,8,4,0.6696428571428571,0.5,True,3,3,0,5,0.6
HumanEval-RandomSpanInfillingLight:92:38e5983303e0cea8,b01793d951b883ed,extreme,8,4,6,3,0.9444444444444444,0.75,False,,,,7,1.0
HumanEval-RandomSpanInfillingLight:93:8c0b3c4c468b2fdd,fd321c069b451190,extreme,8,4,8,4,0.9,0.33333333333333326,True,6,6,0,6,1.0
HumanEval-RandomSpanInfillingLight:94:7fb920ae1649b15e,ac4555e07d0a71c3,extreme,8,4,8,4,0.7496843434343434,0.7291666666666666,False,,,,11,0.9090909090909091
HumanEval-RandomSpanInfillingLight:95:1ffeb6ea0ed5446e,3c6fff5d09ed505c,extreme,8,4,6,2,0.7878787878787878,0.6136363636363636,True,9,9,0,9,1.0
HumanEval-RandomSpanInfillingLight:96:89f241007004b293,69dd8d045385471d,extreme,8,4,8,4,0.6424603174603174,0.84375,False,,,,10,0.8
HumanEval-RandomSpanInfillingLight:97:d70425fedaa70700,cc2f1c675fcfb5a1,medium,8,4,8,4,0.557142857142857,1.0,False,,,,7,0.42857142857142855
HumanEval-RandomSpanInfillingLight:99:aa64561371c96dc8,ac211ab8ad53e1d3,short,8,4,8,4,0.0,1.0,False,,,,5,0.0
HumanEval-RandomSpanInfillingLight:9:c7e5c290aba2557d,c58bbfc44a0e1b33,extreme,8,4,8,4,0.78125,0.857142857142857,False,,,,6,1.0
