action_id,action_was_executed,actual_canvas_length,actual_forward_steps,canvas_is_oracle_sufficient,case_pool,code_sha256,compile_passed,decode_steps,early_commit_enabled,early_commit_triggered,effective_steps,effective_update_steps,error_message_short,error_type,execution_note,experimental_seed,full_schedule_completed,generated_text_len,generated_text_sha256,no_remaining_masks_first_step,oracle_mask_length,output_changed_vs_C,passed,refinement_executed,refinement_steps,remasked_token_count,seed,selected_mask_length,source_commit,stage1_hash,stop_reason,task_group,task_id,total_sec_including_probe,total_token_changes
F_oracle_sufficient_trace_remask,True,32,76,True,positive_control_rescued,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,True,80,False,False,16,4,,,executed_trace_remask_refinement,1,True,100,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,14,21,False,True,True,16,4,1442169951,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,not_stopped,HumanEval/116,SingleLineInfilling/HumanEval/116/L0,6.34028774802573,4
C_oracle_sufficient,True,32,60,True,positive_control_rescued,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,True,64,True,True,60,31,,,executed_oracle_sufficient_early_commit,2,False,100,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,,21,False,True,,,,1373597692,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/116,SingleLineInfilling/HumanEval/116/L0,5.002330404007807,32
E_oracle_sufficient_no_early_commit,True,32,64,True,positive_control_rescued,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,True,64,False,False,64,32,,,executed_oracle_sufficient_no_early_commit,2,True,100,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,63,21,False,True,,,,1373597692,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,not_stopped,HumanEval/116,SingleLineInfilling/HumanEval/116/L0,4.998599848127924,32
F_oracle_sufficient_trace_remask,True,32,76,True,positive_control_rescued,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,True,80,False,False,16,4,,,executed_trace_remask_refinement,2,True,100,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,14,21,False,True,True,16,4,1373597692,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,not_stopped,HumanEval/116,SingleLineInfilling/HumanEval/116/L0,6.256642266293056,4
A_primary,True,3,,False,triggered_failed_long,fc90aaf0ff6f8984aa2f01db7ae709cdb75a0d976607d1146940b5b2584e004b,False,64,,False,64,,"invalid syntax (<unknown>, line 10)",SyntaxError,executed_primary,0,,12,cc0e41f32b21606bed32aca9ec81fa6a472ee89b35412d2d30d0f6304b942afe,,32,,False,,,,1114545344,3,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,no_remaining_masks,HumanEval/85,SingleLineInfilling/HumanEval/85/L0,3.4381479781586677,
B_route2_len32,True,32,,True,triggered_failed_long,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,False,64,,True,63,,"invalid syntax (<unknown>, line 12)",SyntaxError,executed_historical_route2_len_32,0,,85,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,,32,,False,,,,1114545344,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/85,SingleLineInfilling/HumanEval/85/L0,2.697329103015363,
C_oracle_sufficient,True,32,63,True,triggered_failed_long,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,False,64,True,True,63,32,"invalid syntax (<unknown>, line 12)",SyntaxError,executed_oracle_sufficient_early_commit,1,False,85,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,,32,False,False,,,,202271402,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/85,SingleLineInfilling/HumanEval/85/L0,2.7640695810550824,32
E_oracle_sufficient_no_early_commit,True,32,64,True,triggered_failed_long,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,False,64,False,False,64,32,"invalid syntax (<unknown>, line 12)",SyntaxError,executed_oracle_sufficient_no_early_commit,1,True,85,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,63,32,False,False,,,,202271402,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,not_stopped,HumanEval/85,SingleLineInfilling/HumanEval/85/L0,2.7784770409343764,32
F_oracle_sufficient_trace_remask,True,32,79,True,triggered_failed_long,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,False,80,False,False,16,4,"invalid syntax (<unknown>, line 12)",SyntaxError,executed_trace_remask_refinement,1,True,85,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,14,32,False,False,True,16,4,202271402,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,not_stopped,HumanEval/85,SingleLineInfilling/HumanEval/85/L0,3.439632833003998,4
C_oracle_sufficient,True,32,63,True,triggered_failed_long,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,False,64,True,True,63,32,"invalid syntax (<unknown>, line 12)",SyntaxError,executed_oracle_sufficient_early_commit,2,False,85,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,,32,False,False,,,,1222116230,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/85,SingleLineInfilling/HumanEval/85/L0,2.7143238260177895,32
E_oracle_sufficient_no_early_commit,True,32,64,True,triggered_failed_long,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,False,64,False,False,64,32,"invalid syntax (<unknown>, line 12)",SyntaxError,executed_oracle_sufficient_no_early_commit,2,True,85,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,63,32,False,False,,,,1222116230,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,not_stopped,HumanEval/85,SingleLineInfilling/HumanEval/85/L0,2.75922696699854,32
F_oracle_sufficient_trace_remask,True,32,79,True,triggered_failed_long,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,False,80,False,False,16,4,"invalid syntax (<unknown>, line 12)",SyntaxError,executed_trace_remask_refinement,2,True,85,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,14,32,False,False,True,16,4,1222116230,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,not_stopped,HumanEval/85,SingleLineInfilling/HumanEval/85/L0,3.463467980036512,4
A_primary,True,6,,False,missed_failed_long,c226b4df705286d5afa2947aa08b2a8a11229e5e6b066c15b1b68798bd84436f,True,64,,True,29,,failed: Test 1,UnitTestFailure,executed_primary,0,,22,b1c9952d0408f69d6e80ebf718b350a5f87e2b406d5382112a4265634fdff27e,,44,,False,,,,2039630392,6,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/113,SingleLineInfilling/HumanEval/113/L3,4.532122538308613,
B_route2_len32,False,6,,False,missed_failed_long,c226b4df705286d5afa2947aa08b2a8a11229e5e6b066c15b1b68798bd84436f,True,64,,True,29,,failed: Test 1,UnitTestFailure,route2_not_triggered_historically_reused_primary,0,,22,b1c9952d0408f69d6e80ebf718b350a5f87e2b406d5382112a4265634fdff27e,,44,,False,,,,2039630392,6,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/113,SingleLineInfilling/HumanEval/113/L3,4.532122538308613,
C_oracle_sufficient,True,44,46,True,missed_failed_long,fca7f07d7b0d4a7e3b24b749cd728a247dfdbefabb732b9fa7072ee04e46408b,True,64,True,True,46,32,failed: Test 1,UnitTestFailure,executed_oracle_sufficient_early_commit,0,False,159,9cb32a957675503e43d748232733ad1ba7989ccd78b69e4ac20287ad94015bda,,44,False,False,,,,2039630392,44,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/113,SingleLineInfilling/HumanEval/113/L3,4.53215608082246,44
E_oracle_sufficient_no_early_commit,True,44,64,True,missed_failed_long,841ebb5fc6f0e53e2617ea53aa37a2fc6d7693b4c579d8ba265cef5360338012,True,64,False,False,64,44,failed: Test 1,UnitTestFailure,executed_oracle_sufficient_no_early_commit,0,True,159,7f835d0008b6dec3b1be2ede02ed8ec350629c04ba9169da7934ee85886b5a2f,,44,True,False,,,,2039630392,44,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,not_stopped,HumanEval/113,SingleLineInfilling/HumanEval/113/L3,6.2160812669899315,44
F_oracle_sufficient_trace_remask,True,44,62,True,missed_failed_long,fca7f07d7b0d4a7e3b24b749cd728a247dfdbefabb732b9fa7072ee04e46408b,True,80,False,False,16,4,failed: Test 1,UnitTestFailure,executed_trace_remask_refinement,0,True,159,9cb32a957675503e43d748232733ad1ba7989ccd78b69e4ac20287ad94015bda,14,44,False,False,True,16,4,2039630392,44,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,9cb32a957675503e43d748232733ad1ba7989ccd78b69e4ac20287ad94015bda,not_stopped,HumanEval/113,SingleLineInfilling/HumanEval/113/L3,6.132677887915634,4
C_oracle_sufficient,True,44,46,True,missed_failed_long,fca7f07d7b0d4a7e3b24b749cd728a247dfdbefabb732b9fa7072ee04e46408b,True,64,True,True,46,32,failed: Test 1,UnitTestFailure,executed_oracle_sufficient_early_commit,1,False,159,9cb32a957675503e43d748232733ad1ba7989ccd78b69e4ac20287ad94015bda,,44,False,False,,,,1935449069,44,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/113,SingleLineInfilling/HumanEval/113/L3,4.555631557945162,44
E_oracle_sufficient_no_early_commit,True,44,64,True,missed_failed_long,841ebb5fc6f0e53e2617ea53aa37a2fc6d7693b4c579d8ba265cef5360338012,True,64,False,False,64,44,failed: Test 1,UnitTestFailure,executed_oracle_sufficient_no_early_commit,1,True,159,7f835d0008b6dec3b1be2ede02ed8ec350629c04ba9169da7934ee85886b5a2f,,44,True,False,,,,1935449069,44,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,not_stopped,HumanEval/113,SingleLineInfilling/HumanEval/113/L3,6.153264641878195,44
F_oracle_sufficient_trace_remask,True,44,62,True,missed_failed_long,fca7f07d7b0d4a7e3b24b749cd728a247dfdbefabb732b9fa7072ee04e46408b,True,80,False,False,16,4,failed: Test 1,UnitTestFailure,executed_trace_remask_refinement,1,True,159,9cb32a957675503e43d748232733ad1ba7989ccd78b69e4ac20287ad94015bda,14,44,False,False,True,16,4,1935449069,44,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,9cb32a957675503e43d748232733ad1ba7989ccd78b69e4ac20287ad94015bda,not_stopped,HumanEval/113,SingleLineInfilling/HumanEval/113/L3,5.9799251781078056,4
C_oracle_sufficient,True,44,46,True,missed_failed_long,fca7f07d7b0d4a7e3b24b749cd728a247dfdbefabb732b9fa7072ee04e46408b,True,64,True,True,46,32,failed: Test 1,UnitTestFailure,executed_oracle_sufficient_early_commit,2,False,159,9cb32a957675503e43d748232733ad1ba7989ccd78b69e4ac20287ad94015bda,,44,False,False,,,,935364879,44,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/113,SingleLineInfilling/HumanEval/113/L3,4.639164041844197,44
E_oracle_sufficient_no_early_commit,True,44,64,True,missed_failed_long,841ebb5fc6f0e53e2617ea53aa37a2fc6d7693b4c579d8ba265cef5360338012,True,64,False,False,64,44,failed: Test 1,UnitTestFailure,executed_oracle_sufficient_no_early_commit,2,True,159,7f835d0008b6dec3b1be2ede02ed8ec350629c04ba9169da7934ee85886b5a2f,,44,True,False,,,,935364879,44,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,not_stopped,HumanEval/113,SingleLineInfilling/HumanEval/113/L3,6.603658457053825,44
F_oracle_sufficient_trace_remask,True,44,62,True,missed_failed_long,fca7f07d7b0d4a7e3b24b749cd728a247dfdbefabb732b9fa7072ee04e46408b,True,80,False,False,16,4,failed: Test 1,UnitTestFailure,executed_trace_remask_refinement,2,True,159,9cb32a957675503e43d748232733ad1ba7989ccd78b69e4ac20287ad94015bda,14,44,False,False,True,16,4,935364879,44,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,9cb32a957675503e43d748232733ad1ba7989ccd78b69e4ac20287ad94015bda,not_stopped,HumanEval/113,SingleLineInfilling/HumanEval/113/L3,5.4912029129918665,4
