manifest_index,source_config,task_id,row_id,task_group,length_bucket,middle_len_tokens,control_passed,deployable_passed,oracle_passed,taxonomy,hard_tail_candidate,control_fixed64_selected_canvas_tokens,control_fixed64_error_type,best_deployable_cal_lite_alpha006_selected_canvas_tokens,best_deployable_cal_lite_alpha006_error_type,oracle_sufficient_canvas_selected_canvas_tokens,oracle_sufficient_canvas_error_type
11,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/14/L2_L2,400,HumanEval/14,medium,9,False,True,True,deployable_and_oracle_recover_control_failure,True,64,UnitTestFailure,9,,9,
12,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/21/L0_L0,622,HumanEval/21,medium,9,True,True,True,stable_all_pass,False,64,,9,,9,
13,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/24/L0_L0,630,HumanEval/24,medium,9,False,False,True,oracle_only_canvas_recoverable,True,64,UnitTestFailure,8,UnitTestFailure,9,
14,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/25/L0_L1,637,HumanEval/25,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,5,UnitTestFailure,9,UnitTestFailure
15,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/28/L0_L0,721,HumanEval/28,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,SyntaxError,9,UnitTestFailure
16,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/32/L7_L8,802,HumanEval/32,medium,9,False,True,True,deployable_and_oracle_recover_control_failure,True,64,UnitTestFailure,9,,9,
17,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/37/L5_L5,913,HumanEval/37,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,6,UnitTestFailure,9,UnitTestFailure
18,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/39/L12_L12,1034,HumanEval/39,medium,9,True,True,True,stable_all_pass,False,64,,9,,9,
19,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/40/L0_L0,1044,HumanEval/40,medium,9,True,True,True,stable_all_pass,False,64,,9,,9,
20,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/10/L5_L5,342,HumanEval/10,long,17,False,False,True,oracle_only_canvas_recoverable,True,64,SyntaxError,16,UnitTestFailure,17,
21,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/11/L1_L3,356,HumanEval/11,long,17,True,False,True,deployable_harm_vs_control,True,64,,7,UnitTestFailure,17,
22,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/12/L4_L5,385,HumanEval/12,long,17,False,False,True,oracle_only_canvas_recoverable,True,64,UnitTestFailure,4,SyntaxError,17,
23,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/20/L1_L3,532,HumanEval/20,long,17,True,True,True,stable_all_pass,False,64,,16,,17,
24,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/26/L2_L2,719,HumanEval/26,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,SyntaxError,17,SyntaxError
25,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/36/L6_L7,873,HumanEval/36,long,17,True,True,True,stable_all_pass,False,64,,16,,17,
26,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/43/L2_L3,1077,HumanEval/43,long,17,True,False,True,deployable_harm_vs_control,True,64,,16,UnitTestFailure,17,
27,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/44/L2_L3,1092,HumanEval/44,long,17,True,False,True,deployable_harm_vs_control,True,64,,11,UnitTestFailure,17,
28,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L1_L1,1145,HumanEval/48,long,17,False,False,True,oracle_only_canvas_recoverable,True,64,UnitTestFailure,6,UnitTestFailure,17,
29,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L2_L4,1209,HumanEval/56,long,17,False,True,True,deployable_and_oracle_recover_control_failure,True,64,UnitTestFailure,20,,17,
30,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/129/L0_L26,4239,HumanEval/129,extreme,191,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,SyntaxError,191,SyntaxError
31,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/156/L0_L13,5587,HumanEval/156,extreme,178,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,UnitTestFailure,178,UnitTestFailure
32,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/124/L0_L15,3920,HumanEval/124,extreme,165,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,3,SyntaxError,165,SyntaxError
33,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/140/L0_L19,4826,HumanEval/140,extreme,161,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,3,SyntaxError,161,SyntaxError
34,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/148/L0_L8,5369,HumanEval/148,extreme,140,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,3,SyntaxError,140,SyntaxError
35,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/141/L0_L13,5030,HumanEval/141,extreme,139,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,UnitTestFailure,139,SyntaxError
36,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/107/L0_L11,3281,HumanEval/107,extreme,134,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,SyntaxError,134,SyntaxError
37,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/132/L0_L15,4597,HumanEval/132,extreme,131,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,4,UnitTestFailure,131,UnitTestFailure
38,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/127/L0_L15,4106,HumanEval/127,extreme,129,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,UnitTestFailure,129,SyntaxError
39,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/99/L0_L18,2775,HumanEval/99,extreme,124,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,3,SyntaxError,124,UnitTestFailure
40,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/0/6,5,HumanEval/0,short,1,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,SyntaxError,1,SyntaxError
41,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/2/4,23,HumanEval/2,short,1,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,3,UnitTestFailure,1,SyntaxError
42,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/8/9,88,HumanEval/8,short,1,True,False,True,deployable_harm_vs_control,True,64,,9,UnitTestFailure,1,
43,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/11/7,116,HumanEval/11,short,1,True,False,False,deployable_harm_vs_control,True,64,,9,NameError,1,SyntaxError
44,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/13/6,135,HumanEval/13,short,1,True,True,False,oracle_canvas_harm_vs_control,False,64,,3,,1,SyntaxError
45,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/16/4,163,HumanEval/16,short,1,True,False,False,deployable_harm_vs_control,True,64,,3,UnitTestFailure,1,UnitTestFailure
46,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/18/3,182,HumanEval/18,short,1,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,20,UnitTestFailure,1,UnitTestFailure
47,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/19/1,190,HumanEval/19,short,1,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,9,UnitTestFailure,1,UnitTestFailure
48,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/22/4,223,HumanEval/22,short,1,True,True,True,stable_all_pass,False,64,,3,,1,
49,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/23/2,231,HumanEval/23,short,1,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,9,UnitTestFailure,1,UnitTestFailure
50,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/3/3,32,HumanEval/3,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,7,UnitTestFailure,9,UnitTestFailure
51,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/4/1,40,HumanEval/4,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,9,UnitTestFailure,9,UnitTestFailure
52,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/5/1,50,HumanEval/5,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,7,UnitTestFailure,9,UnitTestFailure
53,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/6/5,64,HumanEval/6,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,6,UnitTestFailure,9,UnitTestFailure
54,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/10/5,104,HumanEval/10,medium,9,False,False,True,oracle_only_canvas_recoverable,True,64,UnitTestFailure,15,UnitTestFailure,9,
55,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/14/5,144,HumanEval/14,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,8,UnitTestFailure,9,UnitTestFailure
56,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/15/3,152,HumanEval/15,medium,9,True,True,False,oracle_canvas_harm_vs_control,False,64,,8,,9,SyntaxError
57,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/17/7,176,HumanEval/17,medium,9,True,False,False,deployable_harm_vs_control,True,64,,10,UnitTestFailure,9,SyntaxError
58,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/29/4,293,HumanEval/29,medium,9,True,False,False,deployable_harm_vs_control,True,64,,8,UnitTestFailure,9,UnitTestFailure
59,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/38/9,388,HumanEval/38,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,3,UnitTestFailure,9,UnitTestFailure
60,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/12/4,123,HumanEval/12,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,24,SyntaxError,17,UnitTestFailure
61,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/24/5,244,HumanEval/24,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,7,SyntaxError,17,SyntaxError
62,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/26/10,269,HumanEval/26,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,4,SyntaxError,17,SyntaxError
63,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/32/5,324,HumanEval/32,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,8,UnitTestFailure,17,UnitTestFailure
64,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/43/8,437,HumanEval/43,long,17,True,False,False,deployable_harm_vs_control,True,64,,5,SyntaxError,17,UnitTestFailure
65,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/63/7,636,HumanEval/63,long,17,False,True,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,20,,17,UnitTestFailure
66,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/67/2,671,HumanEval/67,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,10,SyntaxError,17,UnitTestFailure
67,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/68/4,683,HumanEval/68,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,9,SyntaxError,17,SyntaxError
68,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/73/3,732,HumanEval/73,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,13,SyntaxError,17,SyntaxError
69,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/77/2,771,HumanEval/77,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,10,UnitTestFailure,17,UnitTestFailure
70,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/95/6,955,HumanEval/95,extreme,141,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,3,SyntaxError,141,SyntaxError
71,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/124/6,1245,HumanEval/124,extreme,131,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,13,SyntaxError,131,SyntaxError
72,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/129/6,1295,HumanEval/129,extreme,120,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,3,SyntaxError,120,UnitTestFailure
73,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/39/2,391,HumanEval/39,extreme,117,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,4,UnitTestFailure,117,SyntaxError
74,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/94/2,941,HumanEval/94,extreme,114,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,9,SyntaxError,114,SyntaxError
75,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/156/1,1560,HumanEval/156,extreme,114,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,9,SyntaxError,114,UnitTestFailure
76,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/99/2,991,HumanEval/99,extreme,113,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,6,SyntaxError,113,UnitTestFailure
77,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/141/10,1419,HumanEval/141,extreme,110,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,4,UnitTestFailure,110,SyntaxError
78,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/105/4,1053,HumanEval/105,extreme,108,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,5,UnitTestFailure,108,UnitTestFailure
79,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/20/1,200,HumanEval/20,extreme,107,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,10,SyntaxError,107,SyntaxError
80,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/23/1,23,HumanEval/23,short,2,False,False,True,oracle_only_canvas_recoverable,True,64,UnitTestFailure,3,UnitTestFailure,2,
81,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/28/1,28,HumanEval/28,short,2,True,True,True,stable_all_pass,False,64,,7,,2,
82,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/51/1,51,HumanEval/51,short,2,False,False,True,oracle_only_canvas_recoverable,True,64,UnitTestFailure,3,UnitTestFailure,2,
83,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/53/1,53,HumanEval/53,short,2,True,True,True,stable_all_pass,False,64,,3,,2,
84,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/34/1,34,HumanEval/34,short,3,True,True,True,stable_all_pass,False,64,,3,,3,
85,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/41/1,41,HumanEval/41,short,3,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,UnitTestFailure,3,UnitTestFailure
86,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/58/1,58,HumanEval/58,short,3,True,True,True,stable_all_pass,False,64,,3,,3,
87,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/62/1,62,HumanEval/62,short,3,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,UnitTestFailure,3,UnitTestFailure
88,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/99/1,99,HumanEval/99,short,3,True,True,True,stable_all_pass,False,64,,3,,3,
89,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/7/1,7,HumanEval/7,short,4,False,True,True,deployable_and_oracle_recover_control_failure,True,64,SyntaxError,4,,4,
90,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/19/1,19,HumanEval/19,medium,9,False,True,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,5,,9,UnitTestFailure
91,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/30/1,30,HumanEval/30,medium,9,False,True,True,deployable_and_oracle_recover_control_failure,True,64,SyntaxError,9,,9,
92,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/52/1,52,HumanEval/52,medium,9,False,True,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,15,,9,UnitTestFailure
93,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/57/1,57,HumanEval/57,medium,9,True,False,False,deployable_harm_vs_control,True,64,,6,UnitTestFailure,9,SyntaxError
94,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/90/1,90,HumanEval/90,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,5,UnitTestFailure,9,UnitTestFailure
95,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/97/1,97,HumanEval/97,medium,9,True,True,False,oracle_canvas_harm_vs_control,False,64,,7,,9,SyntaxError
96,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/133/1,133,HumanEval/133,medium,9,True,False,True,deployable_harm_vs_control,True,64,,5,UnitTestFailure,9,
97,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/152/1,152,HumanEval/152,medium,9,False,False,True,oracle_only_canvas_recoverable,True,64,SyntaxError,4,UnitTestFailure,9,
98,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/10/1,10,HumanEval/10,medium,10,False,False,True,oracle_only_canvas_recoverable,True,64,SyntaxError,7,UnitTestFailure,10,
99,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/22/1,22,HumanEval/22,medium,10,False,False,True,oracle_only_canvas_recoverable,True,64,SyntaxError,4,UnitTestFailure,10,
100,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/5/1,5,HumanEval/5,long,17,False,False,True,oracle_only_canvas_recoverable,True,64,UnitTestFailure,3,SyntaxError,17,
101,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/13/1,13,HumanEval/13,long,17,False,True,True,deployable_and_oracle_recover_control_failure,True,64,UnitTestFailure,16,,17,
102,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/36/1,36,HumanEval/36,long,17,False,True,True,deployable_and_oracle_recover_control_failure,True,64,UnitTestFailure,20,,17,
103,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/65/1,65,HumanEval/65,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,16,UnitTestFailure,17,UnitTestFailure
104,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/87/1,87,HumanEval/87,long,17,False,True,True,deployable_and_oracle_recover_control_failure,True,64,UnitTestFailure,16,,17,
105,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/151/1,151,HumanEval/151,long,17,False,True,True,deployable_and_oracle_recover_control_failure,True,64,SyntaxError,13,,17,
106,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/0/1,0,HumanEval/0,long,18,False,False,True,oracle_only_canvas_recoverable,True,64,UnitTestFailure,11,UnitTestFailure,18,
107,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/14/1,14,HumanEval/14,long,19,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,16,UnitTestFailure,19,UnitTestFailure
108,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/24/1,24,HumanEval/24,long,19,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,5,SyntaxError,19,UnitTestFailure
109,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/46/1,46,HumanEval/46,long,19,True,False,False,deployable_harm_vs_control,True,64,,15,UnitTestFailure,19,UnitTestFailure
110,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/129/1,129,HumanEval/129,extreme,111,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,9,UnitTestFailure,111,UnitTestFailure
111,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/148/1,148,HumanEval/148,extreme,88,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,16,UnitTestFailure,88,SyntaxError
112,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/124/1,124,HumanEval/124,extreme,85,True,False,False,deployable_harm_vs_control,True,64,,20,UnitTestFailure,85,SyntaxError
113,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/20/1,20,HumanEval/20,extreme,80,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,3,UnitTestFailure,80,SyntaxError
114,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/105/1,105,HumanEval/105,extreme,79,True,False,True,deployable_harm_vs_control,True,64,,4,UnitTestFailure,79,
115,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/141/1,141,HumanEval/141,extreme,72,True,False,True,deployable_harm_vs_control,True,64,,16,UnitTestFailure,72,
116,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/6/1,6,HumanEval/6,extreme,70,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,3,UnitTestFailure,70,UnitTestFailure
117,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/132/1,132,HumanEval/132,extreme,70,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,5,UnitTestFailure,70,UnitTestFailure
118,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/119/1,119,HumanEval/119,extreme,69,False,False,True,oracle_only_canvas_recoverable,True,64,UnitTestFailure,11,UnitTestFailure,69,
119,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/108/1,108,HumanEval/108,extreme,65,False,False,False,rescue_limited_or_noncanvas_failure,True,64,UnitTestFailure,20,UnitTestFailure,65,UnitTestFailure
