manifest_index,source_config,task_id,prompt_id,row_id,task_group,prefix_len_chars,middle_len_chars,suffix_len_chars,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,length_bucket,selected_canvas_metadata_available,control_fixed_canvas_tokens,deployable_policy,deployable_probe_lengths,oracle_canvas_tokens,frozen_controller_test_row,frozen_controller_test_exclusion_flag,row_key,official_full_allowed_note
12,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L7,L1_L7,12,HumanEval/0,389,211,0,138,47,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",47,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:12:MultiLineInfilling/HumanEval/0/L1_L7,all_official_rows_except_frozen_controller_test_groups
13,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L2_L2,L2_L2,13,HumanEval/0,436,28,136,151,8,26,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",8,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:13:MultiLineInfilling/HumanEval/0/L2_L2,all_official_rows_except_frozen_controller_test_groups
14,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L2_L3,L2_L3,14,HumanEval/0,436,73,91,151,18,16,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",18,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:14:MultiLineInfilling/HumanEval/0/L2_L3,all_official_rows_except_frozen_controller_test_groups
15,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L2_L4,L2_L4,15,HumanEval/0,436,114,50,151,25,9,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",25,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:15:MultiLineInfilling/HumanEval/0/L2_L4,all_official_rows_except_frozen_controller_test_groups
16,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L2_L5,L2_L5,16,HumanEval/0,436,146,18,151,29,5,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",29,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:16:MultiLineInfilling/HumanEval/0/L2_L5,all_official_rows_except_frozen_controller_test_groups
17,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L2_L7,L2_L7,17,HumanEval/0,436,164,0,151,34,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",34,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:17:MultiLineInfilling/HumanEval/0/L2_L7,all_official_rows_except_frozen_controller_test_groups
18,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L3_L3,L3_L3,18,HumanEval/0,464,45,91,159,10,16,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",10,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:18:MultiLineInfilling/HumanEval/0/L3_L3,all_official_rows_except_frozen_controller_test_groups
19,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L3_L4,L3_L4,19,HumanEval/0,464,86,50,159,17,9,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:19:MultiLineInfilling/HumanEval/0/L3_L4,all_official_rows_except_frozen_controller_test_groups
20,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L3_L5,L3_L5,20,HumanEval/0,464,118,18,159,21,5,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",21,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:20:MultiLineInfilling/HumanEval/0/L3_L5,all_official_rows_except_frozen_controller_test_groups
21,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L3_L7,L3_L7,21,HumanEval/0,464,136,0,159,26,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",26,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:21:MultiLineInfilling/HumanEval/0/L3_L7,all_official_rows_except_frozen_controller_test_groups
22,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L4_L4,L4_L4,22,HumanEval/0,509,41,50,169,7,9,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",7,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:22:MultiLineInfilling/HumanEval/0/L4_L4,all_official_rows_except_frozen_controller_test_groups
23,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L4_L5,L4_L5,23,HumanEval/0,509,73,18,169,11,5,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",11,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:23:MultiLineInfilling/HumanEval/0/L4_L5,all_official_rows_except_frozen_controller_test_groups
24,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L4_L7,L4_L7,24,HumanEval/0,509,91,0,169,16,0,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",16,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:24:MultiLineInfilling/HumanEval/0/L4_L7,all_official_rows_except_frozen_controller_test_groups
25,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L5_L5,L5_L5,25,HumanEval/0,550,32,18,176,4,5,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:25:MultiLineInfilling/HumanEval/0/L5_L5,all_official_rows_except_frozen_controller_test_groups
26,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L5_L7,L5_L7,26,HumanEval/0,550,50,0,176,9,0,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:26:MultiLineInfilling/HumanEval/0/L5_L7,all_official_rows_except_frozen_controller_test_groups
27,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L7_L7,L7_L7,27,HumanEval/0,583,17,0,181,4,0,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:27:MultiLineInfilling/HumanEval/0/L7_L7,all_official_rows_except_frozen_controller_test_groups
28,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L0,L0_L0,28,HumanEval/1,507,16,403,121,5,95,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",5,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:28:MultiLineInfilling/HumanEval/1/L0_L0,all_official_rows_except_frozen_controller_test_groups
29,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L1,L0_L1,29,HumanEval/1,507,40,379,121,11,89,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",11,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:29:MultiLineInfilling/HumanEval/1/L0_L1,all_official_rows_except_frozen_controller_test_groups
30,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L2,L0_L2,30,HumanEval/1,507,62,357,121,18,82,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",18,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:30:MultiLineInfilling/HumanEval/1/L0_L2,all_official_rows_except_frozen_controller_test_groups
31,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L4,L0_L4,31,HumanEval/1,507,90,329,121,27,73,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",27,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:31:MultiLineInfilling/HumanEval/1/L0_L4,all_official_rows_except_frozen_controller_test_groups
32,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L5,L0_L5,32,HumanEval/1,507,111,308,121,34,66,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",34,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:32:MultiLineInfilling/HumanEval/1/L0_L5,all_official_rows_except_frozen_controller_test_groups
33,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L6,L0_L6,33,HumanEval/1,507,142,277,121,41,59,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",41,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:33:MultiLineInfilling/HumanEval/1/L0_L6,all_official_rows_except_frozen_controller_test_groups
34,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L7,L0_L7,34,HumanEval/1,507,179,240,121,48,52,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",48,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:34:MultiLineInfilling/HumanEval/1/L0_L7,all_official_rows_except_frozen_controller_test_groups
35,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L8,L0_L8,35,HumanEval/1,507,202,217,121,55,45,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",55,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:35:MultiLineInfilling/HumanEval/1/L0_L8,all_official_rows_except_frozen_controller_test_groups
36,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L9,L0_L9,36,HumanEval/1,507,233,186,121,62,38,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",62,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:36:MultiLineInfilling/HumanEval/1/L0_L9,all_official_rows_except_frozen_controller_test_groups
37,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L10,L0_L10,37,HumanEval/1,507,270,149,121,69,31,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",69,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:37:MultiLineInfilling/HumanEval/1/L0_L10,all_official_rows_except_frozen_controller_test_groups
38,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L12,L0_L12,38,HumanEval/1,507,306,113,121,79,21,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",79,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:38:MultiLineInfilling/HumanEval/1/L0_L12,all_official_rows_except_frozen_controller_test_groups
39,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L13,L0_L13,39,HumanEval/1,507,361,58,121,89,11,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",89,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:39:MultiLineInfilling/HumanEval/1/L0_L13,all_official_rows_except_frozen_controller_test_groups
40,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L14,L0_L14,40,HumanEval/1,507,400,19,121,95,5,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",95,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:40:MultiLineInfilling/HumanEval/1/L0_L14,all_official_rows_except_frozen_controller_test_groups
41,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L0_L16,L0_L16,41,HumanEval/1,507,419,0,121,100,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",100,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:41:MultiLineInfilling/HumanEval/1/L0_L16,all_official_rows_except_frozen_controller_test_groups
42,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L1,L1_L1,42,HumanEval/1,522,24,379,125,6,89,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",6,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:42:MultiLineInfilling/HumanEval/1/L1_L1,all_official_rows_except_frozen_controller_test_groups
43,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L2,L1_L2,43,HumanEval/1,522,46,357,125,13,82,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",13,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:43:MultiLineInfilling/HumanEval/1/L1_L2,all_official_rows_except_frozen_controller_test_groups
44,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L4,L1_L4,44,HumanEval/1,522,74,329,125,22,73,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",22,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:44:MultiLineInfilling/HumanEval/1/L1_L4,all_official_rows_except_frozen_controller_test_groups
45,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L5,L1_L5,45,HumanEval/1,522,95,308,125,29,66,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",29,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:45:MultiLineInfilling/HumanEval/1/L1_L5,all_official_rows_except_frozen_controller_test_groups
46,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L6,L1_L6,46,HumanEval/1,522,126,277,125,36,59,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",36,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:46:MultiLineInfilling/HumanEval/1/L1_L6,all_official_rows_except_frozen_controller_test_groups
47,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L7,L1_L7,47,HumanEval/1,522,163,240,125,43,52,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",43,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:47:MultiLineInfilling/HumanEval/1/L1_L7,all_official_rows_except_frozen_controller_test_groups
48,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L8,L1_L8,48,HumanEval/1,522,186,217,125,50,45,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",50,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:48:MultiLineInfilling/HumanEval/1/L1_L8,all_official_rows_except_frozen_controller_test_groups
49,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L9,L1_L9,49,HumanEval/1,522,217,186,125,57,38,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",57,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:49:MultiLineInfilling/HumanEval/1/L1_L9,all_official_rows_except_frozen_controller_test_groups
50,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L10,L1_L10,50,HumanEval/1,522,254,149,125,64,31,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",64,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:50:MultiLineInfilling/HumanEval/1/L1_L10,all_official_rows_except_frozen_controller_test_groups
51,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L12,L1_L12,51,HumanEval/1,522,290,113,125,74,21,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",74,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:51:MultiLineInfilling/HumanEval/1/L1_L12,all_official_rows_except_frozen_controller_test_groups
52,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L13,L1_L13,52,HumanEval/1,522,345,58,125,84,11,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",84,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:52:MultiLineInfilling/HumanEval/1/L1_L13,all_official_rows_except_frozen_controller_test_groups
53,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L14,L1_L14,53,HumanEval/1,522,384,19,125,90,5,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",90,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:53:MultiLineInfilling/HumanEval/1/L1_L14,all_official_rows_except_frozen_controller_test_groups
54,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L1_L16,L1_L16,54,HumanEval/1,522,403,0,125,95,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",95,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:54:MultiLineInfilling/HumanEval/1/L1_L16,all_official_rows_except_frozen_controller_test_groups
55,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L2_L2,L2_L2,55,HumanEval/1,546,22,357,131,7,82,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",7,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:55:MultiLineInfilling/HumanEval/1/L2_L2,all_official_rows_except_frozen_controller_test_groups
56,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L2_L4,L2_L4,56,HumanEval/1,546,50,329,131,16,73,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",16,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:56:MultiLineInfilling/HumanEval/1/L2_L4,all_official_rows_except_frozen_controller_test_groups
57,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L2_L5,L2_L5,57,HumanEval/1,546,71,308,131,23,66,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",23,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:57:MultiLineInfilling/HumanEval/1/L2_L5,all_official_rows_except_frozen_controller_test_groups
58,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L2_L6,L2_L6,58,HumanEval/1,546,102,277,131,30,59,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",30,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:58:MultiLineInfilling/HumanEval/1/L2_L6,all_official_rows_except_frozen_controller_test_groups
59,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L2_L7,L2_L7,59,HumanEval/1,546,139,240,131,37,52,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",37,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:59:MultiLineInfilling/HumanEval/1/L2_L7,all_official_rows_except_frozen_controller_test_groups
60,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L2_L8,L2_L8,60,HumanEval/1,546,162,217,131,44,45,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",44,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:60:MultiLineInfilling/HumanEval/1/L2_L8,all_official_rows_except_frozen_controller_test_groups
61,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L2_L9,L2_L9,61,HumanEval/1,546,193,186,131,51,38,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",51,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:61:MultiLineInfilling/HumanEval/1/L2_L9,all_official_rows_except_frozen_controller_test_groups
62,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L2_L10,L2_L10,62,HumanEval/1,546,230,149,131,58,31,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",58,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:62:MultiLineInfilling/HumanEval/1/L2_L10,all_official_rows_except_frozen_controller_test_groups
63,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L2_L12,L2_L12,63,HumanEval/1,546,266,113,131,68,21,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",68,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:63:MultiLineInfilling/HumanEval/1/L2_L12,all_official_rows_except_frozen_controller_test_groups
64,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L2_L13,L2_L13,64,HumanEval/1,546,321,58,131,78,11,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",78,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:64:MultiLineInfilling/HumanEval/1/L2_L13,all_official_rows_except_frozen_controller_test_groups
65,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L2_L14,L2_L14,65,HumanEval/1,546,360,19,131,84,5,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",84,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:65:MultiLineInfilling/HumanEval/1/L2_L14,all_official_rows_except_frozen_controller_test_groups
