hard_tail_index,source_manifest_index,source_config,task_id,prompt_id,row_id,task_group,length_bucket,middle_len_tokens,control_passed,deployable_passed,oracle_passed,first_pass_taxonomy,primary_hard_tail_candidate,hard_tail_reason,control_selected_canvas_tokens,deployable_selected_canvas_tokens,oracle_selected_canvas_tokens,frozen_controller_test_row,source_first_pass_manifest,source_first_pass_results
11,17,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/37/L5_L5,L5_L5,913,HumanEval/37,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,6,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
12,20,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/10/L5_L5,L5_L5,342,HumanEval/10,long,17,False,False,True,oracle_only_canvas_recoverable,True,oracle_only_canvas_recoverable,64,16,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
13,21,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/11/L1_L3,L1_L3,356,HumanEval/11,long,17,True,False,True,deployable_harm_vs_control,True,deployable_harm_vs_control,64,7,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
14,22,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/12/L4_L5,L4_L5,385,HumanEval/12,long,17,False,False,True,oracle_only_canvas_recoverable,True,oracle_only_canvas_recoverable,64,4,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
15,24,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/26/L2_L2,L2_L2,719,HumanEval/26,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
16,26,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/43/L2_L3,L2_L3,1077,HumanEval/43,long,17,True,False,True,deployable_harm_vs_control,True,deployable_harm_vs_control,64,16,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
17,27,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/44/L2_L3,L2_L3,1092,HumanEval/44,long,17,True,False,True,deployable_harm_vs_control,True,deployable_harm_vs_control,64,11,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
18,28,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L1_L1,L1_L1,1145,HumanEval/48,long,17,False,False,True,oracle_only_canvas_recoverable,True,oracle_only_canvas_recoverable,64,6,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
19,29,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L2_L4,L2_L4,1209,HumanEval/56,long,17,False,True,True,deployable_and_oracle_recover_control_failure,True,deployable_and_oracle_recover_control_failure,64,20,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
20,30,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/129/L0_L26,L0_L26,4239,HumanEval/129,extreme,191,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,191,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
21,31,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/156/L0_L13,L0_L13,5587,HumanEval/156,extreme,178,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,178,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
22,32,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/124/L0_L15,L0_L15,3920,HumanEval/124,extreme,165,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,165,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
23,33,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/140/L0_L19,L0_L19,4826,HumanEval/140,extreme,161,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,161,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
24,34,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/148/L0_L8,L0_L8,5369,HumanEval/148,extreme,140,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,140,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
25,35,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/141/L0_L13,L0_L13,5030,HumanEval/141,extreme,139,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,139,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
26,36,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/107/L0_L11,L0_L11,3281,HumanEval/107,extreme,134,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,134,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
27,37,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/132/L0_L15,L0_L15,4597,HumanEval/132,extreme,131,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,4,131,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
28,38,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/127/L0_L15,L0_L15,4106,HumanEval/127,extreme,129,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,129,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
29,39,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/99/L0_L18,L0_L18,2775,HumanEval/99,extreme,124,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,124,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
30,40,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/0/6,6,5,HumanEval/0,short,1,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,1,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
31,41,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/2/4,4,23,HumanEval/2,short,1,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,1,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
32,42,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/8/9,9,88,HumanEval/8,short,1,True,False,True,deployable_harm_vs_control,True,deployable_harm_vs_control,64,9,1,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
33,43,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/11/7,7,116,HumanEval/11,short,1,True,False,False,deployable_harm_vs_control,True,deployable_harm_vs_control,64,9,1,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
34,44,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/13/6,6,135,HumanEval/13,short,1,True,True,False,oracle_canvas_harm_vs_control,False,oracle_harm_risk_extra,64,3,1,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
35,45,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/16/4,4,163,HumanEval/16,short,1,True,False,False,deployable_harm_vs_control,True,deployable_harm_vs_control,64,3,1,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
36,46,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/18/3,3,182,HumanEval/18,short,1,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,20,1,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
37,47,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/19/1,1,190,HumanEval/19,short,1,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,9,1,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
38,49,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/23/2,2,231,HumanEval/23,short,1,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,9,1,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
39,50,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/3/3,3,32,HumanEval/3,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,7,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
40,51,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/4/1,1,40,HumanEval/4,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,9,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
41,52,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/5/1,1,50,HumanEval/5,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,7,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
42,53,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/6/5,5,64,HumanEval/6,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,6,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
43,54,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/10/5,5,104,HumanEval/10,medium,9,False,False,True,oracle_only_canvas_recoverable,True,oracle_only_canvas_recoverable,64,15,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
44,55,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/14/5,5,144,HumanEval/14,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,8,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
45,56,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/15/3,3,152,HumanEval/15,medium,9,True,True,False,oracle_canvas_harm_vs_control,False,oracle_harm_risk_extra,64,8,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
46,57,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/17/7,7,176,HumanEval/17,medium,9,True,False,False,deployable_harm_vs_control,True,deployable_harm_vs_control,64,10,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
47,58,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/29/4,4,293,HumanEval/29,medium,9,True,False,False,deployable_harm_vs_control,True,deployable_harm_vs_control,64,8,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
48,59,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/38/9,9,388,HumanEval/38,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
49,60,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/12/4,4,123,HumanEval/12,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,24,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
50,61,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/24/5,5,244,HumanEval/24,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,7,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
51,62,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/26/10,10,269,HumanEval/26,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,4,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
52,63,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/32/5,5,324,HumanEval/32,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,8,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
53,64,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/43/8,8,437,HumanEval/43,long,17,True,False,False,deployable_harm_vs_control,True,deployable_harm_vs_control,64,5,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
54,65,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/63/7,7,636,HumanEval/63,long,17,False,True,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,20,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
55,66,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/67/2,2,671,HumanEval/67,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,10,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
56,67,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/68/4,4,683,HumanEval/68,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,9,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
57,68,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/73/3,3,732,HumanEval/73,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,13,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
58,69,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/77/2,2,771,HumanEval/77,long,17,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,10,17,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
59,70,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/95/6,6,955,HumanEval/95,extreme,141,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,141,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
60,71,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/124/6,6,1245,HumanEval/124,extreme,131,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,13,131,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
61,72,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/129/6,6,1295,HumanEval/129,extreme,120,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,120,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
62,73,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/39/2,2,391,HumanEval/39,extreme,117,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,4,117,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
63,74,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/94/2,2,941,HumanEval/94,extreme,114,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,9,114,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
64,75,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/156/1,1,1560,HumanEval/156,extreme,114,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,9,114,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
65,76,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/99/2,2,991,HumanEval/99,extreme,113,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,6,113,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
66,77,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/141/10,10,1419,HumanEval/141,extreme,110,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,4,110,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
67,78,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/105/4,4,1053,HumanEval/105,extreme,108,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,5,108,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
68,79,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/20/1,1,200,HumanEval/20,extreme,107,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,10,107,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
69,80,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/23/1,1,23,HumanEval/23,short,2,False,False,True,oracle_only_canvas_recoverable,True,oracle_only_canvas_recoverable,64,3,2,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
70,82,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/51/1,1,51,HumanEval/51,short,2,False,False,True,oracle_only_canvas_recoverable,True,oracle_only_canvas_recoverable,64,3,2,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
71,85,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/41/1,1,41,HumanEval/41,short,3,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,3,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
72,87,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/62/1,1,62,HumanEval/62,short,3,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,3,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
73,89,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/7/1,1,7,HumanEval/7,short,4,False,True,True,deployable_and_oracle_recover_control_failure,True,deployable_and_oracle_recover_control_failure,64,4,4,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
74,90,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/19/1,1,19,HumanEval/19,medium,9,False,True,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,5,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
