manifest_index,hard_tail_sample_group,first_pass_taxonomy,source_hard_tail_index,source_manifest_index,source_config,task_id,prompt_id,row_id,task_group,prefix_len_chars,middle_len_chars,suffix_len_chars,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,length_bucket,control_fixed_canvas_tokens,deployable_policy,deployable_probe_lengths,oracle_canvas_tokens,first_pass_control_passed,first_pass_deployable_passed,first_pass_oracle_passed,first_pass_control_selected_canvas_tokens,first_pass_deployable_selected_canvas_tokens,first_pass_oracle_selected_canvas_tokens,frozen_controller_test_row,frozen_controller_test_exclusion_flag,row_key,selection_note
11,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,11,17,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/37/L5_L5,L5_L5,913,HumanEval/37,447,27,76,173,9,25,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,False,64,6,9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:913:MultiLineInfilling/HumanEval/37/L5_L5,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
12,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,12,20,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/10/L5_L5,L5_L5,342,HumanEval/10,647,59,89,192,17,24,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,False,True,64,16,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:342:MultiLineInfilling/HumanEval/10/L5_L5,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
13,harm_risk,deployable_harm_vs_control,13,21,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/11/L1_L3,L1_L3,356,HumanEval/11,278,56,76,94,17,29,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,True,False,True,64,7,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:356:MultiLineInfilling/HumanEval/11/L1_L3,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
14,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,14,22,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/12/L4_L5,L4_L5,385,HumanEval/12,459,51,21,133,17,4,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,False,True,64,4,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:385:MultiLineInfilling/HumanEval/12/L4_L5,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
15,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,15,24,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/26/L2_L2,L2_L2,719,HumanEval/26,345,45,0,103,17,0,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,False,False,64,3,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:719:MultiLineInfilling/HumanEval/26/L2_L2,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
16,harm_risk,deployable_harm_vs_control,16,26,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/43/L2_L3,L2_L3,1077,HumanEval/43,532,59,17,188,17,4,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,True,False,True,64,16,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1077:MultiLineInfilling/HumanEval/43/L2_L3,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
17,harm_risk,deployable_harm_vs_control,17,27,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/44/L2_L3,L2_L3,1092,HumanEval/44,330,53,15,117,17,4,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,True,False,True,64,11,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1092:MultiLineInfilling/HumanEval/44/L2_L3,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
18,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,18,28,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L1_L1,L1_L1,1145,HumanEval/48,275,47,41,96,17,8,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,False,True,64,6,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1145:MultiLineInfilling/HumanEval/48/L1_L1,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
19,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,19,29,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L2_L4,L2_L4,1209,HumanEval/56,385,58,92,112,17,25,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,True,True,64,20,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1209:MultiLineInfilling/HumanEval/56/L2_L4,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
20,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,20,30,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/129/L0_L26,L0_L26,4239,HumanEval/129,1361,633,0,413,191,0,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",191,False,False,False,64,3,191,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:4239:MultiLineInfilling/HumanEval/129/L0_L26,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
21,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,21,31,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/156/L0_L13,L0_L13,5587,HumanEval/156,333,382,0,123,178,0,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",178,False,False,False,64,3,178,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:5587:MultiLineInfilling/HumanEval/156/L0_L13,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
22,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,22,32,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/124/L0_L15,L0_L15,3920,HumanEval/124,852,491,0,299,165,0,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",165,False,False,False,64,3,165,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:3920:MultiLineInfilling/HumanEval/124/L0_L15,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
23,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,23,33,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/140/L0_L19,L0_L19,4826,HumanEval/140,393,516,0,119,161,0,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",161,False,False,False,64,3,161,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:4826:MultiLineInfilling/HumanEval/140/L0_L19,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
24,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,24,34,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/148/L0_L8,L0_L8,5369,HumanEval/148,776,479,0,220,140,0,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",140,False,False,False,64,3,140,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:5369:MultiLineInfilling/HumanEval/148/L0_L8,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
25,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,25,35,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/141/L0_L13,L0_L13,5030,HumanEval/141,806,351,0,222,139,0,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",139,False,False,False,64,3,139,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:5030:MultiLineInfilling/HumanEval/141/L0_L13,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
26,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,26,36,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/107/L0_L11,L0_L11,3281,HumanEval/107,677,377,0,234,134,0,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",134,False,False,False,64,3,134,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:3281:MultiLineInfilling/HumanEval/107/L0_L11,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
27,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,27,37,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/132/L0_L15,L0_L15,4597,HumanEval/132,473,470,6,147,131,3,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",131,False,False,False,64,4,131,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:4597:MultiLineInfilling/HumanEval/132/L0_L15,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
28,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,28,38,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/127/L0_L15,L0_L15,4106,HumanEval/127,927,411,0,270,129,0,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",129,False,False,False,64,3,129,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:4106:MultiLineInfilling/HumanEval/127/L0_L15,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
29,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,29,39,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/99/L0_L18,L0_L18,2775,HumanEval/99,614,400,1,170,124,1,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",124,False,False,False,64,3,124,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:2775:MultiLineInfilling/HumanEval/99/L0_L18,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
30,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,30,40,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/0/6,6,5,HumanEval/0,558,4,38,177,1,9,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,False,False,64,3,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:5:RandomSpanInfilling/HumanEval/0/6,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
31,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,31,41,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/2/4,4,23,HumanEval/2,333,2,20,87,1,8,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,False,False,64,3,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:23:RandomSpanInfilling/HumanEval/2/4,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
32,harm_risk,deployable_harm_vs_control,32,42,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/8/9,9,88,HumanEval/8,422,8,82,137,1,22,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,True,False,True,64,9,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:88:RandomSpanInfilling/HumanEval/8/9,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
33,harm_risk,deployable_harm_vs_control,33,43,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/11/7,7,116,HumanEval/11,405,1,4,137,1,3,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,True,False,False,64,9,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:116:RandomSpanInfilling/HumanEval/11/7,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
34,harm_risk,oracle_canvas_harm_vs_control,34,44,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/13/6,6,135,HumanEval/13,254,2,11,88,1,4,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,True,True,False,64,3,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:135:RandomSpanInfilling/HumanEval/13/6,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
35,harm_risk,deployable_harm_vs_control,35,45,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/16/4,4,163,HumanEval/16,289,2,7,79,1,3,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,True,False,False,64,3,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:163:RandomSpanInfilling/HumanEval/16/4,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
36,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,36,46,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/18/3,3,182,HumanEval/18,333,4,120,104,1,37,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,False,False,64,20,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:182:RandomSpanInfilling/HumanEval/18/3,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
37,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,37,47,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/19/1,1,190,HumanEval/19,524,1,165,167,1,60,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,False,False,64,9,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:190:RandomSpanInfilling/HumanEval/19/1,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
38,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,38,49,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/23/2,2,231,HumanEval/23,149,3,4,48,1,3,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,False,False,64,9,1,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:231:RandomSpanInfilling/HumanEval/23/2,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
39,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,39,50,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/3/3,3,32,HumanEval/3,497,31,51,135,9,15,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,False,64,7,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:32:RandomSpanInfilling/HumanEval/3/3,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
40,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,40,51,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/4/1,1,40,HumanEval/4,453,29,49,130,9,17,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,False,64,9,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:40:RandomSpanInfilling/HumanEval/4/1,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
41,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,41,52,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/5/1,1,50,HumanEval/5,422,27,30,136,9,11,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,False,64,7,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:50:RandomSpanInfilling/HumanEval/5/1,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
42,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,42,53,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/6/5,5,64,HumanEval/6,690,28,54,188,9,17,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,False,64,6,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:64:RandomSpanInfilling/HumanEval/6/5,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
43,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,43,54,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/10/5,5,104,HumanEval/10,739,38,18,217,9,7,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,True,64,15,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:104:RandomSpanInfilling/HumanEval/10/5,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
44,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,44,55,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/14/5,5,144,HumanEval/14,242,35,37,70,9,13,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,False,64,8,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:144:RandomSpanInfilling/HumanEval/14/5,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
45,harm_risk,oracle_canvas_harm_vs_control,45,56,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/15/3,3,152,HumanEval/15,240,24,7,77,9,5,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,True,True,False,64,8,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:152:RandomSpanInfilling/HumanEval/15/3,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
46,harm_risk,deployable_harm_vs_control,46,57,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/17/7,7,176,HumanEval/17,564,15,59,195,9,18,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,True,False,False,64,10,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:176:RandomSpanInfilling/HumanEval/17/7,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
47,harm_risk,deployable_harm_vs_control,47,58,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/29/4,4,293,HumanEval/29,324,27,17,95,9,6,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,True,False,False,64,8,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:293:RandomSpanInfilling/HumanEval/29/4,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
48,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,48,59,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/38/9,9,388,HumanEval/38,577,32,1,174,9,1,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,False,64,3,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:388:RandomSpanInfilling/HumanEval/38/9,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
49,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,49,60,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/12/4,4,123,HumanEval/12,465,54,12,135,17,4,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,False,False,64,24,17,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:123:RandomSpanInfilling/HumanEval/12/4,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
50,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,50,61,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/24/5,5,244,HumanEval/24,197,48,4,59,17,3,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,False,False,64,7,17,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:244:RandomSpanInfilling/HumanEval/24/5,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
51,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,51,62,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/26/10,10,269,HumanEval/26,303,57,30,92,17,13,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,False,False,64,4,17,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:269:RandomSpanInfilling/HumanEval/26/10,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
