task_id,outcome,oracle_len,oracle_bucket,base_passed,candidate_passed,base_selected_len,candidate_selected_len,base_final_source,candidate_final_source
SingleLineInfilling/HumanEval/105/L13,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/105/L14,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/105/L15,both_pass,10,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/105/L16,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/105/L17,both_fail,3,<=8,False,False,7,7,base,base
SingleLineInfilling/HumanEval/105/L18,both_pass,5,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/105/L2,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/105/L3,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/105/L4,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/105/L5,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/105/L6,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/105/L7,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/105/L8,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/105/L9,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/106/L0,both_fail,5,<=8,False,False,7,7,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/106/L1,both_pass,12,9-12,True,True,12,12,base,base
SingleLineInfilling/HumanEval/106/L10,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/106/L2,both_pass,10,9-12,True,True,11,11,base,base
SingleLineInfilling/HumanEval/106/L3,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/106/L4,both_pass,15,13-16,True,True,15,15,strong_correction,strong_correction
SingleLineInfilling/HumanEval/106/L5,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/106/L6,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/106/L7,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/106/L8,both_pass,15,13-16,True,True,15,15,strong_correction,strong_correction
SingleLineInfilling/HumanEval/106/L9,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/107/L0,both_pass,10,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/107/L1,both_pass,13,13-16,True,True,13,13,strong_correction,strong_correction
SingleLineInfilling/HumanEval/107/L10,both_pass,11,9-12,True,True,12,12,base,base
SingleLineInfilling/HumanEval/107/L11,both_pass,18,17-24,True,True,19,19,official_long_suspicion,official_long_suspicion
SingleLineInfilling/HumanEval/107/L3,both_pass,11,9-12,True,True,11,11,base,base
SingleLineInfilling/HumanEval/107/L4,both_pass,11,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/107/L6,both_pass,13,13-16,True,True,13,13,strong_correction,strong_correction
SingleLineInfilling/HumanEval/107/L7,both_fail,17,17-24,False,False,10,10,base,base
SingleLineInfilling/HumanEval/107/L8,both_pass,11,9-12,True,True,11,11,base,base
SingleLineInfilling/HumanEval/107/L9,both_fail,17,17-24,False,False,4,4,base,base
SingleLineInfilling/HumanEval/108/L0,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/108/L1,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/108/L2,both_fail,20,17-24,False,False,14,14,strong_correction,strong_correction
SingleLineInfilling/HumanEval/108/L3,both_fail,14,13-16,False,False,7,7,base,base
SingleLineInfilling/HumanEval/108/L4,both_fail,13,13-16,False,False,7,7,base,base
SingleLineInfilling/HumanEval/108/L5,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/108/L6,both_fail,26,25+,False,False,3,3,base,base
SingleLineInfilling/HumanEval/109/L0,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/109/L1,both_pass,4,<=8,True,True,16,16,strong_correction,strong_correction
SingleLineInfilling/HumanEval/109/L10,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/109/L11,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/109/L2,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/109/L3,both_pass,5,<=8,True,True,12,12,base,base
SingleLineInfilling/HumanEval/109/L5,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/109/L6,both_pass,10,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/109/L7,both_fail,18,17-24,False,False,4,4,base,base
SingleLineInfilling/HumanEval/109/L8,both_pass,9,9-12,True,True,9,9,base,base
SingleLineInfilling/HumanEval/109/L9,both_pass,12,9-12,True,True,12,12,base,base
SingleLineInfilling/HumanEval/11/L0,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/11/L1,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/11/L2,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/11/L3,both_pass,4,<=8,True,True,7,7,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/11/L4,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/11/L6,both_fail,22,17-24,False,False,3,3,base,base
SingleLineInfilling/HumanEval/110/L0,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/110/L1,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/110/L10,both_pass,6,<=8,True,True,10,10,base,base
SingleLineInfilling/HumanEval/110/L2,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/110/L3,both_fail,10,9-12,False,False,20,20,strong_correction,strong_correction
SingleLineInfilling/HumanEval/110/L4,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/110/L5,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/110/L6,both_pass,10,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/110/L7,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/110/L8,both_fail,7,<=8,False,False,7,7,base,base
SingleLineInfilling/HumanEval/110/L9,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/111/L0,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/111/L1,both_fail,8,<=8,False,False,7,7,base,base
SingleLineInfilling/HumanEval/111/L11,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/111/L12,both_pass,5,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/111/L2,both_pass,5,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/111/L4,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/111/L5,both_fail,15,13-16,False,False,10,10,base,base
SingleLineInfilling/HumanEval/111/L6,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/111/L7,both_pass,7,<=8,True,True,14,14,strong_correction,strong_correction
SingleLineInfilling/HumanEval/111/L8,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/111/L9,both_pass,10,9-12,True,True,15,15,strong_correction,strong_correction
SingleLineInfilling/HumanEval/112/L0,both_fail,19,17-24,False,False,9,9,base,base
SingleLineInfilling/HumanEval/112/L1,both_fail,13,13-16,False,False,3,3,base,base
SingleLineInfilling/HumanEval/113/L0,both_pass,5,<=8,True,True,5,5,base,base
SingleLineInfilling/HumanEval/113/L1,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/113/L2,both_fail,16,13-16,False,False,7,7,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/113/L3,both_fail,44,25+,False,False,6,6,base,base
SingleLineInfilling/HumanEval/113/L4,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/114/L0,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/114/L1,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/114/L10,both_fail,5,<=8,False,False,3,3,base,base
SingleLineInfilling/HumanEval/114/L2,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/114/L3,both_fail,6,<=8,False,False,7,7,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/114/L4,both_pass,9,9-12,True,True,8,8,base,base
SingleLineInfilling/HumanEval/114/L5,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/114/L6,both_fail,11,9-12,False,False,6,6,base,base
SingleLineInfilling/HumanEval/114/L7,both_pass,9,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/114/L8,both_fail,13,13-16,False,False,5,5,base,base
SingleLineInfilling/HumanEval/114/L9,both_fail,8,<=8,False,False,7,7,base,base
SingleLineInfilling/HumanEval/115/L0,both_fail,17,17-24,False,False,3,3,base,base
SingleLineInfilling/HumanEval/116/L0,both_fail,21,17-24,False,False,3,3,base,base
SingleLineInfilling/HumanEval/117/L0,both_pass,5,<=8,True,True,5,5,base,base
SingleLineInfilling/HumanEval/117/L1,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/117/L2,both_pass,9,9-12,True,True,9,9,base,base
SingleLineInfilling/HumanEval/117/L3,both_pass,12,9-12,True,True,9,9,base,base
SingleLineInfilling/HumanEval/117/L4,both_fail,21,17-24,False,False,6,6,base,base
SingleLineInfilling/HumanEval/117/L5,both_pass,10,9-12,True,True,9,9,base,base
SingleLineInfilling/HumanEval/117/L6,both_pass,10,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/117/L7,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/117/L8,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/118/L0,both_pass,10,9-12,True,True,6,6,base,base
SingleLineInfilling/HumanEval/118/L1,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/118/L3,both_pass,34,25+,True,True,8,8,base,base
SingleLineInfilling/HumanEval/118/L4,both_fail,17,17-24,False,False,9,9,base,base
SingleLineInfilling/HumanEval/118/L5,both_pass,9,9-12,True,True,9,9,base,base
SingleLineInfilling/HumanEval/118/L6,both_fail,24,17-24,False,False,12,12,base,base
SingleLineInfilling/HumanEval/118/L7,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/118/L8,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/119/L0,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/119/L1,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/119/L11,both_pass,14,13-16,True,True,14,14,strong_correction,strong_correction
SingleLineInfilling/HumanEval/119/L12,both_pass,14,13-16,True,True,14,14,strong_correction,strong_correction
SingleLineInfilling/HumanEval/119/L13,both_fail,20,17-24,False,False,21,21,official_long_suspicion,official_long_suspicion
SingleLineInfilling/HumanEval/119/L2,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/119/L3,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/119/L4,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/119/L5,both_pass,4,<=8,True,True,7,7,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/119/L6,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/119/L7,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/119/L8,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/119/L9,both_pass,11,9-12,True,True,6,6,base,base
SingleLineInfilling/HumanEval/12/L0,both_pass,6,<=8,True,True,11,11,base,base
SingleLineInfilling/HumanEval/12/L1,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/12/L3,both_fail,14,13-16,False,False,7,7,base,base
SingleLineInfilling/HumanEval/12/L4,both_pass,7,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/12/L5,both_pass,10,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/12/L6,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/120/L0,both_fail,8,<=8,False,False,6,6,base,base
SingleLineInfilling/HumanEval/120/L1,both_pass,4,<=8,True,True,16,16,official_long_suspicion,official_long_suspicion
SingleLineInfilling/HumanEval/120/L2,both_pass,5,<=8,True,True,5,5,base,base
SingleLineInfilling/HumanEval/120/L3,both_pass,8,<=8,True,True,13,13,strong_correction,strong_correction
SingleLineInfilling/HumanEval/120/L4,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/121/L0,both_fail,28,25+,False,False,3,3,base,base
SingleLineInfilling/HumanEval/122/L0,both_fail,21,17-24,False,False,3,3,base,base
SingleLineInfilling/HumanEval/123/L0,both_fail,9,9-12,False,False,8,8,base,base
SingleLineInfilling/HumanEval/123/L1,both_pass,8,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/123/L10,both_pass,10,9-12,True,True,11,11,base,base
SingleLineInfilling/HumanEval/123/L11,both_pass,9,9-12,True,True,7,7,base,base
SingleLineInfilling/HumanEval/123/L13,both_fail,9,9-12,False,False,3,3,base,base
SingleLineInfilling/HumanEval/123/L2,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/123/L3,both_pass,9,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/123/L4,both_pass,8,<=8,True,True,9,9,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/123/L5,both_pass,11,9-12,True,True,9,9,base,base
SingleLineInfilling/HumanEval/123/L6,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/123/L7,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/123/L8,both_pass,10,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/124/L0,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/124/L1,both_pass,7,<=8,True,True,10,10,base,base
SingleLineInfilling/HumanEval/124/L10,both_pass,19,17-24,True,True,6,6,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/124/L11,both_pass,4,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/124/L12,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/124/L13,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/124/L15,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/124/L2,both_pass,12,9-12,True,True,12,12,base,base
SingleLineInfilling/HumanEval/124/L3,both_fail,19,17-24,False,False,8,8,base,base
SingleLineInfilling/HumanEval/124/L4,both_pass,14,13-16,True,True,14,14,strong_correction,strong_correction
SingleLineInfilling/HumanEval/124/L5,both_pass,4,<=8,True,True,6,6,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/124/L6,both_pass,34,25+,True,True,14,14,strong_correction,strong_correction
SingleLineInfilling/HumanEval/124/L7,both_pass,4,<=8,True,True,16,16,official_long_suspicion,official_long_suspicion
SingleLineInfilling/HumanEval/124/L8,both_pass,27,25+,True,True,14,14,strong_correction,strong_correction
SingleLineInfilling/HumanEval/124/L9,both_pass,4,<=8,True,True,22,22,official_long_suspicion,official_long_suspicion
SingleLineInfilling/HumanEval/125/L0,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/125/L1,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/125/L2,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/125/L3,both_fail,11,9-12,False,False,6,6,base,base
SingleLineInfilling/HumanEval/125/L4,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/125/L5,both_fail,24,17-24,False,False,3,3,base,base
SingleLineInfilling/HumanEval/126/L0,both_fail,19,17-24,False,False,7,7,base,base
SingleLineInfilling/HumanEval/126/L1,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/126/L2,both_pass,10,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/126/L3,both_fail,17,17-24,False,False,7,7,base,base
SingleLineInfilling/HumanEval/126/L4,both_fail,4,<=8,False,False,9,9,base,base
SingleLineInfilling/HumanEval/126/L5,both_fail,26,25+,False,False,4,4,base,base
SingleLineInfilling/HumanEval/126/L6,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/126/L7,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/126/L8,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/127/L0,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/127/L1,both_fail,13,13-16,False,False,6,6,base,base
SingleLineInfilling/HumanEval/127/L10,both_pass,16,13-16,True,True,16,16,strong_correction,strong_correction
SingleLineInfilling/HumanEval/127/L11,both_pass,16,13-16,True,True,16,16,strong_correction,strong_correction
SingleLineInfilling/HumanEval/127/L12,both_pass,7,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/127/L13,both_fail,12,9-12,False,False,7,7,base,base
SingleLineInfilling/HumanEval/127/L14,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/127/L15,both_pass,6,<=8,True,True,9,9,base,base
SingleLineInfilling/HumanEval/127/L2,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/127/L3,both_pass,8,<=8,True,True,13,13,strong_correction,strong_correction
SingleLineInfilling/HumanEval/127/L4,both_pass,4,<=8,True,True,16,16,strong_correction,strong_correction
SingleLineInfilling/HumanEval/127/L5,both_pass,11,9-12,True,True,11,11,base,base
SingleLineInfilling/HumanEval/127/L6,both_pass,10,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/127/L7,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/127/L8,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/128/L0,both_pass,8,<=8,True,True,14,14,weak_correction,weak_correction
SingleLineInfilling/HumanEval/128/L1,both_fail,29,25+,False,False,6,6,base,base
SingleLineInfilling/HumanEval/128/L2,both_fail,15,13-16,False,False,3,3,base,base
SingleLineInfilling/HumanEval/129/L0,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/129/L1,both_pass,10,9-12,True,True,5,5,base,base
SingleLineInfilling/HumanEval/129/L10,both_pass,12,9-12,True,True,12,12,base,base
SingleLineInfilling/HumanEval/129/L12,both_fail,10,9-12,False,False,20,20,strong_correction,strong_correction
SingleLineInfilling/HumanEval/129/L13,both_pass,12,9-12,True,True,12,12,base,base
SingleLineInfilling/HumanEval/129/L15,both_pass,10,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/129/L16,both_pass,12,9-12,True,True,12,12,base,base
SingleLineInfilling/HumanEval/129/L18,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/129/L2,both_pass,8,<=8,True,True,9,9,base,base
SingleLineInfilling/HumanEval/129/L20,both_pass,5,<=8,True,True,5,5,base,base
SingleLineInfilling/HumanEval/129/L21,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/129/L22,both_fail,11,9-12,False,False,5,5,base,base
SingleLineInfilling/HumanEval/129/L23,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/129/L24,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/129/L25,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/129/L26,both_fail,4,<=8,False,False,3,3,base,base
SingleLineInfilling/HumanEval/129/L3,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/129/L4,both_pass,12,9-12,True,True,12,12,base,base
SingleLineInfilling/HumanEval/129/L5,both_pass,5,<=8,True,True,5,5,base,base
SingleLineInfilling/HumanEval/129/L6,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/129/L7,both_pass,12,9-12,True,True,12,12,base,base
SingleLineInfilling/HumanEval/129/L9,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/13/L0,both_pass,5,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/13/L1,both_pass,11,9-12,True,True,11,11,base,base
SingleLineInfilling/HumanEval/13/L2,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/130/L0,both_pass,8,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/130/L1,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/130/L2,both_pass,11,9-12,True,True,11,11,base,base
SingleLineInfilling/HumanEval/130/L3,both_pass,14,13-16,True,True,14,14,strong_correction,strong_correction
SingleLineInfilling/HumanEval/130/L4,both_pass,11,9-12,True,True,11,11,base,base
SingleLineInfilling/HumanEval/130/L5,both_pass,13,13-16,True,True,13,13,strong_correction,strong_correction
SingleLineInfilling/HumanEval/130/L6,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/130/L7,both_fail,31,25+,False,False,3,3,base,base
SingleLineInfilling/HumanEval/130/L8,both_pass,5,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/131/L0,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/131/L1,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/131/L10,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/131/L2,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/131/L3,both_pass,10,9-12,True,True,10,10,base,base
