task_id,pool,best_action,best_passed,best_compile_passed,best_error_type,best_hash
SingleLineInfilling/HumanEval/51/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,c03cf30ba8c31706867480075f93c45d83a15d8aa0c8ebe5f927de27e104e44e
SingleLineInfilling/HumanEval/6/L12,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,80ada23c1b2751eca7def73b283ce4d22adbeb3959c3ce60b614de436a3fc36d
SingleLineInfilling/HumanEval/62/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,bac36bec7ffd67dba1665a23ee2ea5ec5f615db028dcc35e0a295e18f495e821
SingleLineInfilling/HumanEval/77/L1,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,e6b91b0e5802fb26bf6722ba5deec813b66e63ab4dc1d5597954ed93b175a5fb
SingleLineInfilling/HumanEval/79/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,9e686c7430de4c996d8b6cd9a8e1d1561059113adf40dcd0d9b849bfb9009cce
SingleLineInfilling/HumanEval/83/L1,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,f50621721ac550fac991239272d45a770e826b8f315b5635ca852a3f1e3b9e75
SingleLineInfilling/HumanEval/84/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,ff07d3be1646c9b5acc1177989fcecb1125df03fb2edbac36e15f2bc2d3bce84
SingleLineInfilling/HumanEval/85/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0
SingleLineInfilling/HumanEval/86/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,32ea1658002d801ce2d15567dfdfec7ea71eb3109ff777a948defbfddb4b8551
SingleLineInfilling/HumanEval/87/L1,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,8f18baae40efc6d3e45be48c990f404e7c79621a1a966e30ccb845625788c41c
SingleLineInfilling/HumanEval/88/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,e093c411e13a3a403c04343b166a6df4307b4f994f0b38d2ca49ff6c9830068d
SingleLineInfilling/HumanEval/91/L2,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,511e7c07299d389836f20c6eef0c1c27f2053657d5410989d8b0be36002a772e
SingleLineInfilling/HumanEval/97/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,5023892c397900c979000bf00eb515bc8449cb029a83e44119058502bb1a1219
SingleLineInfilling/HumanEval/10/L5,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,0eb4a9f34fab2d76197dd28bd269312ab310033ff9dff6cc8f8fb68010cf68ec
SingleLineInfilling/HumanEval/104/L2,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,1952b01d64111379e06bb00705e62f91311966a7deaa02a1e75dbbc2a7d6aad3
SingleLineInfilling/HumanEval/107/L7,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,ab011ec151c3db197231ab3d7d6f76e5abec1650d7484410c87ef01fcaaf8021
SingleLineInfilling/HumanEval/107/L9,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,0fb01e293ef92f8afaa735a1166569237eaf5b75cf8c8218254f0f67cb6fd6cc
SingleLineInfilling/HumanEval/108/L2,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,6ff137a5ebd22ce9de442ed4927ecb6f92b6dd1a06fc68a57d2be93cf7221af5
SingleLineInfilling/HumanEval/109/L7,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,45460b7160bb8ed3b749f1b6187241c76106481c07811ae92e6b3b544be7bd77
SingleLineInfilling/HumanEval/112/L0,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8
SingleLineInfilling/HumanEval/113/L3,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,7f835d0008b6dec3b1be2ede02ed8ec350629c04ba9169da7934ee85886b5a2f
SingleLineInfilling/HumanEval/117/L4,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,8a021bfe7f2f49462b707da5c2269cc564b90fca0222e176e663c00ddd561604
SingleLineInfilling/HumanEval/118/L4,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,a2992f4fc5c4432488e499b0d2c307af485750d19ae949674c4e02d0318979a3
SingleLineInfilling/HumanEval/118/L6,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,33b0e83f8d2890ac91a2f7940575e22cfcf2a84f6d6a51f382ebec12a8d59b29
SingleLineInfilling/HumanEval/119/L13,missed_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,05762c6297c1d62c4f19181b871abe216e874197d10c0c992d9fa15a2b05670e
SingleLineInfilling/HumanEval/124/L3,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,6cbcc9c7b099d9cea03533bc678c30a0e4db40e66959908aae4de53095938821
SingleLineInfilling/HumanEval/126/L0,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,f243a126cce46673e36b4dcf790ce6d7181d7affd1a493be296ddd0a61f3c6ef
SingleLineInfilling/HumanEval/126/L3,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,2596bac9255200a2ea28cefaf85c359f18a6aa3e517e9ef55a6d55433c28880b
SingleLineInfilling/HumanEval/126/L5,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,d38b79bbf85180ed31be82846653045cd71e58045ac38010585302fc7b0206f8
SingleLineInfilling/HumanEval/128/L1,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,20da178cb1004787793c71f45e3ee80679742fb9f9ac7581cb4b434907d4baa0
SingleLineInfilling/HumanEval/130/L7,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,78952a5e9dcfc80845d3b2d13268c985cab4a53fcb5f6425d21eb774895dcd45
SingleLineInfilling/HumanEval/137/L4,missed_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,f1d0b0c7aef6f499f656ce4afa3b3d53252fce8ed9eabfe7c11ad2479813fc37
SingleLineInfilling/HumanEval/141/L10,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,00b764704e39d408617194209c18f3bdf6e28b1ac195829b0edd8f3dbb9cb13e
SingleLineInfilling/HumanEval/145/L2,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,2fa5b71aa928891dfc467f745f072b5a1f9899dafb1b846140a3afd774ccb6ef
SingleLineInfilling/HumanEval/146/L6,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,c239f43f41f447522f464a920c7404e66cc5a5e8af00066a5c3e1a4d61109fd9
SingleLineInfilling/HumanEval/147/L0,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,d6d21886431f2fdb56346c15fc1b4f822472882fe840ba9fd77aafc458216bd4
SingleLineInfilling/HumanEval/148/L0,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,51903404c0773f1eb855a891ef73971cbc399abeb21db34c03fae7bd60de1f9d
SingleLineInfilling/HumanEval/148/L6,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,5fdfae095081cbbb69f5b17c638d60abf7a2ce664f6ef4913e0c86e155eb2230
SingleLineInfilling/HumanEval/148/L8,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,31f9886544870fdde6f4e247bf1fb894176e4a2364dec022e66815f2b880a032
SingleLineInfilling/HumanEval/153/L1,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,fbdb11f7311ebab67dd1035f9759a3f9a66a653b0f36b4e7b8e6db1d8b2067e2
SingleLineInfilling/HumanEval/153/L3,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,31ddac74f4c03d5c1c00122fee86c172d4f67c39441a5333b2ff9a97e8041e3e
SingleLineInfilling/HumanEval/156/L2,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,0008d8ce947aed4a1329aa56df307e102da6b7ccc3a39c471b0ae08d98e70ff2
SingleLineInfilling/HumanEval/160/L1,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,686c59693ba501fa33f06f55e35b40fc66ddfb13a856cf08061563996a012b2b
SingleLineInfilling/HumanEval/32/L1,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,5c2fb1c2b2002557c773c249a77ff929dce1ef3c480cf28c3653acb91f0fe517
SingleLineInfilling/HumanEval/32/L6,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,6ce9e1b487586f5ff240eefab923603a8426d20535fb1db07f83d17b5aed0f83
SingleLineInfilling/HumanEval/39/L5,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,578ddf0f43d86ab27ce1a266b3025686495108aad31111d68b923d0e604921d3
SingleLineInfilling/HumanEval/40/L3,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,a35f000cd3c15467c580eb675be9aecb1bffefb2e87fdcd7fd341c02ac565727
SingleLineInfilling/HumanEval/47/L4,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,6ae4d587e1aad97c382b0b94ba88d21db9f2b6ef90baa86fcaae14a102cb6d8d
SingleLineInfilling/HumanEval/48/L1,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,88104ab64a42485207b5c8d8ecbdfe6d182167e72e4f4932204193b527623e6a
SingleLineInfilling/HumanEval/50/L0,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,64f1081092cf695dda4c50fe32e019a2f2b61d244586b885fb828609934c8422
SingleLineInfilling/HumanEval/57/L0,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,3ccc870fda657224b4db4ebf8ae332391b2354e385b5ab8f957a3021fec36d31
SingleLineInfilling/HumanEval/63/L6,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,2b235edfb38e29ff69315ab421d45be4be54bc237e61101f81376d948add96cb
SingleLineInfilling/HumanEval/64/L2,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,2928ae9c7fd87601391eabb87adfcaec48e34deaeab6750ed64967ae096008b5
SingleLineInfilling/HumanEval/65/L4,missed_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,0466296388daf1eaebfc616b3eb2c1b8be0325c209de7ae6f0ac2163a5cee98f
SingleLineInfilling/HumanEval/69/L0,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,8663f528b225d0f950252da0290423630a814b089317e0507b8d5c3dc3247562
SingleLineInfilling/HumanEval/71/L0,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,f00aa9b3bec38f914a86fe47e5ba9fb4ca4706eb4dc79b42bd3322c65ef90111
SingleLineInfilling/HumanEval/71/L3,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,f2483489d3fa92c2f800d8873d57d9b9189ecc1a2e12b7f8898a76aea7438958
SingleLineInfilling/HumanEval/78/L0,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,56d26cab49e5e414f2cd162c0b7e704714d8c63e294311278d66b383c1215a2b
SingleLineInfilling/HumanEval/80/L5,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,faa71988d2a8e1d874d463ff7e102cfe1fcad4ec7d449159652f6e9ee649ec5b
SingleLineInfilling/HumanEval/87/L0,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,b558361549cd7f8e81e104446b3767399a198111fda76fdb195e177ce2e1fb39
SingleLineInfilling/HumanEval/89/L4,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,23b6c3be032fb0b033b5695db7e4e5436eef8f1b88146cc0f10d1c3a8bb7cc62
SingleLineInfilling/HumanEval/90/L1,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,041676cc433c14c5ffb038176476ab7732f0f7bca4ecf1168a9e5d9603497c19
SingleLineInfilling/HumanEval/91/L1,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,57356489b461490dff35707edd1d8d8a43b63a188eb11e85b6eee7e8501a2d31
SingleLineInfilling/HumanEval/92/L1,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,f7fc61ab52cb3758d143e466a6691ee7db07222d35a06a5302f954b2197577da
SingleLineInfilling/HumanEval/92/L2,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,544f2c7e14d05ab40b40dbc7233f0dc35cea9b26a8206cbffab3adf619a6eab5
SingleLineInfilling/HumanEval/93/L1,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,275b355b4f6f34e3040663ea80e0f992bb5901e56f2e3c31da5aa18cf8db7362
SingleLineInfilling/HumanEval/93/L3,missed_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,f70b76cf95bc7f3b9143bc8eba8d587f54c9a6485131357caad594dda5d85b66
SingleLineInfilling/HumanEval/94/L9,missed_failed_long,E_oracle_sufficient_no_early_commit,True,True,,a45f9ca69b8a8b0fe8165ca7d4d7f2159965604b02ae3598979b1368071e6a57
SingleLineInfilling/HumanEval/95/L16,missed_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,fe5e7f6ad2483cf2c0f1d3ce775feeda482e1c57e132dac4f923b5c0100a0962
SingleLineInfilling/HumanEval/116/L0,positive_control_rescued,E_oracle_sufficient_no_early_commit,True,True,,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c
SingleLineInfilling/HumanEval/66/L1,positive_control_rescued,E_oracle_sufficient_no_early_commit,True,True,,b9dec5d4576ac37a7a609d4d0b61672375a63884088d2850ab3cc8dd2148d59e
SingleLineInfilling/HumanEval/16/L0,positive_control_rescued,E_oracle_sufficient_no_early_commit,True,True,,2251b1295109f91ad3783f7e824f5448d622413ca3195a4bab940ffb8aa7980c
SingleLineInfilling/HumanEval/34/L0,positive_control_rescued,E_oracle_sufficient_no_early_commit,True,True,,9a83c43b7272a01618ae3302a2a842dffa932665a0951c43e0e66b6ed0af03bf
SingleLineInfilling/HumanEval/60/L0,positive_control_rescued,E_oracle_sufficient_no_early_commit,True,True,,eb030123edfdd2dc6d99417e6d21148e2c2be9ed82de8ff6c39316bc68ecbb1a
SingleLineInfilling/HumanEval/67/L4,positive_control_rescued,E_oracle_sufficient_no_early_commit,True,True,,06923962dbf211375ad40c4de4b5aba4ad358dd137624549b735f8a4d9baabb8
