task_id,pool,historical_error_type,unique_candidate_hash_count,any_correct,compile_repaired,all_actions_unchanged,all_actions_distinct_but_wrong,error_types,actions_passed,max_trace_instability,selection_priority
SingleLineInfilling/HumanEval/71/L0,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",21,1
SingleLineInfilling/HumanEval/108/L2,missed_failed_long,UnitTestFailure,3,True,False,False,False,"{'None': 2, 'UnitTestFailure': 1}","['E_oracle_sufficient_no_early_commit', 'G_oracle_sufficient_trace_span_remask']",20,1
SingleLineInfilling/HumanEval/145/L2,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",20,1
SingleLineInfilling/HumanEval/160/L1,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",20,1
SingleLineInfilling/HumanEval/32/L1,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",20,1
SingleLineInfilling/HumanEval/112/L0,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",19,1
SingleLineInfilling/HumanEval/124/L3,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",19,1
SingleLineInfilling/HumanEval/126/L0,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",19,1
SingleLineInfilling/HumanEval/89/L4,missed_failed_long,UnitTestFailure,2,True,False,False,False,"{'None': 2, 'UnitTestFailure': 1}","['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask']",19,1
SingleLineInfilling/HumanEval/148/L6,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",18,1
SingleLineInfilling/HumanEval/148/L8,missed_failed_long,SyntaxError,1,True,True,False,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",18,1
