task_id,policy,oracle_length,oracle_bucket,passed,current_selected_length,proportional_selected_length,new_selected_length,promoted,current_abs_error,new_abs_error,delta_abs_error,improved_length_error,worsened_length_error,current_under_selected,new_under_selected,current_over_selected,new_over_selected,max_probe_length,candidate_count
SingleLineInfilling/HumanEval/1/L16,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,False,3,3,3,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/2/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,9,9-12,False,3,3,3,False,6,6,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/3/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,5,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/3/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/3/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,5,<=8,True,6,6,6,False,1,1,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/3/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,9,9,9,False,1,1,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/3/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,4,4,4,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/3/L7,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,3,3,3,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/4/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,13,13-16,True,13,14,14,True,0,1,1,False,True,False,False,False,True,24,16
SingleLineInfilling/HumanEval/4/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,19,17-24,False,3,3,3,False,16,16,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/5/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/5/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,4,4,4,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/5/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,5,<=8,True,5,5,5,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/5/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,9,9-12,True,9,9,9,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/5/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/5/L7,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/5/L9,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,9,9-12,True,9,9,9,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/5/L11,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,3,3,3,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/6/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,9,9-12,True,14,14,14,False,5,5,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/6/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/6/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,8,8,8,False,1,1,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/6/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/6/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/6/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/6/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,12,9-12,True,11,11,11,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/6/L7,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,7,7,7,False,3,3,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/6/L8,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/6/L10,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,5,<=8,True,5,5,5,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/6/L12,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,21,17-24,False,3,3,3,False,18,18,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/7/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,14,13-16,False,3,3,3,False,11,11,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/8/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/8/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,6,6,6,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/8/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/8/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/8/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,7,7,7,False,1,1,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/8/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,False,8,3,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/9/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/9/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,5,<=8,True,9,4,9,False,4,4,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/9/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/9/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/9/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/9/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,False,7,4,7,False,3,3,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/9/L7,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,12,9-12,True,10,10,10,False,2,2,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/9/L9,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/9/L11,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,6,3,6,False,2,2,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/10/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/10/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,4,4,4,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/10/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/10/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,17,17-24,False,16,16,16,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/10/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/10/L8,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,15,13-16,False,3,3,3,False,12,12,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/11/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/11/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/11/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/11/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,7,4,7,False,3,3,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/11/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/11/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,22,17-24,False,3,3,3,False,19,19,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/12/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,11,11,11,False,5,5,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/12/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,4,4,4,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/12/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,14,13-16,False,7,7,7,False,7,7,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/12/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,11,8,11,False,4,4,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/12/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,10,9-12,True,10,10,10,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/12/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,4,4,4,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/13/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,5,<=8,True,8,8,8,False,3,3,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/13/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,11,9-12,True,11,11,11,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/13/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,3,3,3,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/14/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,5,<=8,True,8,8,8,False,3,3,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/14/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,9,9-12,True,9,9,9,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/14/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,10,9-12,False,9,9,9,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/14/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,False,7,4,7,False,3,3,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/15/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,19,17-24,False,3,3,3,False,16,16,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/16/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,False,3,3,3,False,5,5,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/17/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,24,17-24,True,24,24,24,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/17/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,19,17-24,False,3,3,3,False,16,16,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/18/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/18/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,18,17-24,True,9,9,9,False,9,9,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/18/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,14,13-16,True,14,14,14,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/18/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/18/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,3,3,3,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/19/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/19/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/19/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/19/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/19/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/19/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/19/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/19/L7,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/19/L8,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/19/L9,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/19/L10,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,9,9,9,False,1,1,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/19/L11,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,3,<=8,True,4,4,4,False,1,1,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/19/L12,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,27,25+,False,3,3,3,False,24,24,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/20/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,13,6,13,False,7,7,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/20/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,5,<=8,True,7,5,7,False,2,2,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/20/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,11,9-12,True,11,11,11,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/20/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,13,13-16,True,13,13,13,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/20/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,4,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/20/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/20/L7,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,10,9-12,True,10,10,10,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/20/L8,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,13,13-16,True,13,13,13,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/20/L9,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,8,4,8,False,4,4,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/20/L10,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,11,9-12,True,11,11,11,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/20/L11,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/20/L12,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,10,10,10,False,4,4,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/20/L13,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,13,13-16,True,13,13,13,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/20/L15,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,5,<=8,True,4,4,4,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/21/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,9,9-12,True,9,9,9,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/21/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,9,9-12,True,10,10,10,False,1,1,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/21/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,22,17-24,False,3,3,3,False,19,19,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/22/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,15,13-16,False,3,3,3,False,12,12,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/23/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,False,6,3,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/24/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,9,9-12,False,11,8,11,False,2,2,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/24/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,10,9-12,True,10,10,10,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/24/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,3,3,3,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/25/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,4,4,4,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/25/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,5,<=8,True,9,5,9,False,4,4,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/25/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/25/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,14,13-16,True,7,7,7,False,7,7,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/25/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,10,9-12,True,10,10,10,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/25/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/25/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/25/L7,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,False,10,10,10,False,6,6,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/25/L8,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/25/L10,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,5,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/25/L11,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,11,7,11,False,5,5,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/25/L12,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,False,3,3,3,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/26/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,4,4,4,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/26/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,10,9-12,True,10,10,10,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/26/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,17,17-24,False,3,3,3,False,14,14,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/27/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,False,3,3,3,False,5,5,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/28/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,9,9-12,False,3,3,3,False,6,6,0,False,False,True,True,False,False,24,16
