case_index,row_key,source_row_id,task_group,source_config,reference_middle_tokens_offline_only,length_bucket_offline_only,prefix_tokens,suffix_tokens,frozen_controller_test_row,alpha_structural_eligible,alpha_reference_verified,alpha_status,alpha_transform_id,alpha_renamed_identifier_count
17,HumanEval-RandomSpanInfillingLight:17:9b02770240a54b27,17,HumanEval/17,HumanEval-RandomSpanInfillingLight,23,long,180,20,False,True,True,reference_verified,5c23ffd72c7e01b5,2
18,HumanEval-RandomSpanInfillingLight:18:acbd91212ee7b05d,18,HumanEval/18,HumanEval-RandomSpanInfillingLight,32,extreme,104,6,False,True,True,reference_verified,7be68c506808c569,2
19,HumanEval-RandomSpanInfillingLight:19:c83d0aaf6ba63d05,19,HumanEval/19,HumanEval-RandomSpanInfillingLight,9,medium,218,2,False,False,False,strict_transform_rejected,,
20,HumanEval-RandomSpanInfillingLight:20:e55eaad75c7c6016,20,HumanEval/20,HumanEval-RandomSpanInfillingLight,80,extreme,208,7,False,True,True,reference_verified,8e666d6b9729e09e,7
21,HumanEval-RandomSpanInfillingLight:21:79f1bea1039577ae,21,HumanEval/21,HumanEval-RandomSpanInfillingLight,13,medium,151,6,False,True,True,reference_verified,5cecfcf58b380c4c,3
22,HumanEval-RandomSpanInfillingLight:22:107431e58ce52b8c,22,HumanEval/22,HumanEval-RandomSpanInfillingLight,10,medium,100,2,False,True,True,reference_verified,ecae49f829c0abb0,1
23,HumanEval-RandomSpanInfillingLight:23:b02128d298fb5248,23,HumanEval/23,HumanEval-RandomSpanInfillingLight,2,short,48,3,False,False,False,strict_transform_rejected,,
24,HumanEval-RandomSpanInfillingLight:24:eec0316eef796e2d,24,HumanEval/24,HumanEval-RandomSpanInfillingLight,19,long,58,1,False,True,True,reference_verified,559817cb5849dcd8,1
25,HumanEval-RandomSpanInfillingLight:25:e808d52ec513ac70,25,HumanEval/25,HumanEval-RandomSpanInfillingLight,11,medium,151,52,False,False,False,strict_transform_rejected,,
26,HumanEval-RandomSpanInfillingLight:26:5f0d662baecb0df6,26,HumanEval/26,HumanEval-RandomSpanInfillingLight,13,medium,90,18,False,False,False,strict_transform_rejected,,
27,HumanEval-RandomSpanInfillingLight:28:ce11553f60e78cef,28,HumanEval/28,HumanEval-RandomSpanInfillingLight,2,short,66,5,False,False,False,strict_transform_rejected,,
28,HumanEval-RandomSpanInfillingLight:29:bf9cd5a4f37c83e4,29,HumanEval/29,HumanEval-RandomSpanInfillingLight,5,short,101,2,False,True,True,reference_verified,ecae49f829c0abb0,1
29,HumanEval-RandomSpanInfillingLight:30:ff301e40890f0612,30,HumanEval/30,HumanEval-RandomSpanInfillingLight,9,medium,129,2,False,True,True,reference_verified,1bc92b25ac9e73ea,1
30,HumanEval-RandomSpanInfillingLight:32:b8b59e4778abe4f8,32,HumanEval/32,HumanEval-RandomSpanInfillingLight,16,medium,351,20,False,True,True,reference_verified,47f70a97c1985d23,3
31,HumanEval-RandomSpanInfillingLight:33:3f0ae31a58f595be,33,HumanEval/33,HumanEval-RandomSpanInfillingLight,13,medium,164,5,False,False,False,strict_transform_rejected,,
32,HumanEval-RandomSpanInfillingLight:34:b31bdd701884d237,34,HumanEval/34,HumanEval-RandomSpanInfillingLight,3,short,81,4,False,False,False,strict_transform_rejected,,
33,HumanEval-RandomSpanInfillingLight:36:aadde7be8b1fc38a,36,HumanEval/36,HumanEval-RandomSpanInfillingLight,17,long,106,48,False,True,True,reference_verified,47eee3c2a3f73743,5
34,HumanEval-RandomSpanInfillingLight:37:c528fd524a76dec1,37,HumanEval/37,HumanEval-RandomSpanInfillingLight,27,extreme,155,26,False,True,True,reference_verified,b8165ab69460dc81,5
35,HumanEval-RandomSpanInfillingLight:38:1704cf9b3cfbaeff,38,HumanEval/38,HumanEval-RandomSpanInfillingLight,4,short,176,6,False,False,False,strict_transform_rejected,,
36,HumanEval-RandomSpanInfillingLight:39:d0f9d661741d1562,39,HumanEval/39,HumanEval-RandomSpanInfillingLight,28,extreme,185,16,False,False,False,strict_transform_rejected,,
37,HumanEval-RandomSpanInfillingLight:40:889964ab8a3c74c1,40,HumanEval/40,HumanEval-RandomSpanInfillingLight,36,extreme,189,5,False,True,True,reference_verified,2fb2df6b6384f37c,3
38,HumanEval-RandomSpanInfillingLight:41:96d1a1255c742fc1,41,HumanEval/41,HumanEval-RandomSpanInfillingLight,3,short,161,1,False,False,False,strict_transform_rejected,,
39,HumanEval-RandomSpanInfillingLight:42:e7b2b8a4c7493431,42,HumanEval/42,HumanEval-RandomSpanInfillingLight,8,short,125,2,False,True,True,reference_verified,1bc92b25ac9e73ea,1
40,HumanEval-RandomSpanInfillingLight:43:b95b89416c2f581f,43,HumanEval/43,HumanEval-RandomSpanInfillingLight,31,extreme,174,5,False,True,True,reference_verified,51074c4bef8dd1c7,3
41,HumanEval-RandomSpanInfillingLight:44:b4c20f0be1caf41e,44,HumanEval/44,HumanEval-RandomSpanInfillingLight,15,medium,119,5,False,True,True,reference_verified,b625f8f0ec5abf30,1
42,HumanEval-RandomSpanInfillingLight:45:d0708ca509d2f7af,45,HumanEval/45,HumanEval-RandomSpanInfillingLight,5,short,52,1,False,False,False,strict_transform_rejected,,
43,HumanEval-RandomSpanInfillingLight:46:5388787de392320f,46,HumanEval/46,HumanEval-RandomSpanInfillingLight,19,long,226,17,False,True,True,reference_verified,3b88da273e86994b,2
44,HumanEval-RandomSpanInfillingLight:47:9c7732ce533d225d,47,HumanEval/47,HumanEval-RandomSpanInfillingLight,33,extreme,103,12,False,False,False,strict_transform_rejected,,
45,HumanEval-RandomSpanInfillingLight:48:1e1a0010a66302b5,48,HumanEval/48,HumanEval-RandomSpanInfillingLight,19,long,98,5,False,True,True,reference_verified,559817cb5849dcd8,1
46,HumanEval-RandomSpanInfillingLight:49:7b8a0fc03742bd87,49,HumanEval/49,HumanEval-RandomSpanInfillingLight,7,short,139,5,False,True,True,reference_verified,bc808e5335ad68ed,2
47,HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf,51,HumanEval/51,HumanEval-RandomSpanInfillingLight,2,short,150,19,False,True,True,reference_verified,4f6ae065140b96a3,1
48,HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4,52,HumanEval/52,HumanEval-RandomSpanInfillingLight,9,medium,95,5,False,True,True,reference_verified,1bc92b25ac9e73ea,1
49,HumanEval-RandomSpanInfillingLight:53:b9f0d5be8a97da64,53,HumanEval/53,HumanEval-RandomSpanInfillingLight,2,short,58,1,False,False,False,strict_transform_rejected,,
50,HumanEval-RandomSpanInfillingLight:54:ae3f432340a0729f,54,HumanEval/54,HumanEval-RandomSpanInfillingLight,10,medium,143,1,False,False,False,strict_transform_rejected,,
51,HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5,55,HumanEval/55,HumanEval-RandomSpanInfillingLight,26,extreme,58,16,False,False,False,strict_transform_rejected,,
52,HumanEval-RandomSpanInfillingLight:56:cc3a974ef3d21045,56,HumanEval/56,HumanEval-RandomSpanInfillingLight,35,extreme,112,8,False,True,True,reference_verified,f1f4d92dfdf3b8fb,2
53,HumanEval-RandomSpanInfillingLight:57:c306aacce3dd640f,57,HumanEval/57,HumanEval-RandomSpanInfillingLight,9,medium,96,10,False,False,False,strict_transform_rejected,,
54,HumanEval-RandomSpanInfillingLight:58:85a615d9ab6b2c91,58,HumanEval/58,HumanEval-RandomSpanInfillingLight,3,short,171,3,False,True,True,reference_verified,4f866e1951876b30,3
55,HumanEval-RandomSpanInfillingLight:59:1d7be0991a006a75,59,HumanEval/59,HumanEval-RandomSpanInfillingLight,11,medium,144,16,False,False,False,strict_transform_rejected,,
56,HumanEval-RandomSpanInfillingLight:60:feda1953ec63c0f7,60,HumanEval/60,HumanEval-RandomSpanInfillingLight,6,short,113,2,False,False,False,strict_transform_rejected,,
57,HumanEval-RandomSpanInfillingLight:61:cdc7f41a9215452e,61,HumanEval/61,HumanEval-RandomSpanInfillingLight,21,long,113,20,False,True,True,reference_verified,f1f4d92dfdf3b8fb,2
58,HumanEval-RandomSpanInfillingLight:62:fb6f522d976ea7be,62,HumanEval/62,HumanEval-RandomSpanInfillingLight,3,short,132,1,False,True,True,reference_verified,268629d4145ed9f4,2
59,HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16,63,HumanEval/63,HumanEval-RandomSpanInfillingLight,25,extreme,194,1,False,False,False,strict_transform_rejected,,
60,HumanEval-RandomSpanInfillingLight:64:7df0c721159da1af,64,HumanEval/64,HumanEval-RandomSpanInfillingLight,28,extreme,161,8,False,True,True,reference_verified,ee3146b8f58b530b,3
61,HumanEval-RandomSpanInfillingLight:65:958d25fa93bd4e71,65,HumanEval/65,HumanEval-RandomSpanInfillingLight,17,long,121,1,False,True,True,reference_verified,4f6ae065140b96a3,1
62,HumanEval-RandomSpanInfillingLight:67:ae9afb47f12db515,67,HumanEval/67,HumanEval-RandomSpanInfillingLight,23,long,237,10,False,True,True,reference_verified,6025c6c3dbac5767,2
63,HumanEval-RandomSpanInfillingLight:68:3d28a7f2084eb9df,68,HumanEval/68,HumanEval-RandomSpanInfillingLight,19,long,353,26,False,False,False,strict_transform_rejected,,
64,HumanEval-RandomSpanInfillingLight:70:45019232b34441d4,70,HumanEval/70,HumanEval-RandomSpanInfillingLight,22,long,145,11,False,True,True,reference_verified,f54f5c80849d6aa0,2
65,HumanEval-RandomSpanInfillingLight:71:e46913e9396c9827,71,HumanEval/71,HumanEval-RandomSpanInfillingLight,41,extreme,153,16,False,True,True,reference_verified,09d828489a30d4a6,2
66,HumanEval-RandomSpanInfillingLight:72:f1dc6871e30b99b0,72,HumanEval/72,HumanEval-RandomSpanInfillingLight,33,extreme,257,15,False,True,True,reference_verified,fa0af6ef85714570,2
67,HumanEval-RandomSpanInfillingLight:73:2fba7e9af12688a7,73,HumanEval/73,HumanEval-RandomSpanInfillingLight,22,long,178,5,False,True,True,reference_verified,44583f028d765889,2
68,HumanEval-RandomSpanInfillingLight:74:afb4a920ace0a9c0,74,HumanEval/74,HumanEval-RandomSpanInfillingLight,47,extreme,208,26,False,True,True,reference_verified,5bfa0393b859be5f,3
69,HumanEval-RandomSpanInfillingLight:75:fd49bfef78698e78,75,HumanEval/75,HumanEval-RandomSpanInfillingLight,42,extreme,156,5,False,False,False,strict_transform_rejected,,
70,HumanEval-RandomSpanInfillingLight:77:83a726f7403c583d,77,HumanEval/77,HumanEval-RandomSpanInfillingLight,13,medium,127,3,False,False,False,strict_transform_rejected,,
71,HumanEval-RandomSpanInfillingLight:79:4e9d63147475ee15,79,HumanEval/79,HumanEval-RandomSpanInfillingLight,8,short,162,4,False,False,False,strict_transform_rejected,,
72,HumanEval-RandomSpanInfillingLight:80:794a74636fa0c8ed,80,HumanEval/80,HumanEval-RandomSpanInfillingLight,37,extreme,151,5,False,True,True,reference_verified,559817cb5849dcd8,1
73,HumanEval-RandomSpanInfillingLight:82:9d6ca96cfb19f579,82,HumanEval/82,HumanEval-RandomSpanInfillingLight,34,extreme,79,19,False,True,True,reference_verified,f8238671a70707b0,2
74,HumanEval-RandomSpanInfillingLight:83:f5b85023b5b20ecc,83,HumanEval/83,HumanEval-RandomSpanInfillingLight,19,long,45,11,False,False,False,strict_transform_rejected,,
75,HumanEval-RandomSpanInfillingLight:85:9ac42109d4bb7c70,85,HumanEval/85,HumanEval-RandomSpanInfillingLight,20,long,69,2,False,True,True,reference_verified,559817cb5849dcd8,1
76,HumanEval-RandomSpanInfillingLight:86:36a55f80f0b49607,86,HumanEval/86,HumanEval-RandomSpanInfillingLight,14,medium,148,2,False,True,True,reference_verified,559817cb5849dcd8,1
77,HumanEval-RandomSpanInfillingLight:87:d0581266c0cc4f23,87,HumanEval/87,HumanEval-RandomSpanInfillingLight,17,long,291,29,False,False,False,strict_transform_rejected,,
78,HumanEval-RandomSpanInfillingLight:88:f77c589299b0eb4a,88,HumanEval/88,HumanEval-RandomSpanInfillingLight,10,medium,217,22,False,False,False,strict_transform_rejected,,
79,HumanEval-RandomSpanInfillingLight:89:4ee80a7700ef6e98,89,HumanEval/89,HumanEval-RandomSpanInfillingLight,15,medium,155,14,False,True,True,reference_verified,876b9074530a4a5b,3
80,HumanEval-RandomSpanInfillingLight:90:dd01e5614b0e50ee,90,HumanEval/90,HumanEval-RandomSpanInfillingLight,9,medium,128,17,False,False,False,strict_transform_rejected,,
81,HumanEval-RandomSpanInfillingLight:92:38e5983303e0cea8,92,HumanEval/92,HumanEval-RandomSpanInfillingLight,26,extreme,169,9,False,False,False,strict_transform_rejected,,
82,HumanEval-RandomSpanInfillingLight:93:8c0b3c4c468b2fdd,93,HumanEval/93,HumanEval-RandomSpanInfillingLight,32,extreme,130,25,False,True,True,reference_verified,a3b9b22e9beb3a56,3
83,HumanEval-RandomSpanInfillingLight:94:7fb920ae1649b15e,94,HumanEval/94,HumanEval-RandomSpanInfillingLight,52,extreme,373,21,False,False,False,strict_transform_rejected,,
84,HumanEval-RandomSpanInfillingLight:95:1ffeb6ea0ed5446e,95,HumanEval/95,HumanEval-RandomSpanInfillingLight,56,extreme,185,105,False,True,True,reference_verified,5938ecfd01c8f5b9,2
85,HumanEval-RandomSpanInfillingLight:96:89f241007004b293,96,HumanEval/96,HumanEval-RandomSpanInfillingLight,34,extreme,179,18,False,True,False,reference_verification_failed,54bc06bf0cb8169e,4
86,HumanEval-RandomSpanInfillingLight:97:d70425fedaa70700,97,HumanEval/97,HumanEval-RandomSpanInfillingLight,9,medium,123,8,False,False,False,strict_transform_rejected,,
87,HumanEval-RandomSpanInfillingLight:99:aa64561371c96dc8,99,HumanEval/99,HumanEval-RandomSpanInfillingLight,3,short,182,110,False,False,False,strict_transform_rejected,,
88,HumanEval-RandomSpanInfillingLight:100:c227591dff456955,100,HumanEval/100,HumanEval-RandomSpanInfillingLight,6,short,144,7,False,True,True,reference_verified,559817cb5849dcd8,1
89,HumanEval-RandomSpanInfillingLight:101:13fa16e6f794534c,101,HumanEval/101,HumanEval-RandomSpanInfillingLight,38,extreme,144,8,False,True,True,reference_verified,d2fa259a09f89bca,2
90,HumanEval-RandomSpanInfillingLight:102:3099eac395ec191d,102,HumanEval/102,HumanEval-RandomSpanInfillingLight,26,extreme,101,20,False,False,False,strict_transform_rejected,,
91,HumanEval-RandomSpanInfillingLight:103:5b2e1f462db027d0,103,HumanEval/103,HumanEval-RandomSpanInfillingLight,12,medium,194,2,False,True,True,reference_verified,46a2f384d97cd4b4,2
92,HumanEval-RandomSpanInfillingLight:104:af1bf2bce61d5220,104,HumanEval/104,HumanEval-RandomSpanInfillingLight,36,extreme,134,11,False,True,True,reference_verified,7634f78336488df2,3
93,HumanEval-RandomSpanInfillingLight:105:fa758bbf5d8c15c9,105,HumanEval/105,HumanEval-RandomSpanInfillingLight,79,extreme,296,52,False,False,False,strict_transform_rejected,,
94,HumanEval-RandomSpanInfillingLight:106:b51a2cdff945eab5,106,HumanEval/106,HumanEval-RandomSpanInfillingLight,32,extreme,184,5,False,True,True,reference_verified,4c96aa174164d891,4
95,HumanEval-RandomSpanInfillingLight:107:0e97ae6697ff5e3b,107,HumanEval/107,HumanEval-RandomSpanInfillingLight,28,extreme,310,30,False,False,False,strict_transform_rejected,,
96,HumanEval-RandomSpanInfillingLight:108:4f11cd9cc099930e,108,HumanEval/108,HumanEval-RandomSpanInfillingLight,65,extreme,135,27,False,False,False,strict_transform_rejected,,
97,HumanEval-RandomSpanInfillingLight:109:a20e909443740a0e,109,HumanEval/109,HumanEval-RandomSpanInfillingLight,16,medium,389,5,False,True,True,reference_verified,306ec717d1a1cdc8,5
98,HumanEval-RandomSpanInfillingLight:110:1b6a34ddf2943a60,110,HumanEval/110,HumanEval-RandomSpanInfillingLight,36,extreme,241,7,False,True,True,reference_verified,ea9fda057e77d349,3
99,HumanEval-RandomSpanInfillingLight:111:c731465109498af8,111,HumanEval/111,HumanEval-RandomSpanInfillingLight,32,extreme,210,6,False,True,True,reference_verified,2a0cd6dddc566db3,4
100,HumanEval-RandomSpanInfillingLight:112:25dc70986274025a,112,HumanEval/112,HumanEval-RandomSpanInfillingLight,15,medium,176,14,False,True,True,reference_verified,d19c950abec635b0,1
101,HumanEval-RandomSpanInfillingLight:113:7faa31d7e1100488,113,HumanEval/113,HumanEval-RandomSpanInfillingLight,41,extreme,222,5,False,True,True,reference_verified,a841760eedd54569,4
102,HumanEval-RandomSpanInfillingLight:114:113e1a65bc0fea3c,114,HumanEval/114,HumanEval-RandomSpanInfillingLight,60,extreme,101,14,False,True,True,reference_verified,b57e590f9898a473,5
103,HumanEval-RandomSpanInfillingLight:115:ebffad7ad5519b19,115,HumanEval/115,HumanEval-RandomSpanInfillingLight,7,short,351,6,False,False,False,strict_transform_rejected,,
104,HumanEval-RandomSpanInfillingLight:116:549984365fe39dca,116,HumanEval/116,HumanEval-RandomSpanInfillingLight,13,medium,185,2,False,False,False,strict_transform_rejected,,
105,HumanEval-RandomSpanInfillingLight:117:4e45a41d2a1958a7,117,HumanEval/117,HumanEval-RandomSpanInfillingLight,15,medium,230,32,False,True,True,reference_verified,652b524ac4bb40f6,4
106,HumanEval-RandomSpanInfillingLight:118:9d636a503bd08833,118,HumanEval/118,HumanEval-RandomSpanInfillingLight,38,extreme,231,5,False,True,True,reference_verified,2285539aa2ef62cd,2
107,HumanEval-RandomSpanInfillingLight:119:e254a4ef7cb13529,119,HumanEval/119,HumanEval-RandomSpanInfillingLight,69,extreme,178,50,False,False,False,strict_transform_rejected,,
108,HumanEval-RandomSpanInfillingLight:120:ff8db58097a877e2,120,HumanEval/120,HumanEval-RandomSpanInfillingLight,13,medium,252,5,False,True,True,reference_verified,7689a4a73909a9a5,1
109,HumanEval-RandomSpanInfillingLight:121:6fb9017c7b7944eb,121,HumanEval/121,HumanEval-RandomSpanInfillingLight,12,medium,119,2,False,True,True,reference_verified,9fdf1ab147404862,2
110,HumanEval-RandomSpanInfillingLight:122:29ba988b0bfa555b,122,HumanEval/122,HumanEval-RandomSpanInfillingLight,12,medium,150,2,False,True,True,reference_verified,04bd4cd9eca2de83,1
111,HumanEval-RandomSpanInfillingLight:123:5ab5620004d96029,123,HumanEval/123,HumanEval-RandomSpanInfillingLight,40,extreme,272,32,False,True,True,reference_verified,66d2924b526b2220,1
112,HumanEval-RandomSpanInfillingLight:124:7a7c08d85cf8ef28,124,HumanEval/124,HumanEval-RandomSpanInfillingLight,85,extreme,342,37,False,False,False,strict_transform_rejected,,
113,HumanEval-RandomSpanInfillingLight:125:68086079e4ab8468,125,HumanEval/125,HumanEval-RandomSpanInfillingLight,12,medium,187,9,False,True,True,reference_verified,559817cb5849dcd8,1
114,HumanEval-RandomSpanInfillingLight:126:ecffdbe90f80ea3f,126,HumanEval/126,HumanEval-RandomSpanInfillingLight,56,extreme,259,40,False,True,True,reference_verified,500237e3a1322e53,2
115,HumanEval-RandomSpanInfillingLight:127:aa31b68a7d3dcc11,127,HumanEval/127,HumanEval-RandomSpanInfillingLight,57,extreme,335,7,False,False,False,strict_transform_rejected,,
116,HumanEval-RandomSpanInfillingLight:128:add2f2ae6f1451b4,128,HumanEval/128,HumanEval-RandomSpanInfillingLight,25,extreme,135,16,False,False,False,strict_transform_rejected,,
117,HumanEval-RandomSpanInfillingLight:129:a697f50a6ce1b52b,129,HumanEval/129,HumanEval-RandomSpanInfillingLight,111,extreme,446,47,False,True,True,reference_verified,5e5ddf68b6523615,6
118,HumanEval-RandomSpanInfillingLight:130:371ca144af5a3b0b,130,HumanEval/130,HumanEval-RandomSpanInfillingLight,64,extreme,261,23,False,True,False,reference_verification_failed,c4299982ff675d40,2
119,HumanEval-RandomSpanInfillingLight:131:271c81b1e35e20a6,131,HumanEval/131,HumanEval-RandomSpanInfillingLight,44,extreme,88,22,False,True,True,reference_verified,075bea6fb570cf18,4
120,HumanEval-RandomSpanInfillingLight:132:41673e28194f812d,132,HumanEval/132,HumanEval-RandomSpanInfillingLight,70,extreme,163,47,False,True,True,reference_verified,6e4420da656cfac6,6
121,HumanEval-RandomSpanInfillingLight:133:496ffd15fdecb329,133,HumanEval/133,HumanEval-RandomSpanInfillingLight,9,medium,168,21,False,False,False,strict_transform_rejected,,
122,HumanEval-RandomSpanInfillingLight:134:ec0256dadf244506,134,HumanEval/134,HumanEval-RandomSpanInfillingLight,14,medium,174,4,False,True,True,reference_verified,08f01d5bffa2b0cc,1
123,HumanEval-RandomSpanInfillingLight:136:0417cc08e922a8e3,136,HumanEval/136,HumanEval-RandomSpanInfillingLight,31,extreme,145,24,False,False,False,strict_transform_rejected,,
124,HumanEval-RandomSpanInfillingLight:137:1e745603e508af0a,137,HumanEval/137,HumanEval-RandomSpanInfillingLight,13,medium,199,18,False,True,True,reference_verified,dd9e785595ffacfd,2
125,HumanEval-RandomSpanInfillingLight:138:a9985a6c90b86fc5,138,HumanEval/138,HumanEval-RandomSpanInfillingLight,4,short,88,1,False,False,False,strict_transform_rejected,,
126,HumanEval-RandomSpanInfillingLight:139:128fc53e7611a26a,139,HumanEval/139,HumanEval-RandomSpanInfillingLight,34,extreme,106,15,False,True,True,reference_verified,fc3ec33aba085ca9,3
127,HumanEval-RandomSpanInfillingLight:140:266fa0792231a9b7,140,HumanEval/140,HumanEval-RandomSpanInfillingLight,55,extreme,169,56,False,True,True,reference_verified,7e3ceb555c793862,4
128,HumanEval-RandomSpanInfillingLight:141:cd1793f5b2b02246,141,HumanEval/141,HumanEval-RandomSpanInfillingLight,72,extreme,248,41,False,True,True,reference_verified,f3405bad88f308a1,4
129,HumanEval-RandomSpanInfillingLight:142:17ab20ba3def4d2f,142,HumanEval/142,HumanEval-RandomSpanInfillingLight,39,extreme,204,19,False,True,True,reference_verified,ff1e9c19284a00e1,2
130,HumanEval-RandomSpanInfillingLight:144:89406614f0f7a51e,144,HumanEval/144,HumanEval-RandomSpanInfillingLight,32,extreme,181,17,False,True,True,reference_verified,fe21bc7aab098fc5,6
131,HumanEval-RandomSpanInfillingLight:145:2bfeba715780abb9,145,HumanEval/145,HumanEval-RandomSpanInfillingLight,65,extreme,127,13,False,False,False,strict_transform_rejected,,
132,HumanEval-RandomSpanInfillingLight:146:79bb8acf49eed1aa,146,HumanEval/146,HumanEval-RandomSpanInfillingLight,23,long,188,15,False,True,True,reference_verified,92ba33c20f2aa336,4
133,HumanEval-RandomSpanInfillingLight:147:94e62c0c801ab8d4,147,HumanEval/147,HumanEval-RandomSpanInfillingLight,45,extreme,221,7,False,True,True,reference_verified,26d1f5a8bc23ca94,5
134,HumanEval-RandomSpanInfillingLight:148:38cd7b90e9046591,148,HumanEval/148,HumanEval-RandomSpanInfillingLight,88,extreme,220,52,False,True,True,reference_verified,c760cfc3c32e23bb,3
135,HumanEval-RandomSpanInfillingLight:150:3d1ca374d4fb88cf,150,HumanEval/150,HumanEval-RandomSpanInfillingLight,27,extreme,106,9,False,True,True,reference_verified,559817cb5849dcd8,1
136,HumanEval-RandomSpanInfillingLight:151:4c790326085f95cb,151,HumanEval/151,HumanEval-RandomSpanInfillingLight,17,long,162,2,False,True,True,reference_verified,559817cb5849dcd8,1
137,HumanEval-RandomSpanInfillingLight:152:fc8d9677f7d12a4b,152,HumanEval/152,HumanEval-RandomSpanInfillingLight,9,medium,249,2,False,True,True,reference_verified,86adbaf94fd092b6,2
138,HumanEval-RandomSpanInfillingLight:154:fbd8c83b865f5c99,154,HumanEval/154,HumanEval-RandomSpanInfillingLight,15,medium,178,5,False,True,True,reference_verified,1ef6e53e384a435e,4
139,HumanEval-RandomSpanInfillingLight:155:7f713619cf05768a,155,HumanEval/155,HumanEval-RandomSpanInfillingLight,49,extreme,74,11,False,True,True,reference_verified,f16077d9fc347690,3
140,HumanEval-RandomSpanInfillingLight:156:eb9a684bf2cf78b3,156,HumanEval/156,HumanEval-RandomSpanInfillingLight,36,extreme,232,33,False,True,True,reference_verified,36d2e2482531ab1a,5
141,HumanEval-RandomSpanInfillingLight:157:9ddf293ad8b2ffbf,157,HumanEval/157,HumanEval-RandomSpanInfillingLight,19,long,118,9,False,False,False,strict_transform_rejected,,
142,HumanEval-RandomSpanInfillingLight:158:eff979880b7e39e6,158,HumanEval/158,HumanEval-RandomSpanInfillingLight,10,medium,134,4,False,False,False,strict_transform_rejected,,
