manifest_index,source_config,task_id,prompt_id,row_id,task_group,prefix_len_chars,middle_len_chars,suffix_len_chars,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,length_bucket,selected_canvas_metadata_available,control_fixed_canvas_tokens,deployable_policy,deployable_probe_lengths,oracle_canvas_tokens,frozen_controller_test_row,frozen_controller_test_exclusion_flag,evaluator_smoke_selected,evaluator_smoke_status,evaluator_smoke_tier1,evaluator_smoke_tier2,evaluator_smoke_tier3,evaluator_smoke_error,row_key
10,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/2/L0_L0,L0_L0,133,HumanEval/2,332,24,0,87,9,0,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-MultiLineInfilling:133:MultiLineInfilling/HumanEval/2/L0_L0
11,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/14/L2_L2,L2_L2,400,HumanEval/14,227,33,54,65,9,14,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:400:MultiLineInfilling/HumanEval/14/L2_L2
12,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/21/L0_L0,L0_L0,622,HumanEval/21,351,30,105,130,9,31,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:622:MultiLineInfilling/HumanEval/21/L0_L0
13,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/24/L0_L0,L0_L0,630,HumanEval/24,173,33,44,53,9,14,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:630:MultiLineInfilling/HumanEval/24/L0_L0
14,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/25/L0_L1,L0_L1,637,HumanEval/25,450,30,205,134,9,71,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:637:MultiLineInfilling/HumanEval/25/L0_L1
15,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/28/L0_L0,L0_L0,721,HumanEval/28,214,28,0,63,9,0,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:721:MultiLineInfilling/HumanEval/28/L0_L0
16,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/32/L7_L8,L7_L8,802,HumanEval/32,990,41,42,368,9,9,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:802:MultiLineInfilling/HumanEval/32/L7_L8
17,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/37/L5_L5,L5_L5,913,HumanEval/37,447,27,76,173,9,25,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:913:MultiLineInfilling/HumanEval/37/L5_L5
18,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/39/L12_L12,L12_L12,1034,HumanEval/39,542,28,63,198,9,21,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:1034:MultiLineInfilling/HumanEval/39/L12_L12
19,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/40/L0_L0,L0_L0,1044,HumanEval/40,485,28,175,167,9,54,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:1044:MultiLineInfilling/HumanEval/40/L0_L0
20,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/10/L5_L5,L5_L5,342,HumanEval/10,647,59,89,192,17,24,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-MultiLineInfilling:342:MultiLineInfilling/HumanEval/10/L5_L5
21,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/11/L1_L3,L1_L3,356,HumanEval/11,278,56,76,94,17,29,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:356:MultiLineInfilling/HumanEval/11/L1_L3
22,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/12/L4_L5,L4_L5,385,HumanEval/12,459,51,21,133,17,4,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:385:MultiLineInfilling/HumanEval/12/L4_L5
23,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/20/L1_L3,L1_L3,532,HumanEval/20,475,62,489,178,17,99,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:532:MultiLineInfilling/HumanEval/20/L1_L3
24,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/26/L2_L2,L2_L2,719,HumanEval/26,345,45,0,103,17,0,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:719:MultiLineInfilling/HumanEval/26/L2_L2
25,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/36/L6_L7,L6_L7,873,HumanEval/36,375,42,15,149,17,4,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:873:MultiLineInfilling/HumanEval/36/L6_L7
26,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/43/L2_L3,L2_L3,1077,HumanEval/43,532,59,17,188,17,4,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:1077:MultiLineInfilling/HumanEval/43/L2_L3
27,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/44/L2_L3,L2_L3,1092,HumanEval/44,330,53,15,117,17,4,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:1092:MultiLineInfilling/HumanEval/44/L2_L3
28,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L1_L1,L1_L1,1145,HumanEval/48,275,47,41,96,17,8,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:1145:MultiLineInfilling/HumanEval/48/L1_L1
29,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/56/L2_L4,L2_L4,1209,HumanEval/56,385,58,92,112,17,25,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:1209:MultiLineInfilling/HumanEval/56/L2_L4
30,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/129/L0_L26,L0_L26,4239,HumanEval/129,1361,633,0,413,191,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",191,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-MultiLineInfilling:4239:MultiLineInfilling/HumanEval/129/L0_L26
31,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/156/L0_L13,L0_L13,5587,HumanEval/156,333,382,0,123,178,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",178,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:5587:MultiLineInfilling/HumanEval/156/L0_L13
32,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/124/L0_L15,L0_L15,3920,HumanEval/124,852,491,0,299,165,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",165,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:3920:MultiLineInfilling/HumanEval/124/L0_L15
33,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/140/L0_L19,L0_L19,4826,HumanEval/140,393,516,0,119,161,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",161,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:4826:MultiLineInfilling/HumanEval/140/L0_L19
34,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/148/L0_L8,L0_L8,5369,HumanEval/148,776,479,0,220,140,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",140,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:5369:MultiLineInfilling/HumanEval/148/L0_L8
35,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/141/L0_L13,L0_L13,5030,HumanEval/141,806,351,0,222,139,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",139,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:5030:MultiLineInfilling/HumanEval/141/L0_L13
36,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/107/L0_L11,L0_L11,3281,HumanEval/107,677,377,0,234,134,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",134,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:3281:MultiLineInfilling/HumanEval/107/L0_L11
37,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/132/L0_L15,L0_L15,4597,HumanEval/132,473,470,6,147,131,3,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",131,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:4597:MultiLineInfilling/HumanEval/132/L0_L15
38,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/127/L0_L15,L0_L15,4106,HumanEval/127,927,411,0,270,129,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",129,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:4106:MultiLineInfilling/HumanEval/127/L0_L15
39,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/99/L0_L18,L0_L18,2775,HumanEval/99,614,400,1,170,124,1,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",124,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:2775:MultiLineInfilling/HumanEval/99/L0_L18
40,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/0/6,6,5,HumanEval/0,558,4,38,177,1,9,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-RandomSpanInfilling:5:RandomSpanInfilling/HumanEval/0/6
41,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/2/4,4,23,HumanEval/2,333,2,20,87,1,8,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:23:RandomSpanInfilling/HumanEval/2/4
42,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/8/9,9,88,HumanEval/8,422,8,82,137,1,22,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:88:RandomSpanInfilling/HumanEval/8/9
43,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/11/7,7,116,HumanEval/11,405,1,4,137,1,3,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:116:RandomSpanInfilling/HumanEval/11/7
44,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/13/6,6,135,HumanEval/13,254,2,11,88,1,4,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:135:RandomSpanInfilling/HumanEval/13/6
45,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/16/4,4,163,HumanEval/16,289,2,7,79,1,3,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:163:RandomSpanInfilling/HumanEval/16/4
46,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/18/3,3,182,HumanEval/18,333,4,120,104,1,37,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:182:RandomSpanInfilling/HumanEval/18/3
47,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/19/1,1,190,HumanEval/19,524,1,165,167,1,60,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:190:RandomSpanInfilling/HumanEval/19/1
48,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/22/4,4,223,HumanEval/22,302,2,18,105,1,6,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:223:RandomSpanInfilling/HumanEval/22/4
49,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/23/2,2,231,HumanEval/23,149,3,4,48,1,3,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",1,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:231:RandomSpanInfilling/HumanEval/23/2
50,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/3/3,3,32,HumanEval/3,497,31,51,135,9,15,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-RandomSpanInfilling:32:RandomSpanInfilling/HumanEval/3/3
51,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/4/1,1,40,HumanEval/4,453,29,49,130,9,17,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:40:RandomSpanInfilling/HumanEval/4/1
52,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/5/1,1,50,HumanEval/5,422,27,30,136,9,11,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:50:RandomSpanInfilling/HumanEval/5/1
53,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/6/5,5,64,HumanEval/6,690,28,54,188,9,17,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:64:RandomSpanInfilling/HumanEval/6/5
54,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/10/5,5,104,HumanEval/10,739,38,18,217,9,7,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:104:RandomSpanInfilling/HumanEval/10/5
55,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/14/5,5,144,HumanEval/14,242,35,37,70,9,13,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:144:RandomSpanInfilling/HumanEval/14/5
56,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/15/3,3,152,HumanEval/15,240,24,7,77,9,5,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:152:RandomSpanInfilling/HumanEval/15/3
57,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/17/7,7,176,HumanEval/17,564,15,59,195,9,18,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:176:RandomSpanInfilling/HumanEval/17/7
58,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/29/4,4,293,HumanEval/29,324,27,17,95,9,6,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:293:RandomSpanInfilling/HumanEval/29/4
59,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/38/9,9,388,HumanEval/38,577,32,1,174,9,1,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:388:RandomSpanInfilling/HumanEval/38/9
60,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/12/4,4,123,HumanEval/12,465,54,12,135,17,4,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-RandomSpanInfilling:123:RandomSpanInfilling/HumanEval/12/4
61,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/24/5,5,244,HumanEval/24,197,48,4,59,17,3,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:244:RandomSpanInfilling/HumanEval/24/5
62,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/26/10,10,269,HumanEval/26,303,57,30,92,17,13,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:269:RandomSpanInfilling/HumanEval/26/10
63,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/32/5,5,324,HumanEval/32,880,42,151,322,17,48,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:324:RandomSpanInfilling/HumanEval/32/5
64,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/43/8,8,437,HumanEval/43,516,40,52,180,17,13,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:437:RandomSpanInfilling/HumanEval/43/8
65,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/63/7,7,636,HumanEval/63,511,43,26,189,17,15,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:636:RandomSpanInfilling/HumanEval/63/7
66,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/67/2,2,671,HumanEval/67,807,62,20,244,17,8,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:671:RandomSpanInfilling/HumanEval/67/2
67,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/68/4,4,683,HumanEval/68,1178,50,100,345,17,38,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:683:RandomSpanInfilling/HumanEval/68/4
68,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/73/3,3,732,HumanEval/73,483,47,69,163,17,25,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:732:RandomSpanInfilling/HumanEval/73/3
69,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/77/2,2,771,HumanEval/77,363,43,15,116,17,8,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-RandomSpanInfilling:771:RandomSpanInfilling/HumanEval/77/2
