action,action_equivalence_class,action_schema_version,actual_canvas,actual_forward_steps,code_sha256,compile_passed,decode_steps,early_commit_enabled,early_commit_triggered,effective_update_steps,error_message_short,error_type,experimental_seed,generated_text_sha256,inference_cost_sec,oracle_bucket,oracle_length,passed,primary_selected_length,seed,source_commit,split,stop_reason,target_length,task_group,task_id
EXPAND_16,SingleLineInfilling/HumanEval/0/L2|canvas=16,deployable_canvas_actions_v1,16,41,2d22778870bab1ac5b3c614dc842d7234c73e8a8f04c68c50a9b53220602d194,True,64,True,True,11,,,0,66fe06e9119df3276f37f7c9898dd7533d17beecc2109128f282137fc4738b83,2.5893999522086233,<=8,8,True,8,10973828,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,16,HumanEval/0,SingleLineInfilling/HumanEval/0/L2
EXPAND_24,SingleLineInfilling/HumanEval/0/L2|canvas=24,deployable_canvas_actions_v1,24,64,51bf41dd5d42035915d90e66f5131e131e28865c0aa87d3268b4247f21c48100,True,64,True,False,24,,,0,e6d15eed0ce5fde133ea8c0f3b6aae00e43e7b5e753fe1831b06cb81204e66cb,3.928629137109965,<=8,8,True,8,10973828,77c005153c8d98a8c8e078121ab33652baad6aba,train,no_remaining_masks,24,HumanEval/0,SingleLineInfilling/HumanEval/0/L2
EXPAND_32,SingleLineInfilling/HumanEval/0/L2|canvas=32,deployable_canvas_actions_v1,32,60,d0ed5feec148c46bb49265c16298f166a4c261f082ec8058fca029761867772a,True,64,True,True,31,failed: name 'np' is not defined,UnitTestFailure,0,c8caf3493a5473904b4f82466b446dd79f2f27b41ed1eb90552679d5e1c7535a,3.748568368027918,<=8,8,False,8,10973828,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,32,HumanEval/0,SingleLineInfilling/HumanEval/0/L2
EXPAND_48,SingleLineInfilling/HumanEval/0/L2|canvas=48,deployable_canvas_actions_v1,48,61,19dc5b92f76afbe34e87005fe4f5144ddad89a26da3f69cee2ee0896b35c68bd,True,64,True,True,46,,,0,b4ecc102ddb8f1000adb16702834e506d06dd185abefcd122c699e326fe94306,3.8902822349919006,<=8,8,True,8,10973828,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,48,HumanEval/0,SingleLineInfilling/HumanEval/0/L2
KEEP_PRIMARY,SingleLineInfilling/HumanEval/0/L2|canvas=8,deployable_canvas_actions_v1,8,29,40560c20a6f56877abd19fa87e39aa5d43f3bff6b7417c68e11fc772c096a6c9,True,64,True,True,5,,,0,8c06fb1745845e5ade4ed71fcc81ed3260c31ee7740fa6320318bcd7faa6f993,1.5464672748930752,<=8,8,True,8,10973828,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,,HumanEval/0,SingleLineInfilling/HumanEval/0/L2
EXPAND_16,SingleLineInfilling/HumanEval/0/L3|canvas=16,deployable_canvas_actions_v1,16,44,8f071afede2cc995149e924414b0999099418d99944020178a4238902ba89de8,True,64,True,True,12,,,0,f9b477848e92bba3287f44f21a3a77e617fd14f3edae4588a293df69b0ae06b3,2.316625828971155,9-12,10,True,10,1627335354,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,16,HumanEval/0,SingleLineInfilling/HumanEval/0/L3
EXPAND_24,SingleLineInfilling/HumanEval/0/L3|canvas=24,deployable_canvas_actions_v1,24,51,8942adf3c123b3efc63a4902cd03bba458673b8fd12d04b6f0934fd7aafaeeab,True,64,True,True,20,failed: ,UnitTestFailure,0,2d205e4652df93e55b4f48313ab6d3d17c61ba8d7d23dd490229141f7cd1e026,3.1407623400446028,9-12,10,False,10,1627335354,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,24,HumanEval/0,SingleLineInfilling/HumanEval/0/L3
EXPAND_32,SingleLineInfilling/HumanEval/0/L3|canvas=32,deployable_canvas_actions_v1,32,64,a307ce6caefbc0c5dbc940e2fc8704b261c945ec79b6f3608407523713cbe449,True,64,True,False,32,,,0,97579ce7b8a5bf4dee31da2691a0fde003d7bee73a91c0437c31148bf4b4daf1,3.9629510761005804,9-12,10,True,10,1627335354,77c005153c8d98a8c8e078121ab33652baad6aba,train,no_remaining_masks,32,HumanEval/0,SingleLineInfilling/HumanEval/0/L3
EXPAND_48,SingleLineInfilling/HumanEval/0/L3|canvas=48,deployable_canvas_actions_v1,48,64,969666a9341a09a432a426b965657b82025a45a54a4b57763976156c0ad4af11,True,64,True,False,48,failed: ,UnitTestFailure,0,220013d43a871487dda3d60be481e2012501cfa530b9722a65cbeda9178065e8,4.032965111196972,9-12,10,False,10,1627335354,77c005153c8d98a8c8e078121ab33652baad6aba,train,not_stopped,48,HumanEval/0,SingleLineInfilling/HumanEval/0/L3
KEEP_PRIMARY,SingleLineInfilling/HumanEval/0/L3|canvas=10,deployable_canvas_actions_v1,10,43,40560c20a6f56877abd19fa87e39aa5d43f3bff6b7417c68e11fc772c096a6c9,True,64,True,True,8,,,0,8c38e5ec6852843b874534cbb9829420b43b1e52950538cc8446aec61491a5ed,2.2557925060391426,9-12,10,True,10,1627335354,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,,HumanEval/0,SingleLineInfilling/HumanEval/0/L3
EXPAND_16,SingleLineInfilling/HumanEval/0/L4|canvas=16,deployable_canvas_actions_v1,16,41,9590943b2c1df1d8533ab7beed33b4f3000ce75631e09fd72da8faba69245ecc,True,64,True,True,11,,,0,4aea33d5eb1becb59e66ebe738de88838721137a09399ba85502cc76234b57c0,2.5496761802351102,<=8,7,True,8,1687691096,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,16,HumanEval/0,SingleLineInfilling/HumanEval/0/L4
EXPAND_24,SingleLineInfilling/HumanEval/0/L4|canvas=24,deployable_canvas_actions_v1,24,41,5419f6f73cce0856d4a89a3222cbddf0df8d87fd583ff35bc561e47f108116f6,True,64,True,True,16,,,0,3b14886764e5624104f7a6c96583cfa38f89768fbd9f08f8abb200d0c2162f2d,2.6182365160202608,<=8,7,True,8,1687691096,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,24,HumanEval/0,SingleLineInfilling/HumanEval/0/L4
EXPAND_32,SingleLineInfilling/HumanEval/0/L4|canvas=32,deployable_canvas_actions_v1,32,47,d26f65953e2ca91f7b911e422bef566672b9aa6533a1f9187b6002577d1e1323,True,64,True,True,24,,,0,6c91606da4505727fa0368fb87c6e3faab7ef6e2b7db0c151f33f8c97a66b6a5,2.960551929776557,<=8,7,True,8,1687691096,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,32,HumanEval/0,SingleLineInfilling/HumanEval/0/L4
EXPAND_48,SingleLineInfilling/HumanEval/0/L4|canvas=48,deployable_canvas_actions_v1,48,48,585cfd50c1c78e5a8feb03d21c99c344a20fe5c31fa2dcbcd5808f55bf3e3886,True,64,True,True,36,,,0,f2d2e928988a5237195873bb0bb73ec90c2b2ce81ec0da40a4a120e6b6a09132,3.0691574410302565,<=8,7,True,8,1687691096,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,48,HumanEval/0,SingleLineInfilling/HumanEval/0/L4
KEEP_PRIMARY,SingleLineInfilling/HumanEval/0/L4|canvas=8,deployable_canvas_actions_v1,8,29,9028ddf3a37ef7fe2fed9fb61d72940a5915e395d3dfa9f8bfde816d03981a40,True,64,True,True,5,,,0,3d0888a59ff18fee1f86a9b8de05b43cff5e6dae365b2dec1c8832cdb37e4c4a,1.58897960500326,<=8,7,True,8,1687691096,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,,HumanEval/0,SingleLineInfilling/HumanEval/0/L4
EXPAND_16,SingleLineInfilling/HumanEval/0/L5|canvas=16,deployable_canvas_actions_v1,16,41,f2d3fa30100c5d4bdb070a4129083cc8a5029383244e0500c74ae077d7d8f8c5,True,64,True,True,11,,,0,3df8933bdf48eda9bbf14d654e4a6079cdc94640bb27dc5e778d7c8dba873158,2.541856803931296,<=8,4,True,4,1680681729,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,16,HumanEval/0,SingleLineInfilling/HumanEval/0/L5
EXPAND_24,SingleLineInfilling/HumanEval/0/L5|canvas=24,deployable_canvas_actions_v1,24,64,e81c4fd408a49a4a3263920b1a7da7f537ceaaf65b9cd94701669a3f0cc17a79,True,64,True,False,24,,,0,4650a8c756d72b646902797c22da802879257f8f347ae662b3f2df46cd3366e1,3.9601691329153255,<=8,4,True,4,1680681729,77c005153c8d98a8c8e078121ab33652baad6aba,train,no_remaining_masks,24,HumanEval/0,SingleLineInfilling/HumanEval/0/L5
EXPAND_32,SingleLineInfilling/HumanEval/0/L5|canvas=32,deployable_canvas_actions_v1,32,64,4957828b62e3dc2c1c28cc2a49c5e8dcbe7dfad14da36abfb112139767c97c9c,False,64,True,False,32,"unterminated string literal (detected at line 17) (<unknown>, line 17)",SyntaxError,0,786c87315c9e6930aa83b17bca69d708f8c18dacb93fa423bf8f1a54c03311e1,3.868420255021192,<=8,4,False,4,1680681729,77c005153c8d98a8c8e078121ab33652baad6aba,train,no_remaining_masks,32,HumanEval/0,SingleLineInfilling/HumanEval/0/L5
EXPAND_48,SingleLineInfilling/HumanEval/0/L5|canvas=48,deployable_canvas_actions_v1,48,56,db9b652cdfa01d1f7d33c837a57d3f74d657bd5acac20f72acc1ee3ed47f4b13,True,64,True,True,42,failed: ,UnitTestFailure,0,fc24cc6a0c1d4ccb6e43a54b12143dd9c5e879ea0cf940461706d88d32bfa1dc,3.578409195994027,<=8,4,False,4,1680681729,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,48,HumanEval/0,SingleLineInfilling/HumanEval/0/L5
KEEP_PRIMARY,SingleLineInfilling/HumanEval/0/L5|canvas=4,deployable_canvas_actions_v1,4,29,40560c20a6f56877abd19fa87e39aa5d43f3bff6b7417c68e11fc772c096a6c9,True,64,True,True,3,,,0,b13aeb0fbdec07eaf4ec839389b98c230ffedccbc6d4f88964739210307cbca9,1.5431295569287613,<=8,4,True,4,1680681729,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,,HumanEval/0,SingleLineInfilling/HumanEval/0/L5
EXPAND_16,SingleLineInfilling/HumanEval/0/L7|canvas=16,deployable_canvas_actions_v1,16,63,74bece1e3b5df48471c6049213b495d538c6a18bdadee7d54338997c01432421,False,64,True,False,16,"'[' was never closed (<unknown>, line 22)",SyntaxError,0,64e8ff21aa95bc92950b0d0592e2e322c96d7ddd3ca7349b6bf34187b046f343,3.7894735749578103,<=8,4,False,3,871214145,77c005153c8d98a8c8e078121ab33652baad6aba,train,no_remaining_masks,16,HumanEval/0,SingleLineInfilling/HumanEval/0/L7
EXPAND_24,SingleLineInfilling/HumanEval/0/L7|canvas=24,deployable_canvas_actions_v1,24,64,c61e967793ab3b50204285947fab3f64849e1d736353bc5eb65560478d01278f,False,64,True,False,24,"expected an indented block after function definition on line 22 (<unknown>, line 22)",SyntaxError,0,6cb5570fec3a5e5521d3bbbc5c76d6676e998f4b9ce245c36be8c917b10adc34,3.8791053099557757,<=8,4,False,3,871214145,77c005153c8d98a8c8e078121ab33652baad6aba,train,no_remaining_masks,24,HumanEval/0,SingleLineInfilling/HumanEval/0/L7
EXPAND_32,SingleLineInfilling/HumanEval/0/L7|canvas=32,deployable_canvas_actions_v1,32,59,dbff7ccc43740007d8cb0a0951b8c5d70cdc17a52ac07c18f7c77c8e3a60aa08,False,64,True,True,30,"unterminated triple-quoted string literal (detected at line 23) (<unknown>, line 23)",SyntaxError,0,620ba01d99b07ce68b7806948ca464ebbbd1cf4b0d92b92730976442a65fc100,3.5927305170334876,<=8,4,False,3,871214145,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,32,HumanEval/0,SingleLineInfilling/HumanEval/0/L7
EXPAND_48,SingleLineInfilling/HumanEval/0/L7|canvas=48,deployable_canvas_actions_v1,48,49,cbe23b7e748cfc2cede3ebc79b43328d1d21e120d24b0a67ac893d522ed2f05e,False,64,True,True,37,"unterminated triple-quoted string literal (detected at line 24) (<unknown>, line 23)",SyntaxError,0,96894b9573be2f5dd12147f3f5310c0d35afa7ca7fc37793c8453fa5dc626dc1,3.064846987836063,<=8,4,False,3,871214145,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,48,HumanEval/0,SingleLineInfilling/HumanEval/0/L7
KEEP_PRIMARY,SingleLineInfilling/HumanEval/0/L7|canvas=3,deployable_canvas_actions_v1,3,34,a556d6e9586c1972b698053cac053d2c92e710caec84b04872b0845e5f2e7d01,True,64,True,True,3,,,0,f05ae5b367c2eccba101e6bda35be2f3ff403c48e0a0c8529b925b66b80456c5,1.5929617979563773,<=8,4,True,3,871214145,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,,HumanEval/0,SingleLineInfilling/HumanEval/0/L7
EXPAND_16,SingleLineInfilling/HumanEval/1/L0|canvas=16,deployable_canvas_actions_v1,16,52,06eafbdc6cfa2988d3097d94619b172649b0e757ececf516b682a64d52039155,True,64,True,True,14,,,0,d41b586ed704eb70fdc2b1dcde21b8d65c8bf1745418a608047d79c18cc04e31,3.32993177883327,<=8,5,True,9,728866189,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,16,HumanEval/1,SingleLineInfilling/HumanEval/1/L0
EXPAND_24,SingleLineInfilling/HumanEval/1/L0|canvas=24,deployable_canvas_actions_v1,24,51,9ac971ff1315fbf4b2426a9c00acad568b6d3ed0ae063d9e07eccc93dbdf78bd,True,64,True,True,20,,,0,94e68ff6c29331c07fd6ba9370fd06af35bbf0f8bc969ca2a0e9bfcf91e25e6e,3.3026059760013595,<=8,5,True,9,728866189,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,24,HumanEval/1,SingleLineInfilling/HumanEval/1/L0
EXPAND_32,SingleLineInfilling/HumanEval/1/L0|canvas=32,deployable_canvas_actions_v1,32,52,0cc805b2be1f5c1a1de8b6d6dfb235d1f7746e9641fd7fd240a8dbb1fd3ee1c9,True,64,True,True,27,failed: ,UnitTestFailure,0,1feb7bbae4496c2f5d90399946dd91502646df2d09dda7bafa6c0b54c7705df3,3.414794342010282,<=8,5,False,9,728866189,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,32,HumanEval/1,SingleLineInfilling/HumanEval/1/L0
EXPAND_48,SingleLineInfilling/HumanEval/1/L0|canvas=48,deployable_canvas_actions_v1,48,64,6c0faa275d79a55cb9c9e41dde9c4275cd9586b8f03bfa94df1f18e44d13711f,True,64,True,False,48,failed: ,UnitTestFailure,0,86f412ad21a48a1e8d23aa289bbd6d2edfaa12ff4c87322b0d47f961b2e5496d,4.880461588152684,<=8,5,False,9,728866189,77c005153c8d98a8c8e078121ab33652baad6aba,train,not_stopped,48,HumanEval/1,SingleLineInfilling/HumanEval/1/L0
KEEP_PRIMARY,SingleLineInfilling/HumanEval/1/L0|canvas=9,deployable_canvas_actions_v1,9,41,941612227d19fcbcaf9af09974119ed73b1b31ed553d2da365aaa9138c71d0d2,True,64,True,True,7,,,0,7c20d88469344001dba024ad385b768eab79c01ce024ccece108f426d77bc0e7,2.608595195109956,<=8,5,True,9,728866189,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,,HumanEval/1,SingleLineInfilling/HumanEval/1/L0
EXPAND_16,SingleLineInfilling/HumanEval/1/L1|canvas=16,deployable_canvas_actions_v1,16,41,73514d9d958fce44580aad5c33ba96cacb800729c67fe786f26e252103901b2b,True,64,True,True,11,,,0,0eb52d4f33ef9dc3576f95f76d181ba15540af45f36e91a5a77d7cbbc0bc79de,2.702975591062568,<=8,6,True,6,1550829400,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,16,HumanEval/1,SingleLineInfilling/HumanEval/1/L1
EXPAND_24,SingleLineInfilling/HumanEval/1/L1|canvas=24,deployable_canvas_actions_v1,24,51,be9f717770fdb0c2ee052bf232348eac0ff416ccd68b9dc9e65308bece2841de,True,64,True,True,20,,,0,6a990d560ae9bde509d6c06462c4895fe6f9f71ad6deb348289cefc251d27016,3.326451352913864,<=8,6,True,6,1550829400,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,24,HumanEval/1,SingleLineInfilling/HumanEval/1/L1
EXPAND_32,SingleLineInfilling/HumanEval/1/L1|canvas=32,deployable_canvas_actions_v1,32,59,6ea2af21f1b1c5d032da6ce04d1c6b3900ee22b8635c55d99ef15fdd11838c2e,True,64,True,True,30,failed: ,UnitTestFailure,0,c067704045fc3bbc797ab4ca832188c43166f65f6a391c3ffde466136a6cf07f,3.9284871119307354,<=8,6,False,6,1550829400,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,32,HumanEval/1,SingleLineInfilling/HumanEval/1/L1
EXPAND_48,SingleLineInfilling/HumanEval/1/L1|canvas=48,deployable_canvas_actions_v1,48,54,614e0d51a49485c84d115833476bccae7e45e6728683c495d2307d69faf40941,True,64,True,True,41,failed: 'str' object has no attribute 'append',UnitTestFailure,0,d21d599145b52327486f63c5d301be9d85f2487f20b1139aba2e826437ea677f,3.956357656046748,<=8,6,False,6,1550829400,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,48,HumanEval/1,SingleLineInfilling/HumanEval/1/L1
KEEP_PRIMARY,SingleLineInfilling/HumanEval/1/L1|canvas=6,deployable_canvas_actions_v1,6,29,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,True,64,True,True,4,,,0,903800bf6f726b907528dbef623be514fe86cd961956ff73b9ddfae97e4e2541,1.9475420881062746,<=8,6,True,6,1550829400,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,,HumanEval/1,SingleLineInfilling/HumanEval/1/L1
EXPAND_16,SingleLineInfilling/HumanEval/1/L10|canvas=16,deployable_canvas_actions_v1,16,63,91a5ce082ff07633a851c997537c6d7b02e2005aabaad6f352060e477ae912ea,True,64,True,False,16,failed: ,UnitTestFailure,0,540c84bf8f3787e642002b980c55b2ae43fbe6d3731987948785861202743ee4,4.054264562902972,<=8,7,False,6,1430277989,77c005153c8d98a8c8e078121ab33652baad6aba,train,no_remaining_masks,16,HumanEval/1,SingleLineInfilling/HumanEval/1/L10
EXPAND_24,SingleLineInfilling/HumanEval/1/L10|canvas=24,deployable_canvas_actions_v1,24,62,3b75ffe7a6d65f7229ed66db2e50f3704fbb7d7b319f792577c384d21c3cfc28,True,64,True,True,24,,,0,aa6fb7f3d29ce8b0ff355001d020c305f0d6511be2e5d2af29ed0bb81daf85ca,4.010500248055905,<=8,7,True,6,1430277989,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,24,HumanEval/1,SingleLineInfilling/HumanEval/1/L10
EXPAND_32,SingleLineInfilling/HumanEval/1/L10|canvas=32,deployable_canvas_actions_v1,32,63,3477b5d72c1cc5d906f6fb689ae7187c5b657052130c774033b1c3ccd9668dbf,True,64,True,True,32,failed: ,UnitTestFailure,0,2db4c9dd1d3e1bd45a9f7b00a85a87a5aa41dbf8e40fe6e2969ea46c486d088e,4.127014222089201,<=8,7,False,6,1430277989,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,32,HumanEval/1,SingleLineInfilling/HumanEval/1/L10
EXPAND_48,SingleLineInfilling/HumanEval/1/L10|canvas=48,deployable_canvas_actions_v1,48,64,e886ac0ae3ec951881075bf3b5e9ab2f9c18600a072e3ecd558cda30b214bfcb,True,64,True,False,48,failed: ,UnitTestFailure,0,5740c7d564127b21b73727fd736cdbeaf9e3d896936d16f8614fcd7d8b133cfa,4.641171267954633,<=8,7,False,6,1430277989,77c005153c8d98a8c8e078121ab33652baad6aba,train,not_stopped,48,HumanEval/1,SingleLineInfilling/HumanEval/1/L10
KEEP_PRIMARY,SingleLineInfilling/HumanEval/1/L10|canvas=6,deployable_canvas_actions_v1,6,29,bc5f073332513b8fa8140f0ba65a4e33b29cfc5deda1bc265f9c330896bf79be,True,64,True,True,4,,,0,007f870432b208a7966949502f7805f6bdb5effeb938519e936dc8fc26ccffec,1.9044575850712135,<=8,7,True,6,1430277989,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,,HumanEval/1,SingleLineInfilling/HumanEval/1/L10
EXPAND_16,SingleLineInfilling/HumanEval/1/L12|canvas=16,deployable_canvas_actions_v1,16,47,50e72d707501a7a97862d1b3beaad68be3323251d02567824733dd15fb04728b,True,64,True,True,13,failed: ,UnitTestFailure,0,e1c548e63a3946b8ead4f348624307d53026e42c1b8ae11ecba7875c95de1fad,3.0583212199853733,9-12,9,False,9,321833005,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,16,HumanEval/1,SingleLineInfilling/HumanEval/1/L12
EXPAND_24,SingleLineInfilling/HumanEval/1/L12|canvas=24,deployable_canvas_actions_v1,24,51,5ec174a696fab0b9d47eb22875848c81c4f270409b7aa6e35cc792ebfcd2a2d2,True,64,True,True,20,,,0,47a59a9a18691ddbf586d08890624eba82138ebc1e02f3839f6efdec0a415ff6,3.3889118210645393,9-12,9,True,9,321833005,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,24,HumanEval/1,SingleLineInfilling/HumanEval/1/L12
EXPAND_32,SingleLineInfilling/HumanEval/1/L12|canvas=32,deployable_canvas_actions_v1,32,59,94b20c09e5f711a4ccd388881fbd311b34b6f6326dc3e7540328feb11811eaf1,True,64,True,True,30,failed: ,UnitTestFailure,0,9139f683b85c731573dd50e92146198eb966aeeb03a03f6a838990efb92f0ee7,3.8758839579531923,9-12,9,False,9,321833005,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,32,HumanEval/1,SingleLineInfilling/HumanEval/1/L12
EXPAND_48,SingleLineInfilling/HumanEval/1/L12|canvas=48,deployable_canvas_actions_v1,48,64,4599a2646e762c78308fd3107b57a2f7f89fd9798cae566ac1b1694878a862e4,True,64,True,False,48,failed: ,UnitTestFailure,0,bf73651ce9783b9a40ac7214c0876387dfe9350c41fe6ce3b7c715749ca67003,4.663426748942584,9-12,9,False,9,321833005,77c005153c8d98a8c8e078121ab33652baad6aba,train,not_stopped,48,HumanEval/1,SingleLineInfilling/HumanEval/1/L12
